Date,Area,Animal Crimes,Arson & Explosives,Conspiracy & Miscellaneous,Drug-Related Crimes,Fraud Crimes,Other,Property Crimes,Public Disorder Crimes,Sexual Crimes,Theft Crimes,Violent Crimes,child_crimes,Total Crimes
2022-06-19,Santa Monica,0,2,0,0,1,11,30,10,5,135,32,1,227
2022-06-19,South Bay Cities,0,0,0,0,1,14,20,7,2,106,48,1,199
2022-06-19,South Gate-East Los Angeles,0,0,0,0,2,10,23,8,4,93,85,1,226
2022-06-26,Los Angeles,1,9,0,0,9,119,294,139,49,1239,737,9,2605
2022-06-26,San Fernando Valley,0,2,0,0,8,55,122,65,16,623,312,1,1204
2022-06-26,Santa Monica,0,0,0,0,1,14,23,13,2,148,51,0,252
2022-06-26,South Bay Cities,0,1,0,0,1,6,16,15,3,77,48,4,171
2022-06-26,South Gate-East Los Angeles,0,1,0,0,1,8,17,10,1,74,76,3,191
2022-07-03,Los Angeles,0,4,0,0,14,113,263,108,49,1550,735,13,2849
2022-07-03,San Fernando Valley,0,1,0,0,10,79,131,68,30,756,292,10,1377
2022-07-03,Santa Monica,0,0,0,0,1,17,24,7,4,136,45,1,235
2022-07-03,South Bay Cities,0,1,0,0,2,6,18,10,6,109,57,1,210
2022-07-03,South Gate-East Los Angeles,0,1,0,0,1,7,24,8,7,174,83,3,308
2022-07-10,Los Angeles,1,2,0,0,17,128,280,93,34,1437,655,16,2663
2022-07-10,San Fernando Valley,1,2,0,0,15,61,128,59,25,690,300,13,1294
2022-07-10,Santa Monica,0,1,0,0,0,19,28,4,4,118,37,1,212
2022-07-10,South Bay Cities,0,0,0,0,0,5,20,12,2,86,65,0,190
2022-07-10,South Gate-East Los Angeles,0,1,0,0,2,8,19,15,5,119,74,0,243
2022-07-17,Los Angeles,0,8,0,0,20,114,236,119,48,1320,669,12,2546
2022-07-17,San Fernando Valley,0,2,0,0,9,68,112,68,24,639,297,7,1226
2022-07-17,Santa Monica,0,0,0,0,2,14,18,7,6,148,41,0,236
2022-07-17,South Bay Cities,0,0,0,0,2,6,25,16,2,64,61,0,176
2022-07-17,South Gate-East Los Angeles,0,0,0,0,1,13,27,10,3,81,71,1,207
2022-07-24,Los Angeles,1,6,1,0,20,95,266,128,43,1172,747,12,2491
2022-07-24,San Fernando Valley,0,0,0,0,5,51,142,77,17,632,261,7,1192
2022-07-24,Santa Monica,0,3,0,0,0,10,19,10,3,168,45,1,259
2022-07-24,South Bay Cities,0,0,0,0,0,5,15,21,1,64,56,0,162
2022-07-24,South Gate-East Los Angeles,0,2,0,0,0,7,22,9,4,79,64,1,188
2022-07-31,Los Angeles,0,13,0,0,14,111,232,100,35,1170,697,12,2384
2022-07-31,San Fernando Valley,0,2,0,0,12,51,123,67,21,587,265,10,1138
2022-07-31,Santa Monica,0,0,0,0,4,16,43,6,5,162,55,0,291
2022-07-31,South Bay Cities,0,0,0,0,2,6,19,11,3,62,70,0,173
2022-07-31,South Gate-East Los Angeles,0,0,0,0,1,7,20,11,0,73,70,0,182
2022-08-07,Los Angeles,1,7,0,0,9,117,221,139,45,1641,720,14,2914
2022-08-07,San Fernando Valley,2,3,0,0,10,51,106,76,26,972,314,10,1570
2022-08-07,Santa Monica,0,1,0,0,2,16,26,3,6,167,35,2,258
2022-08-07,South Bay Cities,0,0,0,0,3,8,15,16,2,122,65,0,231
2022-08-07,South Gate-East Los Angeles,0,1,0,0,1,4,24,14,5,177,74,0,300
2022-08-14,Los Angeles,1,9,1,0,8,108,229,124,43,1202,695,7,2427
2022-08-14,San Fernando Valley,3,4,0,0,11,54,130,74,19,674,265,7,1241
