"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","63,685","31,210","32,475","96.1","2,009","3,213","4,106","5,548","4,381","5,428","6,982","9,630","5,324","5,234","7,236","2,955","1,639","45.2","12,376","53,380","51,309","47,585","14,767","11,830","51,309","24,750","26,559","93.2","11,830","5,674","6,156","92.2","","63,685","59,785","3,900","59,785","51,141","1,316","152","52","0","0","5","4,105","802","1,244","454","311","393","564","337","61","9","0","22","30","3,010","3,900","357","810","1,524","19","","63,685","54,630","1,896","1,239","6,064","263","3,834","","63,685","7,756","4,466","171","262","2,857","55,929","47,028","1,257","93","4,082","61","388","3,020","231","2,789","26,680","","48,455","23,541","24,914"
"    Percent","","63,685","49.0%","51.0%","(X)","3.2%","5.0%","6.4%","8.7%","6.9%","8.5%","11.0%","15.1%","8.4%","8.2%","11.4%","4.6%","2.6%","(X)","19.4%","83.8%","80.6%","74.7%","23.2%","18.6%","51,309","48.2%","51.8%","(X)","11,830","48.0%","52.0%","(X)","","63,685","93.9%","6.1%","93.9%","80.3%","2.1%","0.2%","0.1%","0.0%","0.0%","0.0%","6.4%","1.3%","2.0%","0.7%","0.5%","0.6%","0.9%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","4.7%","6.1%","0.6%","1.3%","2.4%","0.0%","","63,685","85.8%","3.0%","1.9%","9.5%","0.4%","6.0%","","63,685","12.2%","7.0%","0.3%","0.4%","4.5%","87.8%","73.8%","2.0%","0.1%","6.4%","0.1%","0.6%","4.7%","0.4%","4.4%","(X)","","48,455","48.6%","51.4%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","344,918","168,781","176,137","95.8","23,578","23,790","25,633","24,128","25,513","52,755","45,156","42,506","20,781","19,422","23,859","12,968","4,829","34.3","87,674","267,357","257,244","242,410","52,525","41,656","257,244","123,587","133,657","92.5","41,656","17,761","23,895","74.3","","344,918","317,594","27,324","317,594","112,986","73,773","1,908","0","52","62","9","33,639","862","1,949","24,374","932","2,848","871","1,803","2,301","83","371","1,668","179","92,987","27,324","2,148","744","1,104","845","","344,918","136,582","79,136","4,797","37,004","3,232","113,036","","344,918","215,954","181,506","1,117","330","33,001","128,964","13,627","72,722","488","33,054","2,235","1,096","5,742","298","5,444","91,936","","198,871","94,039","104,832"
"    Percent","","344,918","48.9%","51.1%","(X)","6.8%","6.9%","7.4%","7.0%","7.4%","15.3%","13.1%","12.3%","6.0%","5.6%","6.9%","3.8%","1.4%","(X)","25.4%","77.5%","74.6%","70.3%","15.2%","12.1%","257,244","48.0%","52.0%","(X)","41,656","42.6%","57.4%","(X)","","344,918","92.1%","7.9%","92.1%","32.8%","21.4%","0.6%","0.0%","0.0%","0.0%","0.0%","9.8%","0.2%","0.6%","7.1%","0.3%","0.8%","0.3%","0.5%","0.7%","0.0%","0.1%","0.5%","0.1%","27.0%","7.9%","0.6%","0.2%","0.3%","0.2%","","344,918","39.6%","22.9%","1.4%","10.7%","0.9%","32.8%","","344,918","62.6%","52.6%","0.3%","0.1%","9.6%","37.4%","4.0%","21.1%","0.1%","9.6%","0.6%","0.3%","1.7%","0.1%","1.6%","(X)","","198,871","47.3%","52.7%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","412,260","204,019","208,241","98.0","25,181","25,059","29,981","28,316","28,341","63,897","55,401","54,483","23,401","22,509","33,340","14,817","7,534","35.8","97,703","326,387","314,557","297,785","68,781","55,691","314,557","153,775","160,782","95.6","55,691","24,332","31,359","77.6","","412,260","382,155","30,105","382,155","154,980","27,886","2,251","43","13","76","32","69,469","8,141","9,708","26,244","2,553","11,523","2,868","8,432","1,971","254","438","909","370","125,598","30,105","1,666","2,173","3,559","107","","412,260","180,339","32,290","5,751","76,540","4,010","145,373","","412,260","253,973","209,486","1,825","3,106","39,556","158,287","51,357","26,749","512","68,255","1,901","1,280","8,233","1,214","7,019","122,129","","259,974","127,383","132,591"
"    Percent","","412,260","49.5%","50.5%","(X)","6.1%","6.1%","7.3%","6.9%","6.9%","15.5%","13.4%","13.2%","5.7%","5.5%","8.1%","3.6%","1.8%","(X)","23.7%","79.2%","76.3%","72.2%","16.7%","13.5%","314,557","48.9%","51.1%","(X)","55,691","43.7%","56.3%","(X)","","412,260","92.7%","7.3%","92.7%","37.6%","6.8%","0.5%","0.0%","0.0%","0.0%","0.0%","16.9%","2.0%","2.4%","6.4%","0.6%","2.8%","0.7%","2.0%","0.5%","0.1%","0.1%","0.2%","0.1%","30.5%","7.3%","0.4%","0.5%","0.9%","0.0%","","412,260","43.7%","7.8%","1.4%","18.6%","1.0%","35.3%","","412,260","61.6%","50.8%","0.4%","0.8%","9.6%","38.4%","12.5%","6.5%","0.1%","16.6%","0.5%","0.3%","2.0%","0.3%","1.7%","(X)","","259,974","49.0%","51.0%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
