"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","190,328","95,738","94,590","14,195","14,159","15,244","16,395","13,257","25,804","24,918","26,738","11,458","9,008","11,410","5,435","2,307","33.3","136,497","127,304","24,050","19,152","136,497","67,694","68,803","19,152","8,131","11,021","","190,328","181,520","8,808","181,520","124,351","35,506","1,187","110","36","48","0","7,059","880","608","3,489","311","384","355","1,032","473","206","161","21","85","12,944","8,808","2,298","1,101","880","247","","190,328","131,205","39,498","3,510","9,263","1,175","15,611","","190,328","71,165","54,775","1,433","583","14,374","119,163","71,726","34,132","638","6,852","445","221","5,149","147","5,002","65,808"
"    Percent","","190,328","50.3%","49.7%","7.5%","7.4%","8.0%","8.6%","7.0%","13.6%","13.1%","14.0%","6.0%","4.7%","6.0%","2.9%","1.2%","(X)","71.7%","66.9%","12.6%","10.1%","136,497","49.6%","50.4%","19,152","42.5%","57.5%","","190,328","95.4%","4.6%","95.4%","65.3%","18.7%","0.6%","0.1%","0.0%","0.0%","0.0%","3.7%","0.5%","0.3%","1.8%","0.2%","0.2%","0.2%","0.5%","0.2%","0.1%","0.1%","0.0%","0.0%","6.8%","4.6%","1.2%","0.6%","0.5%","0.1%","","190,328","68.9%","20.8%","1.8%","4.9%","0.6%","8.2%","","190,328","37.4%","28.8%","0.8%","0.3%","7.6%","62.6%","37.7%","17.9%","0.3%","3.6%","0.2%","0.1%","2.7%","0.1%","2.6%","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","92,502","44,543","47,959","4,095","5,515","6,696","5,850","3,750","7,003","10,555","16,954","6,902","5,525","9,775","7,051","2,831","46.8","71,692","69,685","22,863","19,657","71,692","34,153","37,539","19,657","9,163","10,494","","92,502","86,428","6,074","86,428","59,986","2,341","215","33","4","0","0","20,862","1,766","5,967","1,748","5,442","4,095","286","1,558","249","77","51","108","13","2,775","6,074","364","1,585","2,471","150","","92,502","65,377","3,107","2,198","24,061","687","3,547","","92,502","14,896","11,085","323","304","3,184","77,606","49,849","2,230","215","20,635","191","298","4,188","246","3,942","37,444"
"    Percent","","92,502","48.2%","51.8%","4.4%","6.0%","7.2%","6.3%","4.1%","7.6%","11.4%","18.3%","7.5%","6.0%","10.6%","7.6%","3.1%","(X)","77.5%","75.3%","24.7%","21.3%","71,692","47.6%","52.4%","19,657","46.6%","53.4%","","92,502","93.4%","6.6%","93.4%","64.8%","2.5%","0.2%","0.0%","0.0%","0.0%","0.0%","22.6%","1.9%","6.5%","1.9%","5.9%","4.4%","0.3%","1.7%","0.3%","0.1%","0.1%","0.1%","0.0%","3.0%","6.6%","0.4%","1.7%","2.7%","0.2%","","92,502","70.7%","3.4%","2.4%","26.0%","0.7%","3.8%","","92,502","16.1%","12.0%","0.3%","0.3%","3.4%","83.9%","53.9%","2.4%","0.2%","22.3%","0.2%","0.3%","4.5%","0.3%","4.3%","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","272,954","134,247","138,707","15,487","14,629","15,905","16,689","17,150","40,018","38,175","41,244","18,385","15,268","21,148","12,568","6,288","39.4","215,759","206,636","48,796","40,004","215,759","103,807","111,952","40,004","16,686","23,318","","272,954","261,507","11,447","261,507","165,622","25,495","748","63","0","0","0","51,805","2,661","19,997","6,807","4,819","12,035","1,531","3,955","202","89","41","19","53","17,635","11,447","1,976","952","3,916","288","","272,954","174,821","29,240","2,692","57,551","797","20,338","","272,954","73,230","54,720","905","1,078","16,527","199,724","114,289","24,726","269","51,376","184","1,035","7,845","270","7,575","108,639"
"    Percent","","272,954","49.2%","50.8%","5.7%","5.4%","5.8%","6.1%","6.3%","14.7%","14.0%","15.1%","6.7%","5.6%","7.7%","4.6%","2.3%","(X)","79.0%","75.7%","17.9%","14.7%","215,759","48.1%","51.9%","40,004","41.7%","58.3%","","272,954","95.8%","4.2%","95.8%","60.7%","9.3%","0.3%","0.0%","0.0%","0.0%","0.0%","19.0%","1.0%","7.3%","2.5%","1.8%","4.4%","0.6%","1.4%","0.1%","0.0%","0.0%","0.0%","0.0%","6.5%","4.2%","0.7%","0.3%","1.4%","0.1%","","272,954","64.0%","10.7%","1.0%","21.1%","0.3%","7.5%","","272,954","26.8%","20.0%","0.3%","0.4%","6.1%","73.2%","41.9%","9.1%","0.1%","18.8%","0.1%","0.4%","2.9%","0.1%","2.8%","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,812,673","893,235","919,438","113,440","109,451","110,458","115,748","131,710","279,743","262,853","258,737","114,686","94,562","118,746","70,513","32,026","36.7","1,408,958","1,338,813","274,042","221,285","1,408,958","686,533","722,425","221,285","95,751","125,534","","1,812,673","1,745,621","67,052","1,745,621","1,184,724","69,171","7,845","504","118","287","172","200,065","21,603","21,162","77,812","10,993","33,432","11,646","23,417","2,372","964","356","391","661","281,444","67,052","8,543","6,794","21,623","1,227","","1,812,673","1,239,280","83,832","20,030","232,072","7,107","302,166","","1,812,673","766,322","513,446","9,057","8,476","235,343","1,046,351","733,087","64,510","3,452","197,325","2,058","4,205","41,714","3,643","38,071","641,312"
