"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","65,420","31,891","33,529","2,918","3,671","4,720","5,499","3,874","5,690","7,370","11,723","5,981","4,048","5,787","2,903","1,236","43.9","50,709","47,519","12,196","9,926","50,709","24,299","26,410","9,926","4,740","5,186","","65,420","62,442","2,978","62,442","55,137","1,009","105","0","10","0","5","4,108","721","1,335","727","418","505","60","342","71","3","9","32","27","2,012","2,978","552","423","1,054","73","","65,420","57,757","1,824","654","5,470","164","2,620","","65,420","6,950","4,470","181","208","2,091","58,470","51,026","948","76","4,049","71","106","2,194","85","2,109","26,928"
"    Percent","","65,420","48.7%","51.3%","4.5%","5.6%","7.2%","8.4%","5.9%","8.7%","11.3%","17.9%","9.1%","6.2%","8.8%","4.4%","1.9%","(X)","77.5%","72.6%","18.6%","15.2%","50,709","47.9%","52.1%","9,926","47.8%","52.2%","","65,420","95.4%","4.6%","95.4%","84.3%","1.5%","0.2%","0.0%","0.0%","0.0%","0.0%","6.3%","1.1%","2.0%","1.1%","0.6%","0.8%","0.1%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","3.1%","4.6%","0.8%","0.6%","1.6%","0.1%","","65,420","88.3%","2.8%","1.0%","8.4%","0.3%","4.0%","","65,420","10.6%","6.8%","0.3%","0.3%","3.2%","89.4%","78.0%","1.4%","0.1%","6.2%","0.1%","0.2%","3.4%","0.1%","3.2%","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","345,211","167,317","177,894","26,755","25,556","26,886","30,208","29,326","48,787","45,233","45,340","17,668","14,460","19,924","11,256","3,812","31.7","248,151","229,382","43,221","34,992","248,151","118,051","130,100","34,992","14,527","20,465","","345,211","329,367","15,844","329,367","124,869","79,243","1,482","92","0","84","0","31,848","530","1,336","23,504","1,314","1,614","1,059","2,491","3,300","185","309","2,398","408","88,625","15,844","1,671","3,272","1,588","1,409","","345,211","136,715","86,371","8,530","35,550","4,556","92,467","","345,211","210,453","178,816","1,459","761","29,417","134,758","14,652","77,929","389","31,372","3,176","669","6,571","260","6,311","91,324"
"    Percent","","345,211","48.5%","51.5%","7.8%","7.4%","7.8%","8.8%","8.5%","14.1%","13.1%","13.1%","5.1%","4.2%","5.8%","3.3%","1.1%","(X)","71.9%","66.4%","12.5%","10.1%","248,151","47.6%","52.4%","34,992","41.5%","58.5%","","345,211","95.4%","4.6%","95.4%","36.2%","23.0%","0.4%","0.0%","0.0%","0.0%","0.0%","9.2%","0.2%","0.4%","6.8%","0.4%","0.5%","0.3%","0.7%","1.0%","0.1%","0.1%","0.7%","0.1%","25.7%","4.6%","0.5%","0.9%","0.5%","0.4%","","345,211","39.6%","25.0%","2.5%","10.3%","1.3%","26.8%","","345,211","61.0%","51.8%","0.4%","0.2%","8.5%","39.0%","4.2%","22.6%","0.1%","9.1%","0.9%","0.2%","1.9%","0.1%","1.8%","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","418,744","206,523","212,221","27,444","28,409","32,166","32,994","33,735","57,774","60,913","55,809","24,484","19,545","26,218","13,073","6,180","34.5","310,182","290,661","57,405","45,471","310,182","149,905","160,277","45,471","19,247","26,224","","418,744","405,664","13,080","405,664","199,889","29,643","2,304","105","4","156","51","68,578","7,580","11,168","22,289","2,681","14,761","2,990","7,109","1,237","120","281","679","157","104,013","13,080","1,207","1,466","2,000","206","","418,744","209,559","32,596","4,596","72,979","1,979","110,897","","418,744","254,543","213,024","2,222","2,423","36,874","164,201","60,102","28,355","968","67,780","1,192","831","4,973","789","4,184","122,545"
"    Percent","","418,744","49.3%","50.7%","6.6%","6.8%","7.7%","7.9%","8.1%","13.8%","14.5%","13.3%","5.8%","4.7%","6.3%","3.1%","1.5%","(X)","74.1%","69.4%","13.7%","10.9%","310,182","48.3%","51.7%","45,471","42.3%","57.7%","","418,744","96.9%","3.1%","96.9%","47.7%","7.1%","0.6%","0.0%","0.0%","0.0%","0.0%","16.4%","1.8%","2.7%","5.3%","0.6%","3.5%","0.7%","1.7%","0.3%","0.0%","0.1%","0.2%","0.0%","24.8%","3.1%","0.3%","0.4%","0.5%","0.0%","","418,744","50.0%","7.8%","1.1%","17.4%","0.5%","26.5%","","418,744","60.8%","50.9%","0.5%","0.6%","8.8%","39.2%","14.4%","6.8%","0.2%","16.2%","0.3%","0.2%","1.2%","0.2%","1.0%","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","954,510","468,339","486,171","57,269","60,502","66,823","79,376","81,850","129,269","123,501","129,973","58,720","52,598","64,603","34,421","15,605","35.2","725,086","673,094","144,639","114,629","725,086","351,582","373,504","114,629","49,750","64,879","","954,510","920,758","33,752","920,758","478,468","33,631","6,216","210","72","395","44","196,973","7,133","90,706","44,466","6,646","16,811","14,549","16,662","1,792","425","174","643","550","203,678","33,752","3,705","3,469","6,909","443","","954,510","504,380","40,902","12,055","210,527","4,305","218,926","","954,510","521,255","450,469","4,712","3,642","62,432","433,255","188,608","31,175","2,358","193,961","1,586","1,448","14,119","1,537","12,582","276,392"
"    Percent","","954,510","49.1%","50.9%","6.0%","6.3%","7.0%","8.3%","8.6%","13.5%","12.9%","13.6%","6.2%","5.5%","6.8%","3.6%","1.6%","(X)","76.0%","70.5%","15.2%","12.0%","725,086","48.5%","51.5%","114,629","43.4%","56.6%","","954,510","96.5%","3.5%","96.5%","50.1%","3.5%","0.7%","0.0%","0.0%","0.0%","0.0%","20.6%","0.7%","9.5%","4.7%","0.7%","1.8%","1.5%","1.7%","0.2%","0.0%","0.0%","0.1%","0.1%","21.3%","3.5%","0.4%","0.4%","0.7%","0.0%","","954,510","52.8%","4.3%","1.3%","22.1%","0.5%","22.9%","","954,510","54.6%","47.2%","0.5%","0.4%","6.5%","45.4%","19.8%","3.3%","0.2%","20.3%","0.2%","0.2%","1.5%","0.2%","1.3%","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","372,525","179,226","193,299","28,463","26,635","26,985","26,232","28,806","59,212","51,258","49,864","20,921","17,205","21,089","11,247","4,608","33.0","274,911","257,865","46,719","36,944","274,911","129,044","145,867","36,944","15,602","21,342","","372,525","352,625","19,900","352,625","130,892","109,197","1,922","197","0","33","0","29,365","1,255","2,738","6,707","5,909","4,200","5,170","3,386","1,983","407","117","386","1,073","79,266","19,900","3,306","4,296","2,053","1,834","","372,525","145,886","118,674","10,967","33,955","3,409","83,220","","372,525","194,776","140,445","1,472","1,612","51,247","177,749","28,912","106,928","422","28,506","1,897","1,378","9,706","468","9,238","127,074"
"    Percent","","372,525","48.1%","51.9%","7.6%","7.1%","7.2%","7.0%","7.7%","15.9%","13.8%","13.4%","5.6%","4.6%","5.7%","3.0%","1.2%","(X)","73.8%","69.2%","12.5%","9.9%","274,911","46.9%","53.1%","36,944","42.2%","57.8%","","372,525","94.7%","5.3%","94.7%","35.1%","29.3%","0.5%","0.1%","0.0%","0.0%","0.0%","7.9%","0.3%","0.7%","1.8%","1.6%","1.1%","1.4%","0.9%","0.5%","0.1%","0.0%","0.1%","0.3%","21.3%","5.3%","0.9%","1.2%","0.6%","0.5%","","372,525","39.2%","31.9%","2.9%","9.1%","0.9%","22.3%","","372,525","52.3%","37.7%","0.4%","0.4%","13.8%","47.7%","7.8%","28.7%","0.1%","7.7%","0.5%","0.4%","2.6%","0.1%","2.5%","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","576,964","284,289","292,675","40,178","37,147","37,454","43,303","46,964","87,689","83,302","79,356","34,776","29,003","32,983","17,082","7,727","34.5","435,967","410,066","74,441","57,792","435,967","212,618","223,349","57,792","25,651","32,141","","576,964","541,246","35,718","541,246","310,384","68,538","5,211","192","77","187","120","78,841","2,993","6,602","28,093","3,277","4,297","5,786","27,793","5,674","557","997","3,819","301","72,598","35,718","4,464","6,589","7,079","2,462","","576,964","338,270","80,908","18,529","90,606","8,823","80,763","","576,964","236,859","194,893","4,386","1,724","35,856","340,105","167,841","66,710","1,486","77,630","5,310","1,591","19,537","922","18,615","210,858"
"    Percent","","576,964","49.3%","50.7%","7.0%","6.4%","6.5%","7.5%","8.1%","15.2%","14.4%","13.8%","6.0%","5.0%","5.7%","3.0%","1.3%","(X)","75.6%","71.1%","12.9%","10.0%","435,967","48.8%","51.2%","57,792","44.4%","55.6%","","576,964","93.8%","6.2%","93.8%","53.8%","11.9%","0.9%","0.0%","0.0%","0.0%","0.0%","13.7%","0.5%","1.1%","4.9%","0.6%","0.7%","1.0%","4.8%","1.0%","0.1%","0.2%","0.7%","0.1%","12.6%","6.2%","0.8%","1.1%","1.2%","0.4%","","576,964","58.6%","14.0%","3.2%","15.7%","1.5%","14.0%","","576,964","41.1%","33.8%","0.8%","0.3%","6.2%","58.9%","29.1%","11.6%","0.3%","13.5%","0.9%","0.3%","3.4%","0.2%","3.2%","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,541,134","1,261,571","1,279,563","161,204","147,599","144,689","171,690","216,238","455,430","382,134","328,986","140,250","116,123","149,187","85,354","42,250","34.3","1,996,129","1,871,778","343,034","276,791","1,996,129","984,884","1,011,245","276,791","117,581","159,210","","2,541,134","2,451,955","89,179","2,451,955","1,202,508","311,091","15,875","497","70","294","54","303,607","18,197","62,596","68,108","25,856","89,462","12,258","27,130","5,180","842","913","1,772","1,653","613,694","89,179","12,961","10,159","21,456","3,879","","2,541,134","1,273,409","340,295","37,785","336,803","10,101","641,851","","2,541,134","1,215,315","819,953","11,334","8,812","375,216","1,325,819","652,907","302,000","3,808","300,137","4,636","8,422","53,909","4,365","49,544","994,326"
"    Percent","","2,541,134","49.6%","50.4%","6.3%","5.8%","5.7%","6.8%","8.5%","17.9%","15.0%","12.9%","5.5%","4.6%","5.9%","3.4%","1.7%","(X)","78.6%","73.7%","13.5%","10.9%","1,996,129","49.3%","50.7%","276,791","42.5%","57.5%","","2,541,134","96.5%","3.5%","96.5%","47.3%","12.2%","0.6%","0.0%","0.0%","0.0%","0.0%","11.9%","0.7%","2.5%","2.7%","1.0%","3.5%","0.5%","1.1%","0.2%","0.0%","0.0%","0.1%","0.1%","24.2%","3.5%","0.5%","0.4%","0.8%","0.2%","","2,541,134","50.1%","13.4%","1.5%","13.3%","0.4%","25.3%","","2,541,134","47.8%","32.3%","0.4%","0.3%","14.8%","52.2%","25.7%","11.9%","0.1%","11.8%","0.2%","0.3%","2.1%","0.2%","1.9%","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","259,156","132,244","126,912","15,633","19,326","21,656","20,840","17,138","32,213","38,757","42,084","15,766","11,890","14,695","6,025","3,133","35.8","189,400","177,465","30,745","23,853","189,400","96,119","93,281","23,853","10,291","13,562","","259,156","242,062","17,094","242,062","182,618","9,801","1,066","10","0","22","0","28,564","3,770","2,468","10,520","1,507","6,313","926","3,060","374","64","72","122","116","19,639","17,094","2,125","4,294","4,615","923","","259,156","197,430","14,188","7,314","34,951","1,577","22,525","","259,156","79,580","58,141","1,332","1,754","18,353","179,576","129,854","8,992","260","28,157","371","394","11,548","303","11,245","85,018"
"    Percent","","259,156","51.0%","49.0%","6.0%","7.5%","8.4%","8.0%","6.6%","12.4%","15.0%","16.2%","6.1%","4.6%","5.7%","2.3%","1.2%","(X)","73.1%","68.5%","11.9%","9.2%","189,400","50.7%","49.3%","23,853","43.1%","56.9%","","259,156","93.4%","6.6%","93.4%","70.5%","3.8%","0.4%","0.0%","0.0%","0.0%","0.0%","11.0%","1.5%","1.0%","4.1%","0.6%","2.4%","0.4%","1.2%","0.1%","0.0%","0.0%","0.0%","0.0%","7.6%","6.6%","0.8%","1.7%","1.8%","0.4%","","259,156","76.2%","5.5%","2.8%","13.5%","0.6%","8.7%","","259,156","30.7%","22.4%","0.5%","0.7%","7.1%","69.3%","50.1%","3.5%","0.1%","10.9%","0.1%","0.2%","4.5%","0.1%","4.3%","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
