"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","951,737","466,476","485,261","96.1","56,872","53,623","60,492","68,193","72,942","133,669","120,111","126,394","62,256","58,440","81,355","40,329","17,061","37.5","208,452","769,143","743,285","695,979","172,690","138,745","743,285","360,307","382,978","94.1","138,745","60,380","78,365","77.0","","951,737","907,200","44,537","907,200","431,292","29,799","10,746","251","25","585","46","219,252","7,704","114,415","42,892","6,746","15,473","13,951","18,071","2,243","338","287","777","841","213,868","44,537","3,976","4,277","8,659","438","","951,737","460,887","37,296","24,375","235,464","5,929","235,661","","951,737","520,774","445,753","5,079","3,522","66,420","430,963","163,676","27,751","2,141","216,732","1,939","2,376","16,348","1,332","15,016","278,245","","617,441","298,298","319,143"
"    Percent","","951,737","49.0%","51.0%","(X)","6.0%","5.6%","6.4%","7.2%","7.7%","14.0%","12.6%","13.3%","6.5%","6.1%","8.5%","4.2%","1.8%","(X)","21.9%","80.8%","78.1%","73.1%","18.1%","14.6%","743,285","48.5%","51.5%","(X)","138,745","43.5%","56.5%","(X)","","951,737","95.3%","4.7%","95.3%","45.3%","3.1%","1.1%","0.0%","0.0%","0.1%","0.0%","23.0%","0.8%","12.0%","4.5%","0.7%","1.6%","1.5%","1.9%","0.2%","0.0%","0.0%","0.1%","0.1%","22.5%","4.7%","0.4%","0.4%","0.9%","0.0%","","951,737","48.4%","3.9%","2.6%","24.7%","0.6%","24.8%","","951,737","54.7%","46.8%","0.5%","0.4%","7.0%","45.3%","17.2%","2.9%","0.2%","22.8%","0.2%","0.2%","1.7%","0.1%","1.6%","(X)","","617,441","48.3%","51.7%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","376,933","183,659","193,274","95.0","26,279","26,254","25,010","23,092","26,027","60,524","52,593","50,460","22,519","20,624","25,904","12,702","4,945","35.2","91,810","294,401","285,123","271,496","55,451","43,551","285,123","136,248","148,875","91.5","43,551","18,642","24,909","74.8","","376,933","362,233","14,700","362,233","124,511","104,925","3,230","68","2","35","49","30,984","1,875","3,097","7,485","5,781","4,361","5,307","3,078","2,631","386","144","917","1,184","95,952","14,700","3,167","1,805","1,905","888","","376,933","135,422","111,175","7,226","35,130","3,862","100,585","","376,933","202,367","147,108","2,096","2,172","50,991","174,566","29,791","101,893","669","30,483","2,409","1,854","7,467","523","6,944","127,459","","220,795","103,917","116,878"
"    Percent","","376,933","48.7%","51.3%","(X)","7.0%","7.0%","6.6%","6.1%","6.9%","16.1%","14.0%","13.4%","6.0%","5.5%","6.9%","3.4%","1.3%","(X)","24.4%","78.1%","75.6%","72.0%","14.7%","11.6%","285,123","47.8%","52.2%","(X)","43,551","42.8%","57.2%","(X)","","376,933","96.1%","3.9%","96.1%","33.0%","27.8%","0.9%","0.0%","0.0%","0.0%","0.0%","8.2%","0.5%","0.8%","2.0%","1.5%","1.2%","1.4%","0.8%","0.7%","0.1%","0.0%","0.2%","0.3%","25.5%","3.9%","0.8%","0.5%","0.5%","0.2%","","376,933","35.9%","29.5%","1.9%","9.3%","1.0%","26.7%","","376,933","53.7%","39.0%","0.6%","0.6%","13.5%","46.3%","7.9%","27.0%","0.2%","8.1%","0.6%","0.5%","2.0%","0.1%","1.8%","(X)","","220,795","47.1%","52.9%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","574,378","283,117","291,261","97.2","37,611","34,373","35,478","35,828","43,076","97,149","78,934","77,687","34,663","32,205","41,204","17,305","8,865","35.4","128,321","459,817","446,057","421,886","85,718","67,374","446,057","217,267","228,790","95.0","67,374","30,631","36,743","83.4","","574,378","546,465","27,913","546,465","288,347","68,295","5,421","274","41","86","64","80,965","3,867","5,833","30,761","3,432","4,165","4,427","28,480","4,563","508","379","2,189","1,487","98,874","27,913","4,179","2,408","7,378","1,127","","574,378","309,753","77,471","10,976","92,773","7,491","107,126","","574,378","241,397","199,288","3,167","1,888","37,054","332,981","163,944","65,751","1,731","79,311","4,370","1,676","16,198","703","15,495","211,922","","382,614","186,167","196,447"
"    Percent","","574,378","49.3%","50.7%","(X)","6.5%","6.0%","6.2%","6.2%","7.5%","16.9%","13.7%","13.5%","6.0%","5.6%","7.2%","3.0%","1.5%","(X)","22.3%","80.1%","77.7%","73.5%","14.9%","11.7%","446,057","48.7%","51.3%","(X)","67,374","45.5%","54.5%","(X)","","574,378","95.1%","4.9%","95.1%","50.2%","11.9%","0.9%","0.0%","0.0%","0.0%","0.0%","14.1%","0.7%","1.0%","5.4%","0.6%","0.7%","0.8%","5.0%","0.8%","0.1%","0.1%","0.4%","0.3%","17.2%","4.9%","0.7%","0.4%","1.3%","0.2%","","574,378","53.9%","13.5%","1.9%","16.2%","1.3%","18.7%","","574,378","42.0%","34.7%","0.6%","0.3%","6.5%","58.0%","28.5%","11.4%","0.3%","13.8%","0.8%","0.3%","2.8%","0.1%","2.7%","(X)","","382,614","48.7%","51.3%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,603,620","1,292,449","1,311,171","98.6","152,216","142,878","143,302","156,154","204,888","502,915","377,269","335,280","143,541","129,796","176,033","93,063","46,285","35.0","522,685","2,137,859","2,080,935","1,968,658","387,735","315,381","2,080,935","1,026,357","1,054,578","97.3","315,381","133,071","182,310","73.0","","2,603,620","2,502,033","101,587","2,502,033","1,243,991","309,287","22,882","710","42","440","164","313,422","21,431","68,004","67,238","25,566","89,331","11,295","30,557","4,659","1,527","808","1,168","1,156","607,792","101,587","15,768","10,969","30,322","3,555","","2,603,620","1,324,747","341,609","45,502","357,899","12,171","633,915","","2,603,620","1,244,648","828,558","11,478","8,323","396,289","1,358,972","667,216","300,222","4,841","309,030","3,786","9,914","63,963","3,500","60,463","1,044,666","","1,576,700","768,073","808,627"
