"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","944,562","462,578","481,984","57,736","60,330","68,123","81,644","79,675","126,483","123,123","130,601","57,964","50,316","60,831","33,136","14,600","34.9","711,865","658,819","137,337","108,567","711,865","344,959","366,906","108,567","46,786","61,781","","944,562","912,123","32,439","912,123","482,694","33,840","5,533","200","72","217","57","192,290","7,791","86,695","43,901","7,115","16,602","13,690","16,496","1,519","409","241","368","501","196,247","32,439","3,603","3,265","6,621","495","","944,562","508,229","40,772","11,256","205,188","4,081","210,585","","944,562","512,358","441,292","4,649","3,819","62,598","432,204","192,233","31,342","2,012","189,615","1,307","1,206","14,489","1,808","12,681","275,417"
"    Percent","","944,562","49.0%","51.0%","6.1%","6.4%","7.2%","8.6%","8.4%","13.4%","13.0%","13.8%","6.1%","5.3%","6.4%","3.5%","1.5%","(X)","75.4%","69.7%","14.5%","11.5%","711,865","48.5%","51.5%","108,567","43.1%","56.9%","","944,562","96.6%","3.4%","96.6%","51.1%","3.6%","0.6%","0.0%","0.0%","0.0%","0.0%","20.4%","0.8%","9.2%","4.6%","0.8%","1.8%","1.4%","1.7%","0.2%","0.0%","0.0%","0.0%","0.1%","20.8%","3.4%","0.4%","0.3%","0.7%","0.1%","","944,562","53.8%","4.3%","1.2%","21.7%","0.4%","22.3%","","944,562","54.2%","46.7%","0.5%","0.4%","6.6%","45.8%","20.4%","3.3%","0.2%","20.1%","0.1%","0.1%","1.5%","0.2%","1.3%","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","371,452","178,760","192,692","28,449","27,071","27,564","27,395","28,969","58,764","51,828","48,723","20,199","16,579","20,443","11,299","4,169","32.6","271,516","254,615","45,409","35,911","271,516","127,477","144,039","35,911","15,130","20,781","","371,452","357,046","14,406","357,046","127,253","108,626","1,619","210","0","27","0","29,802","958","2,293","7,423","6,205","4,467","4,679","3,777","2,591","414","157","566","1,454","87,155","14,406","2,344","1,929","1,756","1,369","","371,452","137,407","115,390","6,389","33,577","3,956","91,089","","371,452","193,704","141,359","1,558","1,575","49,212","177,748","30,678","106,018","368","29,071","2,465","1,159","7,989","433","7,556","127,193"
"    Percent","","371,452","48.1%","51.9%","7.7%","7.3%","7.4%","7.4%","7.8%","15.8%","14.0%","13.1%","5.4%","4.5%","5.5%","3.0%","1.1%","(X)","73.1%","68.5%","12.2%","9.7%","271,516","47.0%","53.0%","35,911","42.1%","57.9%","","371,452","96.1%","3.9%","96.1%","34.3%","29.2%","0.4%","0.1%","0.0%","0.0%","0.0%","8.0%","0.3%","0.6%","2.0%","1.7%","1.2%","1.3%","1.0%","0.7%","0.1%","0.0%","0.2%","0.4%","23.5%","3.9%","0.6%","0.5%","0.5%","0.4%","","371,452","37.0%","31.1%","1.7%","9.0%","1.1%","24.5%","","371,452","52.1%","38.1%","0.4%","0.4%","13.2%","47.9%","8.3%","28.5%","0.1%","7.8%","0.7%","0.3%","2.2%","0.1%","2.0%","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","573,171","283,066","290,105","40,147","36,795","38,785","43,287","46,107","86,104","83,246","79,376","34,442","28,425","31,203","17,264","7,990","34.4","431,594","405,055","72,830","56,457","431,594","211,333","220,261","56,457","24,935","31,522","","573,171","537,873","35,298","537,873","306,496","70,255","4,999","165","80","224","109","77,294","2,671","6,940","27,760","3,547","4,174","5,591","26,611","4,697","595","810","3,015","277","74,132","35,298","4,805","6,766","7,031","2,242","","573,171","334,523","82,911","18,298","88,680","7,435","81,771","","573,171","230,929","191,389","4,288","1,698","33,554","342,242","170,922","68,347","1,586","75,702","4,352","1,548","19,785","942","18,843","211,737"
"    Percent","","573,171","49.4%","50.6%","7.0%","6.4%","6.8%","7.6%","8.0%","15.0%","14.5%","13.8%","6.0%","5.0%","5.4%","3.0%","1.4%","(X)","75.3%","70.7%","12.7%","9.8%","431,594","49.0%","51.0%","56,457","44.2%","55.8%","","573,171","93.8%","6.2%","93.8%","53.5%","12.3%","0.9%","0.0%","0.0%","0.0%","0.0%","13.5%","0.5%","1.2%","4.8%","0.6%","0.7%","1.0%","4.6%","0.8%","0.1%","0.1%","0.5%","0.0%","12.9%","6.2%","0.8%","1.2%","1.2%","0.4%","","573,171","58.4%","14.5%","3.2%","15.5%","1.3%","14.3%","","573,171","40.3%","33.4%","0.7%","0.3%","5.9%","59.7%","29.8%","11.9%","0.3%","13.2%","0.8%","0.3%","3.5%","0.2%","3.3%","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,520,973","1,251,961","1,269,012","161,422","147,111","147,133","175,650","217,693","448,809","380,520","326,039","135,786","112,114","143,271","84,698","40,727","34.1","1,970,944","1,845,137","332,101","268,696","1,970,944","972,845","998,099","268,696","113,938","154,758","","2,520,973","2,438,061","82,912","2,438,061","1,195,272","318,683","14,345","597","160","291","60","293,616","17,014","60,628","65,731","26,186","87,165","12,060","24,832","5,151","855","963","1,558","1,775","610,994","82,912","12,963","8,420","20,000","3,264","","2,520,973","1,262,537","345,703","32,768","323,797","9,426","638,381","","2,520,973","1,204,789","814,969","10,198","8,842","370,780","1,316,184","649,826","310,097","4,219","290,299","4,693","7,958","49,092","4,092","45,000","992,003"
