"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","939,996","458,241","481,755","59,629","63,126","72,008","83,857","76,810","122,620","126,255","133,885","55,371","45,031","56,257","32,574","12,573","34.3","697,301","643,558","126,894","101,404","697,301","335,383","361,918","101,404","43,746","57,658","","939,996","908,429","31,567","908,429","464,990","35,149","5,362","122","13","137","65","185,671","7,532","83,696","42,372","7,077","16,344","12,736","15,914","1,158","475","236","189","258","216,099","31,567","2,904","3,362","6,223","629","","939,996","490,334","41,502","11,288","197,065","2,781","231,024","","939,996","504,787","430,114","4,845","3,346","66,482","435,209","202,406","32,127","1,284","183,488","995","1,740","13,169","1,538","11,631","276,289"
"    Percent","","939,996","48.7%","51.3%","6.3%","6.7%","7.7%","8.9%","8.2%","13.0%","13.4%","14.2%","5.9%","4.8%","6.0%","3.5%","1.3%","(X)","74.2%","68.5%","13.5%","10.8%","697,301","48.1%","51.9%","101,404","43.1%","56.9%","","939,996","96.6%","3.4%","96.6%","49.5%","3.7%","0.6%","0.0%","0.0%","0.0%","0.0%","19.8%","0.8%","8.9%","4.5%","0.8%","1.7%","1.4%","1.7%","0.1%","0.1%","0.0%","0.0%","0.0%","23.0%","3.4%","0.3%","0.4%","0.7%","0.1%","","939,996","52.2%","4.4%","1.2%","21.0%","0.3%","24.6%","","939,996","53.7%","45.8%","0.5%","0.4%","7.1%","46.3%","21.5%","3.4%","0.1%","19.5%","0.1%","0.2%","1.4%","0.2%","1.2%","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","366,734","176,607","190,127","29,892","27,498","28,061","27,451","27,103","57,378","54,873","47,199","18,558","15,331","19,344","10,669","3,377","32.4","264,788","247,897","42,229","33,390","264,788","124,752","140,036","33,390","14,110","19,280","","366,734","355,607","11,127","355,607","120,143","110,236","1,304","268","21","28","0","29,977","1,295","2,392","7,552","6,312","4,983","4,386","3,057","2,038","548","151","430","909","91,909","11,127","2,292","847","1,384","929","","366,734","127,750","115,574","3,740","33,253","2,873","95,640","","366,734","188,537","137,922","1,940","1,547","47,128","178,197","31,214","107,606","588","29,516","1,781","982","6,510","537","5,973","127,844"
"    Percent","","366,734","48.2%","51.8%","8.2%","7.5%","7.7%","7.5%","7.4%","15.6%","15.0%","12.9%","5.1%","4.2%","5.3%","2.9%","0.9%","(X)","72.2%","67.6%","11.5%","9.1%","264,788","47.1%","52.9%","33,390","42.3%","57.7%","","366,734","97.0%","3.0%","97.0%","32.8%","30.1%","0.4%","0.1%","0.0%","0.0%","0.0%","8.2%","0.4%","0.7%","2.1%","1.7%","1.4%","1.2%","0.8%","0.6%","0.1%","0.0%","0.1%","0.2%","25.1%","3.0%","0.6%","0.2%","0.4%","0.3%","","366,734","34.8%","31.5%","1.0%","9.1%","0.8%","26.1%","","366,734","51.4%","37.6%","0.5%","0.4%","12.9%","48.6%","8.5%","29.3%","0.2%","8.0%","0.5%","0.3%","1.8%","0.1%","1.6%","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","569,289","280,943","288,346","41,652","37,564","40,823","44,527","46,056","87,331","83,922","78,182","31,138","25,381","27,766","17,201","7,746","33.4","423,059","395,449","66,858","52,713","423,059","206,977","216,082","52,713","22,938","29,775","","569,289","539,223","30,066","539,223","286,008","70,458","3,513","215","64","372","29","77,961","2,797","6,787","27,796","3,848","4,215","6,042","26,476","5,378","488","783","3,116","991","95,905","30,066","4,411","5,082","6,019","1,974","","569,289","310,135","80,676","13,086","87,622","7,669","103,374","","569,289","224,921","187,940","3,715","1,553","31,713","344,368","173,440","68,951","1,554","76,303","5,119","2,060","16,941","818","16,123","211,863"
"    Percent","","569,289","49.3%","50.7%","7.3%","6.6%","7.2%","7.8%","8.1%","15.3%","14.7%","13.7%","5.5%","4.5%","4.9%","3.0%","1.4%","(X)","74.3%","69.5%","11.7%","9.3%","423,059","48.9%","51.1%","52,713","43.5%","56.5%","","569,289","94.7%","5.3%","94.7%","50.2%","12.4%","0.6%","0.0%","0.0%","0.1%","0.0%","13.7%","0.5%","1.2%","4.9%","0.7%","0.7%","1.1%","4.7%","0.9%","0.1%","0.1%","0.5%","0.2%","16.8%","5.3%","0.8%","0.9%","1.1%","0.3%","","569,289","54.5%","14.2%","2.3%","15.4%","1.3%","18.2%","","569,289","39.5%","33.0%","0.7%","0.3%","5.6%","60.5%","30.5%","12.1%","0.3%","13.4%","0.9%","0.4%","3.0%","0.1%","2.8%","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,504,392","1,242,572","1,261,820","165,333","149,000","153,989","181,056","212,186","443,556","381,423","320,931","130,859","106,133","134,198","87,047","38,681","33.7","1,936,296","1,809,806","318,415","259,926","1,936,296","954,457","981,839","259,926","108,800","151,126","","2,504,392","2,430,326","74,066","2,430,326","1,212,483","326,418","13,916","770","105","248","73","291,712","16,749","59,313","67,043","28,097","84,589","11,918","24,003","4,974","892","1,188","1,301","1,593","580,823","74,066","10,854","7,768","17,847","2,934","","2,504,392","1,272,722","350,048","30,847","318,363","7,877","605,970","","2,504,392","1,192,808","819,850","9,836","8,213","354,909","1,311,584","645,041","318,405","4,390","288,526","4,445","7,247","43,530","4,197","39,333","987,807"
"    Percent","","2,504,392","49.6%","50.4%","6.6%","5.9%","6.1%","7.2%","8.5%","17.7%","15.2%","12.8%","5.2%","4.2%","5.4%","3.5%","1.5%","(X)","77.3%","72.3%","12.7%","10.4%","1,936,296","49.3%","50.7%","259,926","41.9%","58.1%","","2,504,392","97.0%","3.0%","97.0%","48.4%","13.0%","0.6%","0.0%","0.0%","0.0%","0.0%","11.6%","0.7%","2.4%","2.7%","1.1%","3.4%","0.5%","1.0%","0.2%","0.0%","0.0%","0.1%","0.1%","23.2%","3.0%","0.4%","0.3%","0.7%","0.1%","","2,504,392","50.8%","14.0%","1.2%","12.7%","0.3%","24.2%","","2,504,392","47.6%","32.7%","0.4%","0.3%","14.2%","52.4%","25.8%","12.7%","0.2%","11.5%","0.2%","0.3%","1.7%","0.2%","1.6%","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","249,443","128,881","120,562","15,896","19,073","19,748","20,336","17,777","32,437","40,601","39,712","13,178","10,562","11,910","5,959","2,254","34.9","182,183","170,200","25,956","20,123","182,183","93,101","89,082","20,123","8,022","12,101","","249,443","232,611","16,832","232,611","172,423","10,235","733","22","31","12","23","25,990","2,648","2,824","8,678","1,584","6,416","1,543","2,297","227","55","0","72","100","23,003","16,832","1,951","3,804","4,535","1,357","","249,443","186,839","14,882","6,818","31,513","868","26,744","","249,443","72,822","50,802","1,091","1,596","19,333","176,621","129,779","9,633","307","25,559","227","368","10,748","340","10,408","83,111"
"    Percent","","249,443","51.7%","48.3%","6.4%","7.6%","7.9%","8.2%","7.1%","13.0%","16.3%","15.9%","5.3%","4.2%","4.8%","2.4%","0.9%","(X)","73.0%","68.2%","10.4%","8.1%","182,183","51.1%","48.9%","20,123","39.9%","60.1%","","249,443","93.3%","6.7%","93.3%","69.1%","4.1%","0.3%","0.0%","0.0%","0.0%","0.0%","10.4%","1.1%","1.1%","3.5%","0.6%","2.6%","0.6%","0.9%","0.1%","0.0%","0.0%","0.0%","0.0%","9.2%","6.7%","0.8%","1.5%","1.8%","0.5%","","249,443","74.9%","6.0%","2.7%","12.6%","0.3%","10.7%","","249,443","29.2%","20.4%","0.4%","0.6%","7.8%","70.8%","52.0%","3.9%","0.1%","10.2%","0.1%","0.1%","4.3%","0.1%","4.2%","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","185,148","93,169","91,979","14,225","14,297","16,997","16,751","12,278","24,396","24,776","27,572","9,791","7,637","8,967","5,452","2,009","32.3","129,026","120,066","20,636","16,428","129,026","64,242","64,784","16,428","6,990","9,438","","185,148","178,174","6,974","178,174","116,987","32,643","1,642","85","38","94","0","9,400","857","593","5,408","422","753","484","883","322","47","35","74","166","17,180","6,974","1,455","802","1,120","297","","185,148","122,536","35,264","3,630","11,361","959","19,129","","185,148","66,160","51,986","1,185","591","12,398","118,988","72,058","31,484","1,137","9,186","311","496","4,316","221","4,095","63,569"
"    Percent","","185,148","50.3%","49.7%","7.7%","7.7%","9.2%","9.0%","6.6%","13.2%","13.4%","14.9%","5.3%","4.1%","4.8%","2.9%","1.1%","(X)","69.7%","64.8%","11.1%","8.9%","129,026","49.8%","50.2%","16,428","42.5%","57.5%","","185,148","96.2%","3.8%","96.2%","63.2%","17.6%","0.9%","0.0%","0.0%","0.1%","0.0%","5.1%","0.5%","0.3%","2.9%","0.2%","0.4%","0.3%","0.5%","0.2%","0.0%","0.0%","0.0%","0.1%","9.3%","3.8%","0.8%","0.4%","0.6%","0.2%","","185,148","66.2%","19.0%","2.0%","6.1%","0.5%","10.3%","","185,148","35.7%","28.1%","0.6%","0.3%","6.7%","64.3%","38.9%","17.0%","0.6%","5.0%","0.2%","0.3%","2.3%","0.1%","2.2%","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
