"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or More Races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races","RACE!!Total population!!Two or More Races!!White and Black or African American","RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!White and Asian","RACE!!Total population!!Two or More Races!!White and Some Other Race","RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some Other Race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","935,392","460,364","475,028","96.9","47,100","50,863","61,073","65,069","68,759","129,148","118,789","125,135","63,167","58,401","86,465","43,682","17,741","38.8","194,301","764,502","741,091","695,982","181,735","147,888","741,091","362,726","378,365","95.9","147,888","64,247","83,641","76.8","","935,392","794,016","141,376","794,016","303,665","29,776","13,889","121","162","715","29","222,783","7,556","116,956","41,556","6,716","14,696","14,888","20,415","1,841","236","478","313","814","222,062","141,376","4,896","4,271","8,752","99,529","376","1,634","","935,392","429,801","40,127","31,250","238,739","6,282","339,405","","935,392","513,003","431,103","4,408","3,746","73,746","422,389","146,297","27,935","2,373","220,021","1,596","3,498","20,669","2,699","17,970","285,059","","625,313","303,458","321,855"
"    Percent","","935,392","49.2%","50.8%","(X)","5.0%","5.4%","6.5%","7.0%","7.4%","13.8%","12.7%","13.4%","6.8%","6.2%","9.2%","4.7%","1.9%","(X)","20.8%","81.7%","79.2%","74.4%","19.4%","15.8%","741,091","48.9%","51.1%","(X)","147,888","43.4%","56.6%","(X)","","935,392","84.9%","15.1%","84.9%","32.5%","3.2%","1.5%","0.0%","0.0%","0.1%","0.0%","23.8%","0.8%","12.5%","4.4%","0.7%","1.6%","1.6%","2.2%","0.2%","0.0%","0.1%","0.0%","0.1%","23.7%","15.1%","0.5%","0.5%","0.9%","10.6%","0.0%","0.2%","","935,392","45.9%","4.3%","3.3%","25.5%","0.7%","36.3%","","935,392","54.8%","46.1%","0.5%","0.4%","7.9%","45.2%","15.6%","3.0%","0.3%","23.5%","0.2%","0.4%","2.2%","0.3%","1.9%","(X)","","625,313","48.5%","51.5%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","371,680","182,446","189,234","96.4","22,168","24,311","25,121","23,655","25,928","60,679","50,655","50,206","22,869","21,579","26,339","12,899","5,271","35.8","86,289","294,643","285,391","271,217","56,423","44,509","285,391","138,118","147,273","93.8","44,509","19,127","25,382","75.4","","371,680","311,759","59,921","311,759","88,969","98,422","5,559","75","3","27","60","31,251","1,944","3,290","7,784","5,679","3,982","4,574","3,998","1,583","325","100","609","549","85,975","59,921","3,422","1,518","2,232","42,253","842","2,396","","371,680","142,256","107,830","10,995","36,977","3,128","135,031","","371,680","199,723","141,266","2,212","1,960","54,285","171,957","30,107","95,847","837","30,290","1,453","2,492","10,931","2,094","8,837","127,723","","224,095","107,456","116,639"
"    Percent","","371,680","49.1%","50.9%","(X)","6.0%","6.5%","6.8%","6.4%","7.0%","16.3%","13.6%","13.5%","6.2%","5.8%","7.1%","3.5%","1.4%","(X)","23.2%","79.3%","76.8%","73.0%","15.2%","12.0%","285,391","48.4%","51.6%","(X)","44,509","43.0%","57.0%","(X)","","371,680","83.9%","16.1%","83.9%","23.9%","26.5%","1.5%","0.0%","0.0%","0.0%","0.0%","8.4%","0.5%","0.9%","2.1%","1.5%","1.1%","1.2%","1.1%","0.4%","0.1%","0.0%","0.2%","0.1%","23.1%","16.1%","0.9%","0.4%","0.6%","11.4%","0.2%","0.6%","","371,680","38.3%","29.0%","3.0%","9.9%","0.8%","36.3%","","371,680","53.7%","38.0%","0.6%","0.5%","14.6%","46.3%","8.1%","25.8%","0.2%","8.1%","0.4%","0.7%","2.9%","0.6%","2.4%","(X)","","224,095","48.0%","52.0%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","571,319","282,214","289,105","97.6","31,966","31,339","35,381","36,153","41,062","96,899","80,695","74,509","36,888","33,745","44,822","18,751","9,109","36.4","118,910","465,690","452,409","429,244","92,566","72,682","452,409","220,228","232,181","94.9","72,682","31,316","41,366","75.7","","571,319","502,772","68,547","502,772","245,196","64,310","6,827","98","20","154","18","78,549","2,530","6,704","30,383","3,375","4,809","3,594","27,154","3,854","336","396","1,737","1,385","104,036","68,547","4,578","2,717","7,274","39,608","974","1,460","","571,319","306,225","75,917","14,502","91,497","7,480","151,028","","571,319","248,764","201,971","3,661","1,823","41,309","322,555","156,144","61,831","1,173","76,553","3,672","2,755","20,427","2,443","17,984","216,395","","391,703","189,997","201,706"
"    Percent","","571,319","49.4%","50.6%","(X)","5.6%","5.5%","6.2%","6.3%","7.2%","17.0%","14.1%","13.0%","6.5%","5.9%","7.8%","3.3%","1.6%","(X)","20.8%","81.5%","79.2%","75.1%","16.2%","12.7%","452,409","48.7%","51.3%","(X)","72,682","43.1%","56.9%","(X)","","571,319","88.0%","12.0%","88.0%","42.9%","11.3%","1.2%","0.0%","0.0%","0.0%","0.0%","13.7%","0.4%","1.2%","5.3%","0.6%","0.8%","0.6%","4.8%","0.7%","0.1%","0.1%","0.3%","0.2%","18.2%","12.0%","0.8%","0.5%","1.3%","6.9%","0.2%","0.3%","","571,319","53.6%","13.3%","2.5%","16.0%","1.3%","26.4%","","571,319","43.5%","35.4%","0.6%","0.3%","7.2%","56.5%","27.3%","10.8%","0.2%","13.4%","0.6%","0.5%","3.6%","0.4%","3.1%","(X)","","391,703","48.5%","51.5%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,550,009","1,280,137","1,269,872","100.8","131,557","131,194","140,295","149,114","191,601","488,374","381,759","320,475","147,385","133,113","192,362","94,824","47,956","36.0","483,546","2,119,343","2,066,463","1,962,032","411,745","335,142","2,066,463","1,029,763","1,036,700","99.3","335,142","145,216","189,926","76.5","","2,550,009","2,241,434","308,575","2,241,434","990,572","286,024","29,444","489","39","585","160","313,050","21,343","70,350","65,654","23,904","87,477","11,728","32,594","4,065","759","1,113","1,048","1,145","618,279","308,575","19,421","8,901","35,304","194,513","3,848","9,141","","2,550,009","1,270,489","331,965","60,247","364,448","11,485","844,222","","2,550,009","1,203,955","774,066","12,290","8,372","409,227","1,346,054","655,551","276,649","4,025","308,858","3,101","13,312","84,558","13,406","71,152","1,065,755","","1,600,652","787,719","812,933"
