"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","(X)","414","14,656","941","3,889","4,464","5,362","3,643","523","4,166","2,062","2,104","(X)","365","(X)","4,300","(X)","5,711","(X)","4,212","(X)","1,186","(X)","1,655","(X)","989","(X)","818","(X)","2,345","(X)","1,406","(X)","939"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.3%","26.4%","88.0%","78.4%","86.8%","88.9%","90.1%","79.2%","46.0%","72.6%","77.3%","68.5%","(X)","27.4%","(X)","81.6%","(X)","88.3%","(X)","91.2%","(X)","82.9%","(X)","77.6%","(X)","78.4%","(X)","56.7%","(X)","78.2%","(X)","82.0%","(X)","73.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,154","1,994","259","590","558","587","958","614","1,572","606","966","(X)","969","(X)","967","(X)","757","(X)","406","(X)","244","(X)","479","(X)","273","(X)","625","(X)","654","(X)","308","(X)","346"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.7%","73.6%","12.0%","21.6%","13.2%","11.1%","9.9%","20.8%","54.0%","27.4%","22.7%","31.5%","(X)","72.6%","(X)","18.4%","(X)","11.7%","(X)","8.8%","(X)","17.1%","(X)","22.4%","(X)","21.6%","(X)","43.3%","(X)","21.8%","(X)","18.0%","(X)","26.9%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","71,957","5,479","41,880","2,991","11,703","12,274","14,912","17,777","6,821","24,598","12,050","12,548","6,420","4,850","14,371","14,227","15,798","15,650","10,860","10,722","5,742","4,882","17,027","8,688","39,489","7,879","155,082","5,059","22,769","11,727","11,805","5,731","10,964","5,996"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.6%","58.2%","4.2%","16.3%","17.1%","20.7%","24.7%","9.5%","34.2%","32.4%","36.1%","(X)","75.5%","(X)","99.0%","(X)","99.1%","(X)","98.7%","(X)","85.0%","(X)","51.0%","(X)","20.0%","(X)","3.3%","(X)","51.5%","(X)","48.5%","(X)","54.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,934","32,934","2,273","9,020","9,548","12,093","12,627","2,373","15,000","7,264","7,736","(X)","1,802","(X)","10,667","(X)","12,252","(X)","8,522","(X)","3,633","(X)","5,244","(X)","4,698","(X)","3,050","(X)","7,339","(X)","3,636","(X)","3,703"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69.3%","35.3%","78.6%","76.0%","77.1%","77.8%","81.1%","71.0%","34.8%","61.0%","60.3%","61.7%","(X)","37.2%","(X)","75.0%","(X)","78.3%","(X)","79.5%","(X)","74.4%","(X)","60.4%","(X)","59.6%","(X)","60.3%","(X)","62.6%","(X)","63.4%","(X)","61.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,545","8,946","718","2,683","2,726","2,819","5,150","4,448","9,598","4,786","4,812","(X)","3,048","(X)","3,560","(X)","3,398","(X)","2,200","(X)","1,249","(X)","3,444","(X)","3,181","(X)","2,009","(X)","4,388","(X)","2,095","(X)","2,293"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30.7%","64.7%","21.4%","24.0%","22.9%","22.2%","18.9%","29.0%","65.2%","39.0%","39.7%","38.3%","(X)","62.8%","(X)","25.0%","(X)","21.7%","(X)","20.5%","(X)","25.6%","(X)","39.6%","(X)","40.4%","(X)","39.7%","(X)","37.4%","(X)","36.6%","(X)","38.2%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","475,096","30,498","293,868","23,571","83,613","87,053","99,631","126,681","24,049","150,730","69,293","81,437","47,899","27,557","107,520","104,483","109,193","107,709","69,820","68,220","45,749","35,634","132,531","62,680","286,493","39,793","967,406","29,020","178,280","83,823","90,303","39,695","87,977","44,128"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","61.9%","5.0%","17.6%","18.3%","21.0%","26.7%","5.1%","31.7%","29.3%","34.1%","(X)","57.5%","(X)","97.2%","(X)","98.6%","(X)","97.7%","(X)","77.9%","(X)","47.3%","(X)","13.9%","(X)","3.0%","(X)","47.0%","(X)","44.0%","(X)","50.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16,575","256,992","20,178","73,295","76,070","87,449","106,594","13,201","119,795","55,756","64,039","(X)","15,629","(X)","89,624","(X)","94,205","(X)","59,748","(X)","31,185","(X)","52,415","(X)","29,313","(X)","21,243","(X)","70,820","(X)","34,242","(X)","36,578"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.8%","54.3%","87.5%","85.6%","87.7%","87.4%","87.8%","84.1%","54.9%","79.5%","80.5%","78.6%","(X)","56.7%","(X)","85.8%","(X)","87.5%","(X)","87.6%","(X)","87.5%","(X)","83.6%","(X)","73.7%","(X)","73.2%","(X)","84.5%","(X)","86.3%","(X)","82.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13,923","36,876","3,393","10,318","10,983","12,182","20,087","10,848","30,935","13,537","17,398","(X)","11,928","(X)","14,859","(X)","13,504","(X)","8,472","(X)","4,449","(X)","10,265","(X)","10,480","(X)","7,777","(X)","13,003","(X)","5,453","(X)","7,550"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.2%","45.7%","12.5%","14.4%","12.3%","12.6%","12.2%","15.9%","45.1%","20.5%","19.5%","21.4%","(X)","43.3%","(X)","14.2%","(X)","12.5%","(X)","12.4%","(X)","12.5%","(X)","16.4%","(X)","26.3%","(X)","26.8%","(X)","15.5%","(X)","13.7%","(X)","17.1%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,334","1,329","8,563","726","2,530","2,364","2,943","5,543","2,899","8,442","4,004","4,438","1,487","1,115","3,313","3,228","3,050","3,037","2,173","2,173","1,301","1,148","6,072","3,287","18,178","2,603","53,989","1,743","7,373","4,207","3,743","2,113","3,630","2,094"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.2%","46.7%","4.0%","13.8%","12.9%","16.1%","30.2%","15.8%","46.0%","44.8%","47.2%","(X)","75.0%","(X)","97.4%","(X)","99.6%","(X)","100.0%","(X)","88.2%","(X)","54.1%","(X)","14.3%","(X)","3.2%","(X)","57.1%","(X)","56.5%","(X)","57.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","592","6,718","491","2,028","1,957","2,242","4,307","1,302","5,609","2,773","2,836","(X)","480","(X)","2,455","(X)","2,473","(X)","1,648","(X)","995","(X)","2,244","(X)","1,548","(X)","1,076","(X)","3,082","(X)","1,659","(X)","1,423"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.5%","44.5%","78.5%","67.6%","80.2%","82.8%","76.2%","77.7%","44.9%","66.4%","69.3%","63.9%","(X)","43.0%","(X)","76.1%","(X)","81.4%","(X)","75.8%","(X)","86.7%","(X)","68.3%","(X)","59.5%","(X)","61.7%","(X)","73.3%","(X)","78.5%","(X)","68.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","737","1,845","235","502","407","701","1,236","1,597","2,833","1,231","1,602","(X)","635","(X)","773","(X)","564","(X)","525","(X)","153","(X)","1,043","(X)","1,055","(X)","667","(X)","1,125","(X)","454","(X)","671"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29.5%","55.5%","21.5%","32.4%","19.8%","17.2%","23.8%","22.3%","55.1%","33.6%","30.7%","36.1%","(X)","57.0%","(X)","23.9%","(X)","18.6%","(X)","24.2%","(X)","13.3%","(X)","31.7%","(X)","40.5%","(X)","38.3%","(X)","26.7%","(X)","21.5%","(X)","32.0%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68,352","3,336","49,121","3,666","13,129","14,748","17,578","14,184","1,711","15,895","6,781","9,114","7,142","3,013","16,673","16,075","18,515","18,346","11,614","11,493","7,011","5,027","16,230","6,722","25,524","3,795","101,002","3,881","23,241","8,626","12,124","4,009","11,117","4,617"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.9%","71.9%","5.4%","19.2%","21.6%","25.7%","20.8%","2.5%","23.3%","19.7%","26.9%","(X)","42.2%","(X)","96.4%","(X)","99.1%","(X)","99.0%","(X)","71.7%","(X)","41.4%","(X)","14.9%","(X)","3.8%","(X)","37.1%","(X)","33.1%","(X)","41.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,490","45,710","3,276","12,093","13,874","16,467","11,605","814","12,419","5,287","7,132","(X)","2,143","(X)","14,772","(X)","17,174","(X)","10,832","(X)","4,582","(X)","5,672","(X)","2,855","(X)","2,589","(X)","7,331","(X)","3,377","(X)","3,954"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.7%","74.6%","93.1%","89.4%","92.1%","94.1%","93.7%","81.8%","47.6%","78.1%","78.0%","78.3%","(X)","71.1%","(X)","91.9%","(X)","93.6%","(X)","94.2%","(X)","91.1%","(X)","84.4%","(X)","75.2%","(X)","66.7%","(X)","85.0%","(X)","84.2%","(X)","85.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","846","3,411","390","1,036","874","1,111","2,579","897","3,476","1,494","1,982","(X)","870","(X)","1,303","(X)","1,172","(X)","661","(X)","445","(X)","1,050","(X)","940","(X)","1,292","(X)","1,295","(X)","632","(X)","663"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.3%","25.4%","6.9%","10.6%","7.9%","5.9%","6.3%","18.2%","52.4%","21.9%","22.0%","21.7%","(X)","28.9%","(X)","8.1%","(X)","6.4%","(X)","5.8%","(X)","8.9%","(X)","15.6%","(X)","24.8%","(X)","33.3%","(X)","15.0%","(X)","15.8%","(X)","14.4%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,308","3,728","21,410","2,101","6,407","6,618","6,284","5,509","2,661","8,170","3,574","4,596","3,900","3,060","8,607","8,464","8,119","8,032","4,799","4,710","1,822","1,514","5,499","2,562","19,877","2,564","82,195","2,402","7,321","3,240","3,510","1,556","3,811","1,684"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.2%","64.3%","6.3%","19.2%","19.9%","18.9%","16.5%","8.0%","24.5%","21.5%","27.6%","(X)","78.5%","(X)","98.3%","(X)","98.9%","(X)","98.1%","(X)","83.1%","(X)","46.6%","(X)","12.9%","(X)","2.9%","(X)","44.3%","(X)","44.3%","(X)","44.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,249","18,617","1,755","5,841","5,512","5,509","4,485","1,313","5,798","2,688","3,110","(X)","963","(X)","7,298","(X)","6,727","(X)","4,140","(X)","1,258","(X)","2,057","(X)","1,802","(X)","1,419","(X)","2,623","(X)","1,313","(X)","1,310"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.1%","33.5%","87.0%","83.5%","91.2%","83.3%","87.7%","81.4%","49.3%","71.0%","75.2%","67.7%","(X)","31.5%","(X)","86.2%","(X)","83.8%","(X)","87.9%","(X)","83.1%","(X)","80.3%","(X)","70.3%","(X)","59.1%","(X)","81.0%","(X)","84.4%","(X)","77.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,479","2,793","346","566","1,106","775","1,024","1,348","2,372","886","1,486","(X)","2,097","(X)","1,166","(X)","1,305","(X)","570","(X)","256","(X)","505","(X)","762","(X)","983","(X)","617","(X)","243","(X)","374"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22.9%","66.5%","13.0%","16.5%","8.8%","16.7%","12.3%","18.6%","50.7%","29.0%","24.8%","32.3%","(X)","68.5%","(X)","13.8%","(X)","16.2%","(X)","12.1%","(X)","16.9%","(X)","19.7%","(X)","29.7%","(X)","40.9%","(X)","19.0%","(X)","15.6%","(X)","22.2%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","155,395","9,357","111,721","8,944","32,417","31,758","38,602","32,060","2,257","34,317","15,075","19,242","18,226","8,300","41,984","40,723","39,638","38,967","26,039","25,165","16,816","12,043","45,709","17,740","78,380","8,129","213,693","4,328","62,525","23,425","31,718","10,520","30,807","12,905"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","71.9%","5.8%","20.9%","20.4%","24.8%","20.6%","1.5%","22.1%","19.8%","24.2%","(X)","45.5%","(X)","97.0%","(X)","98.3%","(X)","96.6%","(X)","71.6%","(X)","38.8%","(X)","10.4%","(X)","2.0%","(X)","37.5%","(X)","33.2%","(X)","41.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,832","108,669","8,799","31,386","30,800","37,684","29,752","1,631","31,383","13,929","17,454","(X)","7,811","(X)","39,527","(X)","37,802","(X)","24,591","(X)","11,670","(X)","16,576","(X)","7,150","(X)","3,757","(X)","22,008","(X)","9,910","(X)","12,098"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95.8%","94.4%","97.3%","98.4%","96.8%","97.0%","97.6%","92.8%","72.3%","91.5%","92.4%","90.7%","(X)","94.1%","(X)","97.1%","(X)","97.0%","(X)","97.7%","(X)","96.9%","(X)","93.4%","(X)","88.0%","(X)","86.8%","(X)","94.0%","(X)","94.2%","(X)","93.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","525","3,052","145","1,031","958","918","2,308","626","2,934","1,146","1,788","(X)","489","(X)","1,196","(X)","1,165","(X)","574","(X)","373","(X)","1,164","(X)","979","(X)","571","(X)","1,417","(X)","610","(X)","807"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.2%","5.6%","2.7%","1.6%","3.2%","3.0%","2.4%","7.2%","27.7%","8.5%","7.6%","9.3%","(X)","5.9%","(X)","2.9%","(X)","3.0%","(X)","2.3%","(X)","3.1%","(X)","6.6%","(X)","12.0%","(X)","13.2%","(X)","6.0%","(X)","5.8%","(X)","6.3%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77,206","4,391","45,758","2,832","12,665","14,607","15,654","22,676","4,381","27,057","13,200","13,857","7,694","4,090","15,608","15,184","18,038","17,645","11,516","11,173","6,773","5,694","22,478","12,025","45,561","7,198","187,126","4,197","29,251","15,740","15,615","7,935","13,636","7,805"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","59.3%","3.7%","16.4%","18.9%","20.3%","29.4%","5.7%","35.0%","34.0%","36.1%","(X)","53.2%","(X)","97.3%","(X)","97.8%","(X)","97.0%","(X)","84.1%","(X)","53.5%","(X)","15.8%","(X)","2.2%","(X)","53.8%","(X)","50.8%","(X)","57.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,699","42,081","2,442","11,644","13,325","14,670","20,521","2,243","22,764","11,294","11,470","(X)","2,597","(X)","13,605","(X)","16,124","(X)","10,543","(X)","5,315","(X)","10,815","(X)","5,583","(X)","2,962","(X)","14,252","(X)","7,173","(X)","7,079"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87.5%","61.5%","92.0%","86.2%","91.9%","91.2%","93.7%","90.5%","51.2%","84.1%","85.6%","82.8%","(X)","63.5%","(X)","89.6%","(X)","91.4%","(X)","94.4%","(X)","93.3%","(X)","89.9%","(X)","77.6%","(X)","70.6%","(X)","90.5%","(X)","90.4%","(X)","90.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,692","3,677","390","1,021","1,282","984","2,155","2,138","4,293","1,906","2,387","(X)","1,493","(X)","1,579","(X)","1,521","(X)","630","(X)","379","(X)","1,210","(X)","1,615","(X)","1,235","(X)","1,488","(X)","762","(X)","726"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.5%","38.5%","8.0%","13.8%","8.1%","8.8%","6.3%","9.5%","48.8%","15.9%","14.4%","17.2%","(X)","36.5%","(X)","10.4%","(X)","8.6%","(X)","5.6%","(X)","6.7%","(X)","10.1%","(X)","22.4%","(X)","29.4%","(X)","9.5%","(X)","9.6%","(X)","9.3%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,833","2,572","23,256","1,857","6,773","6,770","7,856","9,865","2,140","12,005","5,366","6,639","3,354","2,357","8,261","8,107","8,796","8,675","5,535","5,490","3,370","2,566","9,053","5,353","17,243","2,672","87,303","2,613","12,423","7,001","6,892","3,386","5,531","3,615"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.8%","61.5%","4.9%","17.9%","17.9%","20.8%","26.1%","5.7%","31.7%","29.0%","34.3%","(X)","70.3%","(X)","98.1%","(X)","98.6%","(X)","99.2%","(X)","76.1%","(X)","59.1%","(X)","15.5%","(X)","3.0%","(X)","56.4%","(X)","49.1%","(X)","65.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","820","20,462","1,380","5,917","5,993","7,172","8,229","1,322","9,551","4,391","5,160","(X)","765","(X)","6,693","(X)","7,761","(X)","4,959","(X)","2,340","(X)","4,603","(X)","2,013","(X)","1,699","(X)","6,075","(X)","2,944","(X)","3,131"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.5%","31.9%","88.0%","74.3%","87.4%","88.5%","91.3%","83.4%","61.8%","79.6%","81.8%","77.7%","(X)","32.5%","(X)","82.6%","(X)","89.5%","(X)","90.3%","(X)","91.2%","(X)","86.0%","(X)","75.3%","(X)","65.0%","(X)","86.8%","(X)","86.9%","(X)","86.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,752","2,794","477","856","777","684","1,636","818","2,454","975","1,479","(X)","1,592","(X)","1,414","(X)","914","(X)","531","(X)","226","(X)","750","(X)","659","(X)","914","(X)","926","(X)","442","(X)","484"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.5%","68.1%","12.0%","25.7%","12.6%","11.5%","8.7%","16.6%","38.2%","20.4%","18.2%","22.3%","(X)","67.5%","(X)","17.4%","(X)","10.5%","(X)","9.7%","(X)","8.8%","(X)","14.0%","(X)","24.7%","(X)","35.0%","(X)","13.2%","(X)","13.1%","(X)","13.4%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86,809","4,767","56,918","4,278","15,884","16,956","19,800","21,686","3,438","25,124","12,448","12,676","8,340","4,131","20,126","19,557","21,369","21,108","14,340","14,023","7,506","6,121","21,812","12,127","43,640","5,879","182,451","3,863","29,318","15,538","15,446","8,170","13,872","7,368"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.5%","65.6%","4.9%","18.3%","19.5%","22.8%","25.0%","4.0%","28.9%","28.8%","29.1%","(X)","49.5%","(X)","97.2%","(X)","98.8%","(X)","97.8%","(X)","81.5%","(X)","55.6%","(X)","13.5%","(X)","2.1%","(X)","53.0%","(X)","52.9%","(X)","53.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,741","52,675","3,731","14,683","15,745","18,516","18,430","1,943","20,373","10,236","10,137","(X)","2,358","(X)","17,671","(X)","19,581","(X)","13,143","(X)","5,436","(X)","10,375","(X)","4,435","(X)","2,790","(X)","13,291","(X)","7,118","(X)","6,173"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87.3%","57.5%","92.5%","87.2%","92.4%","92.9%","93.5%","85.0%","56.5%","81.1%","82.2%","80.0%","(X)","57.1%","(X)","90.4%","(X)","92.8%","(X)","93.7%","(X)","88.8%","(X)","85.6%","(X)","75.4%","(X)","72.2%","(X)","85.5%","(X)","87.1%","(X)","83.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,026","4,243","547","1,201","1,211","1,284","3,256","1,495","4,751","2,212","2,539","(X)","1,773","(X)","1,886","(X)","1,527","(X)","880","(X)","685","(X)","1,752","(X)","1,444","(X)","1,073","(X)","2,247","(X)","1,052","(X)","1,195"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.7%","42.5%","7.5%","12.8%","7.6%","7.1%","6.5%","15.0%","43.5%","18.9%","17.8%","20.0%","(X)","42.9%","(X)","9.6%","(X)","7.2%","(X)","6.3%","(X)","11.2%","(X)","14.4%","(X)","24.6%","(X)","27.8%","(X)","14.5%","(X)","12.9%","(X)","16.2%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","93,317","4,818","58,208","3,871","17,006","17,188","20,143","26,886","3,405","30,291","13,923","16,368","8,491","4,245","21,000","20,397","21,557","21,245","14,410","14,176","10,497","8,221","26,413","13,474","45,293","7,098","166,073","4,461","36,910","19,112","18,460","8,792","18,450","10,320"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","62.4%","4.1%","18.2%","18.4%","21.6%","28.8%","3.6%","32.5%","30.2%","34.7%","(X)","50.0%","(X)","97.1%","(X)","98.6%","(X)","98.4%","(X)","78.3%","(X)","51.0%","(X)","15.7%","(X)","2.7%","(X)","51.8%","(X)","47.6%","(X)","55.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,104","52,613","3,407","15,225","15,360","18,621","20,925","1,463","22,388","10,154","12,234","(X)","2,818","(X)","18,012","(X)","19,047","(X)","13,106","(X)","6,350","(X)","10,247","(X)","5,387","(X)","3,138","(X)","14,253","(X)","6,528","(X)","7,725"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.7%","64.4%","90.4%","88.0%","89.5%","89.4%","92.4%","77.8%","43.0%","73.9%","72.9%","74.7%","(X)","66.4%","(X)","88.3%","(X)","89.7%","(X)","92.5%","(X)","77.2%","(X)","76.1%","(X)","75.9%","(X)","70.3%","(X)","74.6%","(X)","74.2%","(X)","74.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,714","5,595","464","1,781","1,828","1,522","5,961","1,942","7,903","3,769","4,134","(X)","1,427","(X)","2,385","(X)","2,198","(X)","1,070","(X)","1,871","(X)","3,227","(X)","1,711","(X)","1,323","(X)","4,859","(X)","2,264","(X)","2,595"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.3%","35.6%","9.6%","12.0%","10.5%","10.6%","7.6%","22.2%","57.0%","26.1%","27.1%","25.3%","(X)","33.6%","(X)","11.7%","(X)","10.3%","(X)","7.5%","(X)","22.8%","(X)","23.9%","(X)","24.1%","(X)","29.7%","(X)","25.4%","(X)","25.8%","(X)","25.1%"
