"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","90.6%","75.0%","94.3%","92.3%","95.8%","94.0%","93.8%","86.5%","54.7%","82.8%","82.6%","82.9%","(X)","72.6%","(X)","94.5%","(X)","94.4%","(X)","93.6%","(X)","90.2%","(X)","85.8%","(X)","82.1%","(X)","78.7%","(X)","86.2%","(X)","86.2%","(X)","86.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","626","2,280","249","497","702","832","1,655","740","2,395","1,110","1,285","(X)","565","(X)","786","(X)","849","(X)","573","(X)","387","(X)","677","(X)","685","(X)","779","(X)","956","(X)","463","(X)","493"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.4%","25.0%","5.7%","7.7%","4.2%","6.0%","6.2%","13.5%","45.3%","17.2%","17.4%","17.1%","(X)","27.4%","(X)","5.5%","(X)","5.6%","(X)","6.4%","(X)","9.8%","(X)","14.2%","(X)","17.9%","(X)","21.3%","(X)","13.8%","(X)","13.8%","(X)","13.8%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,388","1,463","15,675","1,268","3,769","5,000","5,638","4,085","1,165","5,250","2,176","3,074","1,653","1,271","4,715","4,566","6,249","6,177","4,405","4,337","1,729","1,603","3,582","2,037","7,524","1,096","59,418","1,301","5,311","2,799","2,529","1,175","2,782","1,624"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.5%","70.0%","5.7%","16.8%","22.3%","25.2%","18.2%","5.2%","23.5%","20.2%","26.4%","(X)","76.9%","(X)","96.8%","(X)","98.8%","(X)","98.5%","(X)","92.7%","(X)","56.9%","(X)","14.6%","(X)","2.2%","(X)","52.7%","(X)","46.5%","(X)","58.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","501","14,094","1,125","3,487","4,354","5,128","3,099","624","3,723","1,536","2,187","(X)","471","(X)","4,028","(X)","5,402","(X)","4,017","(X)","1,287","(X)","1,469","(X)","854","(X)","790","(X)","2,048","(X)","920","(X)","1,128"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.8%","34.2%","89.9%","88.7%","92.5%","87.1%","91.0%","75.9%","53.6%","70.9%","70.6%","71.1%","(X)","37.1%","(X)","88.2%","(X)","87.5%","(X)","92.6%","(X)","80.3%","(X)","72.1%","(X)","77.9%","(X)","60.7%","(X)","73.2%","(X)","78.3%","(X)","69.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","962","1,581","143","282","646","510","986","541","1,527","640","887","(X)","800","(X)","538","(X)","775","(X)","320","(X)","316","(X)","568","(X)","242","(X)","511","(X)","751","(X)","255","(X)","496"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.2%","65.8%","10.1%","11.3%","7.5%","12.9%","9.0%","24.1%","46.4%","29.1%","29.4%","28.9%","(X)","62.9%","(X)","11.8%","(X)","12.5%","(X)","7.4%","(X)","19.7%","(X)","27.9%","(X)","22.1%","(X)","39.3%","(X)","26.8%","(X)","21.7%","(X)","30.5%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67,912","5,970","39,431","3,588","10,820","11,729","13,294","15,715","6,796","22,511","10,682","11,829","6,961","5,126","14,762","14,311","15,019","14,889","9,755","9,477","5,071","4,505","13,832","7,921","39,899","7,247","159,791","4,436","18,903","10,950","9,453","5,434","9,450","5,516"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.8%","58.1%","5.3%","15.9%","17.3%","19.6%","23.1%","10.0%","33.1%","30.7%","35.7%","(X)","73.6%","(X)","96.9%","(X)","99.1%","(X)","97.2%","(X)","88.8%","(X)","57.3%","(X)","18.2%","(X)","2.8%","(X)","57.9%","(X)","57.5%","(X)","58.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,926","31,153","2,755","8,736","9,372","10,290","11,656","2,649","14,305","6,473","7,832","(X)","1,672","(X)","10,947","(X)","12,030","(X)","7,130","(X)","3,452","(X)","5,421","(X)","4,103","(X)","2,629","(X)","7,679","(X)","3,808","(X)","3,871"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69.8%","32.3%","79.0%","76.8%","80.7%","79.9%","77.4%","74.2%","39.0%","63.5%","60.6%","66.2%","(X)","32.6%","(X)","76.5%","(X)","80.8%","(X)","75.2%","(X)","76.6%","(X)","68.4%","(X)","56.6%","(X)","59.3%","(X)","70.1%","(X)","70.1%","(X)","70.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,044","8,278","833","2,084","2,357","3,004","4,059","4,147","8,206","4,209","3,997","(X)","3,454","(X)","3,364","(X)","2,859","(X)","2,347","(X)","1,053","(X)","2,500","(X)","3,144","(X)","1,807","(X)","3,271","(X)","1,626","(X)","1,645"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30.2%","67.7%","21.0%","23.2%","19.3%","20.1%","22.6%","25.8%","61.0%","36.5%","39.4%","33.8%","(X)","67.4%","(X)","23.5%","(X)","19.2%","(X)","24.8%","(X)","23.4%","(X)","31.6%","(X)","43.4%","(X)","40.7%","(X)","29.9%","(X)","29.9%","(X)","29.8%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","466,309","28,807","284,374","23,775","82,690","85,057","92,852","128,251","24,877","153,128","70,122","83,006","44,876","25,777","105,811","102,908","107,244","105,794","66,784","65,057","42,452","34,059","123,658","61,282","296,084","42,923","1,013,815","28,509","166,110","83,379","83,620","39,191","82,490","44,188"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","61.0%","5.1%","17.7%","18.2%","19.9%","27.5%","5.3%","32.8%","30.5%","35.1%","(X)","57.4%","(X)","97.3%","(X)","98.6%","(X)","97.4%","(X)","80.2%","(X)","49.6%","(X)","14.5%","(X)","2.8%","(X)","50.2%","(X)","46.9%","(X)","53.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,474","250,542","20,442","73,019","75,118","81,963","109,272","13,839","123,111","57,136","65,975","(X)","13,830","(X)","89,331","(X)","93,573","(X)","57,257","(X)","29,837","(X)","51,905","(X)","32,974","(X)","20,420","(X)","71,230","(X)","34,138","(X)","37,092"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.4%","53.7%","88.1%","86.0%","88.3%","88.3%","88.3%","85.2%","55.6%","80.4%","81.5%","79.5%","(X)","53.7%","(X)","86.8%","(X)","88.4%","(X)","88.0%","(X)","87.6%","(X)","84.7%","(X)","76.8%","(X)","71.6%","(X)","85.4%","(X)","87.1%","(X)","83.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13,333","33,832","3,333","9,671","9,939","10,889","18,979","11,038","30,017","12,986","17,031","(X)","11,947","(X)","13,577","(X)","12,221","(X)","7,800","(X)","4,222","(X)","9,377","(X)","9,949","(X)","8,089","(X)","12,149","(X)","5,053","(X)","7,096"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.6%","46.3%","11.9%","14.0%","11.7%","11.7%","11.7%","14.8%","44.4%","19.6%","18.5%","20.5%","(X)","46.3%","(X)","13.2%","(X)","11.6%","(X)","12.0%","(X)","12.4%","(X)","15.3%","(X)","23.2%","(X)","28.4%","(X)","14.6%","(X)","12.9%","(X)","16.1%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,970","1,189","9,439","974","2,791","2,518","3,156","4,137","2,205","6,342","3,196","3,146","1,223","940","3,647","3,647","3,416","3,351","2,367","2,341","1,249","1,143","4,372","1,865","18,578","2,087","53,683","1,596","5,621","2,667","3,085","1,561","2,536","1,106"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.0%","55.6%","5.7%","16.4%","14.8%","18.6%","24.4%","13.0%","37.4%","37.0%","37.8%","(X)","76.9%","(X)","100.0%","(X)","98.1%","(X)","98.9%","(X)","91.5%","(X)","42.7%","(X)","11.2%","(X)","3.0%","(X)","47.4%","(X)","50.6%","(X)","43.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","432","7,401","738","2,266","1,952","2,445","3,521","980","4,501","2,339","2,162","(X)","305","(X)","2,876","(X)","2,651","(X)","1,779","(X)","916","(X)","1,540","(X)","1,220","(X)","1,047","(X)","2,242","(X)","1,302","(X)","940"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72.7%","36.3%","78.4%","75.8%","81.2%","77.5%","77.5%","85.1%","44.4%","71.0%","73.2%","68.7%","(X)","32.4%","(X)","78.9%","(X)","79.1%","(X)","76.0%","(X)","80.1%","(X)","82.6%","(X)","58.5%","(X)","65.6%","(X)","84.1%","(X)","83.4%","(X)","85.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","757","2,038","236","525","566","711","616","1,225","1,841","857","984","(X)","635","(X)","771","(X)","700","(X)","562","(X)","227","(X)","325","(X)","867","(X)","549","(X)","425","(X)","259","(X)","166"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27.3%","63.7%","21.6%","24.2%","18.8%","22.5%","22.5%","14.9%","55.6%","29.0%","26.8%","31.3%","(X)","67.6%","(X)","21.1%","(X)","20.9%","(X)","24.0%","(X)","19.9%","(X)","17.4%","(X)","41.5%","(X)","34.4%","(X)","15.9%","(X)","16.6%","(X)","15.0%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,784","3,074","44,651","3,104","11,950","13,695","15,902","14,277","1,782","16,059","6,669","9,390","6,107","2,257","15,616","14,580","17,479","17,303","11,165","11,031","6,063","4,324","15,384","6,861","27,314","3,924","105,119","3,504","21,447","8,961","11,045","4,183","10,402","4,778"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","70.0%","4.9%","18.7%","21.5%","24.9%","22.4%","2.8%","25.2%","21.7%","28.4%","(X)","37.0%","(X)","93.4%","(X)","99.0%","(X)","98.8%","(X)","71.3%","(X)","44.6%","(X)","14.4%","(X)","3.3%","(X)","41.8%","(X)","37.9%","(X)","45.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,076","41,346","2,763","10,984","12,858","14,741","12,165","1,050","13,215","5,522","7,693","(X)","1,555","(X)","13,080","(X)","16,252","(X)","10,173","(X)","3,950","(X)","5,963","(X)","3,113","(X)","2,551","(X)","7,830","(X)","3,580","(X)","4,250"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.8%","67.5%","92.6%","89.0%","91.9%","93.9%","92.7%","85.2%","58.9%","82.3%","82.8%","81.9%","(X)","68.9%","(X)","89.7%","(X)","93.9%","(X)","92.2%","(X)","91.4%","(X)","86.9%","(X)","79.3%","(X)","72.8%","(X)","87.4%","(X)","85.6%","(X)","88.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","998","3,305","341","966","837","1,161","2,112","732","2,844","1,147","1,697","(X)","702","(X)","1,500","(X)","1,051","(X)","858","(X)","374","(X)","898","(X)","811","(X)","953","(X)","1,131","(X)","603","(X)","528"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.2%","32.5%","7.4%","11.0%","8.1%","6.1%","7.3%","14.8%","41.1%","17.7%","17.2%","18.1%","(X)","31.1%","(X)","10.3%","(X)","6.1%","(X)","7.8%","(X)","8.6%","(X)","13.1%","(X)","20.7%","(X)","27.2%","(X)","12.6%","(X)","14.4%","(X)","11.1%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,237","3,522","22,781","1,846","7,423","6,481","7,031","4,897","2,037","6,934","3,264","3,670","3,775","2,980","9,125","8,969","8,528","8,482","5,187","5,151","1,545","1,390","4,211","1,795","19,326","2,405","82,287","2,065","5,756","2,513","3,018","1,395","2,738","1,118"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.6%","68.5%","5.6%","22.3%","19.5%","21.2%","14.7%","6.1%","20.9%","19.6%","22.1%","(X)","78.9%","(X)","98.3%","(X)","99.5%","(X)","99.3%","(X)","90.0%","(X)","42.6%","(X)","12.4%","(X)","2.5%","(X)","43.7%","(X)","46.2%","(X)","40.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,072","19,948","1,594","6,762","5,691","5,901","4,033","1,063","5,096","2,578","2,518","(X)","900","(X)","7,807","(X)","7,418","(X)","4,272","(X)","1,202","(X)","1,475","(X)","1,781","(X)","1,261","(X)","2,103","(X)","1,221","(X)","882"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78.6%","30.4%","87.6%","86.3%","91.1%","87.8%","83.9%","82.4%","52.2%","73.5%","79.0%","68.6%","(X)","30.2%","(X)","87.0%","(X)","87.5%","(X)","82.9%","(X)","86.5%","(X)","82.2%","(X)","74.1%","(X)","61.1%","(X)","83.7%","(X)","87.5%","(X)","78.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,450","2,833","252","661","790","1,130","864","974","1,838","686","1,152","(X)","2,080","(X)","1,162","(X)","1,064","(X)","879","(X)","188","(X)","320","(X)","624","(X)","804","(X)","410","(X)","174","(X)","236"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21.4%","69.6%","12.4%","13.7%","8.9%","12.2%","16.1%","17.6%","47.8%","26.5%","21.0%","31.4%","(X)","69.8%","(X)","13.0%","(X)","12.5%","(X)","17.1%","(X)","13.5%","(X)","17.8%","(X)","25.9%","(X)","38.9%","(X)","16.3%","(X)","12.5%","(X)","21.1%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","151,503","8,055","106,274","8,116","30,042","33,258","34,858","34,573","2,601","37,174","16,023","21,151","15,221","6,976","38,187","37,014","41,564","40,966","24,133","23,511","15,178","10,922","41,473","17,764","78,663","9,460","223,118","4,890","56,651","24,100","28,175","10,556","28,476","13,544"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.3%","70.1%","5.4%","19.8%","22.0%","23.0%","22.8%","1.7%","24.5%","21.5%","27.5%","(X)","45.8%","(X)","96.9%","(X)","98.6%","(X)","97.4%","(X)","72.0%","(X)","42.8%","(X)","12.0%","(X)","2.2%","(X)","42.5%","(X)","37.5%","(X)","47.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7,557","103,159","7,918","28,996","32,335","33,910","31,977","1,725","33,702","14,746","18,956","(X)","6,534","(X)","35,750","(X)","39,826","(X)","22,957","(X)","10,566","(X)","16,371","(X)","8,307","(X)","4,107","(X)","22,546","(X)","9,944","(X)","12,602"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95.3%","93.8%","97.1%","97.6%","96.5%","97.2%","97.3%","92.5%","66.3%","90.7%","92.0%","89.6%","(X)","93.7%","(X)","96.6%","(X)","97.2%","(X)","97.6%","(X)","96.7%","(X)","92.2%","(X)","87.8%","(X)","84.0%","(X)","93.6%","(X)","94.2%","(X)","93.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","498","3,115","198","1,046","923","948","2,596","876","3,472","1,277","2,195","(X)","442","(X)","1,264","(X)","1,140","(X)","554","(X)","356","(X)","1,393","(X)","1,153","(X)","783","(X)","1,554","(X)","612","(X)","942"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.7%","6.2%","2.9%","2.4%","3.5%","2.8%","2.7%","7.5%","33.7%","9.3%","8.0%","10.4%","(X)","6.3%","(X)","3.4%","(X)","2.8%","(X)","2.4%","(X)","3.3%","(X)","7.8%","(X)","12.2%","(X)","16.0%","(X)","6.4%","(X)","5.8%","(X)","7.0%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,932","4,090","44,382","3,612","12,022","13,541","15,207","21,608","4,852","26,460","13,027","13,433","7,184","4,069","15,343","15,026","16,627","16,196","11,151","10,838","6,834","5,729","20,150","10,845","48,800","8,107","185,991","4,122","26,984","14,631","13,659","7,257","13,325","7,374"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.5%","59.2%","4.8%","16.0%","18.1%","20.3%","28.8%","6.5%","35.3%","34.5%","36.1%","(X)","56.6%","(X)","97.9%","(X)","97.4%","(X)","97.2%","(X)","83.8%","(X)","53.8%","(X)","16.6%","(X)","2.2%","(X)","54.2%","(X)","53.1%","(X)","55.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,695","41,196","3,119","10,947","12,750","14,380","20,002","2,654","22,656","11,157","11,499","(X)","2,749","(X)","13,454","(X)","15,195","(X)","10,287","(X)","5,439","(X)","10,069","(X)","6,273","(X)","3,081","(X)","13,675","(X)","6,747","(X)","6,928"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.8%","65.9%","92.8%","86.4%","91.1%","94.2%","94.6%","92.6%","54.7%","85.6%","85.6%","85.6%","(X)","67.6%","(X)","89.5%","(X)","93.8%","(X)","94.9%","(X)","94.9%","(X)","92.8%","(X)","77.4%","(X)","74.7%","(X)","93.5%","(X)","93.0%","(X)","94.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,395","3,186","493","1,075","791","827","1,606","2,198","3,804","1,870","1,934","(X)","1,320","(X)","1,572","(X)","1,001","(X)","551","(X)","290","(X)","776","(X)","1,834","(X)","1,041","(X)","956","(X)","510","(X)","446"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.2%","34.1%","7.2%","13.6%","8.9%","5.8%","5.4%","7.4%","45.3%","14.4%","14.4%","14.4%","(X)","32.4%","(X)","10.5%","(X)","6.2%","(X)","5.1%","(X)","5.1%","(X)","7.2%","(X)","22.6%","(X)","25.3%","(X)","6.5%","(X)","7.0%","(X)","6.0%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,252","2,880","21,251","1,886","6,406","6,353","6,606","8,025","2,096","10,121","4,663","5,458","2,904","2,195","8,394","8,250","8,098","8,007","4,710","4,606","2,499","2,127","7,430","4,228","19,484","2,878","86,085","1,961","9,929","5,442","5,345","2,771","4,584","2,671"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.4%","62.0%","5.5%","18.7%","18.5%","19.3%","23.4%","6.1%","29.5%","26.9%","32.3%","(X)","75.6%","(X)","98.3%","(X)","98.9%","(X)","97.8%","(X)","85.1%","(X)","56.9%","(X)","14.8%","(X)","2.3%","(X)","54.8%","(X)","51.8%","(X)","58.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,088","19,033","1,554","5,787","5,634","6,058","6,751","1,116","7,867","3,658","4,209","(X)","688","(X)","7,087","(X)","7,120","(X)","4,247","(X)","1,994","(X)","3,633","(X)","2,015","(X)","1,204","(X)","4,770","(X)","2,442","(X)","2,328"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.7%","37.8%","89.6%","82.4%","90.3%","88.7%","91.7%","84.1%","53.2%","77.7%","78.4%","77.1%","(X)","31.3%","(X)","85.9%","(X)","88.9%","(X)","92.2%","(X)","93.7%","(X)","85.9%","(X)","70.0%","(X)","61.4%","(X)","87.7%","(X)","88.1%","(X)","87.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,792","2,218","332","619","719","548","1,274","980","2,254","1,005","1,249","(X)","1,507","(X)","1,163","(X)","887","(X)","359","(X)","133","(X)","595","(X)","863","(X)","757","(X)","672","(X)","329","(X)","343"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.3%","62.2%","10.4%","17.6%","9.7%","11.3%","8.3%","15.9%","46.8%","22.3%","21.6%","22.9%","(X)","68.7%","(X)","14.1%","(X)","11.1%","(X)","7.8%","(X)","6.3%","(X)","14.1%","(X)","30.0%","(X)","38.6%","(X)","12.3%","(X)","11.9%","(X)","12.8%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85,552","5,073","55,554","4,585","14,747","17,749","18,473","20,724","4,201","24,925","11,750","13,175","7,961","4,579","19,184","18,698","22,453","22,160","12,778","12,487","7,559","5,936","20,495","10,271","44,659","7,056","185,708","4,365","28,054","13,926","14,671","6,821","13,383","7,105"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","64.9%","5.4%","17.2%","20.7%","21.6%","24.2%","4.9%","29.1%","27.6%","30.7%","(X)","57.5%","(X)","97.5%","(X)","98.7%","(X)","97.7%","(X)","78.5%","(X)","50.1%","(X)","15.8%","(X)","2.4%","(X)","49.6%","(X)","46.5%","(X)","53.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,020","52,241","4,168","13,885","16,814","17,374","18,234","2,311","20,545","10,065","10,480","(X)","2,722","(X)","17,360","(X)","20,935","(X)","11,761","(X)","5,230","(X)","9,012","(X)","5,563","(X)","3,223","(X)","12,184","(X)","6,046","(X)","6,138"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.6%","59.5%","94.0%","90.9%","94.2%","94.7%","94.1%","88.0%","55.0%","82.4%","85.7%","79.5%","(X)","59.4%","(X)","92.8%","(X)","94.5%","(X)","94.2%","(X)","88.1%","(X)","87.7%","(X)","78.8%","(X)","73.8%","(X)","87.5%","(X)","88.6%","(X)","86.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,053","3,313","417","862","935","1,099","2,490","1,890","4,380","1,685","2,695","(X)","1,857","(X)","1,338","(X)","1,225","(X)","726","(X)","706","(X)","1,259","(X)","1,493","(X)","1,142","(X)","1,742","(X)","775","(X)","967"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.4%","40.5%","6.0%","9.1%","5.8%","5.3%","5.9%","12.0%","45.0%","17.6%","14.3%","20.5%","(X)","40.6%","(X)","7.2%","(X)","5.5%","(X)","5.8%","(X)","11.9%","(X)","12.3%","(X)","21.2%","(X)","26.2%","(X)","12.5%","(X)","11.4%","(X)","13.6%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82,186","4,476","49,795","3,771","13,249","15,844","16,931","24,680","3,235","27,915","12,401","15,514","8,105","3,641","18,524","16,932","21,738","19,889","13,713","12,192","9,369","6,726","25,184","12,251","46,410","6,456","171,317","4,099","34,553","17,449","16,520","7,372","18,033","10,077"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.4%","60.6%","4.6%","16.1%","19.3%","20.6%","30.0%","3.9%","34.0%","31.3%","36.4%","(X)","44.9%","(X)","91.4%","(X)","91.5%","(X)","88.9%","(X)","71.8%","(X)","48.6%","(X)","13.9%","(X)","2.4%","(X)","50.5%","(X)","44.6%","(X)","55.9%"
