"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Population 18 years and over!!Enrolled in college or graduate school","Males 18 years and over","Males 18 years and over!!Enrolled in college or graduate school","Females 18 years and over","Females 18 years and over!!Enrolled in college or graduate school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"        Estimate","78,059","4,676","45,603","3,185","12,217","14,217","15,984","23,582","4,198","","54.6%","95.8%","97.7%","97.6%","81.0%","54.0%","16.3%","2.4%","259,831","10.6%","123,448","10.6%","136,383","10.6%","29,771","53.9%","15,799","49.9%","13,972","58.4%","","5.4%","9.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.4%","61.8%","92.1%","88.2%","92.4%","91.1%","93.5%","89.7%","52.2%","","61.9%","90.4%","91.1%","93.8%","92.0%","89.1%","78.1%","74.7%","(X)","83.9%","(X)","84.3%","(X)","83.6%","(X)","89.4%","(X)","89.8%","(X)","88.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.6%","38.2%","7.9%","11.8%","7.6%","8.9%","6.5%","10.3%","47.8%","","38.1%","9.6%","8.9%","6.2%","8.0%","10.9%","21.9%","25.3%","(X)","16.1%","(X)","15.7%","(X)","16.4%","(X)","10.6%","(X)","10.2%","(X)","11.1%","","(X)","(X)"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,559","2,619","23,160","1,588","6,603","7,001","7,968","9,642","2,138","","68.7%","97.9%","99.4%","99.7%","79.2%","59.4%","14.7%","2.9%","116,433","10.1%","55,663","9.7%","60,770","10.5%","11,810","58.2%","6,345","53.3%","5,465","64.0%","","3.3%","4.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","80.8%","31.0%","87.6%","76.1%","86.4%","87.6%","90.7%","82.4%","60.7%","","30.3%","83.2%","88.2%","90.4%","90.3%","85.8%","69.8%","64.0%","(X)","78.5%","(X)","81.6%","(X)","75.8%","(X)","86.9%","(X)","87.0%","(X)","86.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.2%","69.0%","12.4%","23.9%","13.6%","12.4%","9.3%","17.6%","39.3%","","69.7%","16.8%","11.8%","9.6%","9.7%","14.2%","30.2%","36.0%","(X)","21.5%","(X)","18.4%","(X)","24.2%","(X)","13.1%","(X)","13.0%","(X)","13.3%","","(X)","(X)"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,520","4,787","57,810","4,027","16,285","17,484","20,014","21,309","3,614","","49.7%","96.7%","98.8%","98.0%","78.0%","54.4%","13.4%","2.3%","252,394","9.8%","120,885","10.1%","131,509","9.5%","29,085","51.8%","15,201","50.5%","13,884","53.1%","","4.7%","7.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.6%","58.4%","92.4%","87.7%","92.5%","92.6%","93.1%","86.4%","56.1%","","57.0%","90.9%","92.2%","93.3%","91.5%","86.8%","77.0%","70.2%","(X)","81.9%","(X)","82.1%","(X)","81.6%","(X)","87.5%","(X)","88.8%","(X)","86.1%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.4%","41.6%","7.6%","12.3%","7.5%","7.4%","6.9%","13.6%","43.9%","","43.0%","9.1%","7.8%","6.7%","8.5%","13.2%","23.0%","29.8%","(X)","18.1%","(X)","17.9%","(X)","18.4%","(X)","12.5%","(X)","11.2%","(X)","13.9%","","(X)","(X)"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,451","5,008","60,396","4,021","17,400","17,485","21,490","27,548","3,499","","51.4%","97.2%","98.6%","98.9%","81.9%","52.2%","16.4%","2.9%","245,381","12.5%","117,224","12.2%","128,157","12.8%","36,850","52.9%","18,202","50.2%","18,648","55.5%","","5.0%","7.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","84.2%","66.5%","90.6%","88.9%","89.5%","89.3%","92.8%","78.3%","44.3%","","70.0%","88.5%","89.4%","92.9%","77.9%","77.6%","75.0%","72.0%","(X)","74.3%","(X)","73.0%","(X)","75.4%","(X)","75.5%","(X)","75.2%","(X)","75.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.8%","33.5%","9.4%","11.1%","10.5%","10.7%","7.2%","21.7%","55.7%","","30.0%","11.5%","10.6%","7.1%","22.1%","22.4%","25.0%","28.0%","(X)","25.7%","(X)","27.0%","(X)","24.6%","(X)","24.5%","(X)","24.8%","(X)","24.3%","","(X)","(X)"
