"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,742","957","12,805","747","3,254","4,097","4,707","4,633","1,347","","70.3%","97.0%","99.3%","99.2%","93.6%","65.9%","23.2%","2.2%","49,555","12.0%","24,152","10.9%","25,403","13.0%","5,923","66.3%","2,849","64.6%","3,074","68.0%","","3.3%","4.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","71.7%","16.4%","84.9%","81.5%","83.4%","83.3%","87.8%","52.4%","51.8%","","12.7%","79.8%","84.9%","87.8%","60.3%","49.9%","57.8%","55.3%","(X)","52.1%","(X)","54.5%","(X)","50.2%","(X)","49.9%","(X)","57.4%","(X)","43.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","28.3%","83.6%","15.1%","18.5%","16.6%","16.7%","12.2%","47.6%","48.2%","","87.3%","20.2%","15.1%","12.2%","39.7%","50.1%","42.2%","44.7%","(X)","47.9%","(X)","45.5%","(X)","49.8%","(X)","50.1%","(X)","42.6%","(X)","56.7%","","(X)","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","105,713","5,759","74,373","4,781","21,536","22,890","25,166","23,147","2,434","","48.8%","96.1%","98.9%","96.0%","63.4%","40.5%","12.0%","3.5%","239,531","10.6%","112,726","9.4%","126,805","11.7%","40,934","37.6%","20,824","34.3%","20,110","41.0%","","4.4%","7.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","90.9%","81.4%","94.7%","94.8%","94.8%","95.0%","94.4%","84.4%","57.9%","","84.0%","94.0%","95.0%","94.2%","93.0%","87.0%","79.4%","68.2%","(X)","81.8%","(X)","80.4%","(X)","82.7%","(X)","87.8%","(X)","87.6%","(X)","88.0%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9.1%","18.6%","5.3%","5.2%","5.2%","5.0%","5.6%","15.6%","42.1%","","16.0%","6.0%","5.0%","5.8%","7.0%","13.0%","20.6%","31.8%","(X)","18.2%","(X)","19.6%","(X)","17.3%","(X)","12.2%","(X)","12.4%","(X)","12.0%","","(X)","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","127,938","6,403","88,020","5,487","23,209","27,251","32,073","29,036","4,479","","48.1%","97.0%","98.6%","97.8%","72.8%","45.1%","14.8%","3.3%","300,606","11.0%","145,284","10.4%","155,322","11.6%","43,801","44.8%","22,798","40.4%","21,003","49.5%","","4.0%","6.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.6%","70.1%","93.9%","87.7%","93.8%","94.3%","94.7%","86.6%","53.2%","","71.1%","91.8%","94.2%","95.3%","92.6%","85.1%","78.1%","73.2%","(X)","82.1%","(X)","83.2%","(X)","81.1%","(X)","87.3%","(X)","88.3%","(X)","86.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.4%","29.9%","6.1%","12.3%","6.2%","5.7%","5.3%","13.4%","46.8%","","28.9%","8.2%","5.8%","4.7%","7.4%","14.9%","21.9%","26.8%","(X)","17.9%","(X)","16.8%","(X)","18.9%","(X)","12.7%","(X)","11.7%","(X)","13.6%","","(X)","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","289,785","13,950","183,577","12,429","49,500","55,530","66,118","80,026","12,232","","51.5%","96.8%","99.0%","98.1%","78.4%","51.2%","15.5%","2.9%","704,579","13.0%","340,611","12.2%","363,968","13.7%","114,785","52.3%","58,657","47.2%","56,128","57.6%","","3.8%","5.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.3%","64.3%","93.1%","89.0%","92.3%","93.2%","94.4%","76.9%","46.4%","","66.3%","90.7%","93.2%","94.2%","79.5%","75.0%","72.5%","69.1%","(X)","72.8%","(X)","74.4%","(X)","71.5%","(X)","74.4%","(X)","76.9%","(X)","72.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.7%","35.7%","6.9%","11.0%","7.7%","6.8%","5.6%","23.1%","53.6%","","33.7%","9.3%","6.8%","5.8%","20.5%","25.0%","27.5%","30.9%","(X)","27.2%","(X)","25.6%","(X)","28.5%","(X)","25.6%","(X)","23.1%","(X)","27.7%","","(X)","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","108,858","6,235","75,012","5,535","22,130","22,870","24,477","23,593","4,018","","52.4%","97.5%","98.8%","97.4%","68.5%","38.6%","13.7%","3.8%","268,392","10.2%","126,911","9.2%","141,481","11.2%","38,057","36.7%","18,918","36.0%","19,139","37.5%","","4.0%","6.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.1%","80.9%","93.3%","91.7%","95.1%","92.7%","92.6%","83.3%","57.5%","","80.8%","94.3%","92.6%","92.0%","92.1%","84.0%","78.8%","71.4%","(X)","79.6%","(X)","82.3%","(X)","77.6%","(X)","84.4%","(X)","85.5%","(X)","83.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.9%","19.1%","6.7%","8.3%","4.9%","7.3%","7.4%","16.7%","42.5%","","19.2%","5.7%","7.4%","8.0%","7.9%","16.0%","21.2%","28.6%","(X)","20.4%","(X)","17.7%","(X)","22.4%","(X)","15.6%","(X)","14.5%","(X)","16.6%","","(X)","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","172,644","9,829","105,036","7,682","29,948","31,336","36,070","48,611","9,168","","53.2%","97.0%","98.2%","97.4%","74.3%","47.7%","17.0%","4.6%","426,512","13.4%","208,049","12.8%","218,463","14.1%","64,736","48.6%","33,064","47.0%","31,672","50.3%","","3.9%","6.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.0%","68.2%","93.7%","92.7%","93.0%","93.7%","94.5%","87.5%","65.3%","","70.0%","91.9%","93.8%","94.5%","90.8%","89.1%","80.9%","75.3%","(X)","84.0%","(X)","84.3%","(X)","83.7%","(X)","89.3%","(X)","88.7%","(X)","89.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.0%","31.8%","6.3%","7.3%","7.0%","6.3%","5.5%","12.5%","34.7%","","30.0%","8.1%","6.2%","5.5%","9.2%","10.9%","19.1%","24.7%","(X)","16.0%","(X)","15.7%","(X)","16.3%","(X)","10.7%","(X)","11.3%","(X)","10.2%","","(X)","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","679,985","39,295","407,604","32,468","116,418","120,844","137,874","186,651","46,435","","56.5%","97.0%","98.6%","96.2%","76.7%","45.7%","13.5%","3.1%","1,954,350","11.8%","963,388","10.8%","990,962","12.8%","295,924","46.9%","147,710","43.2%","148,214","50.6%","","3.8%","6.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","80.9%","63.8%","89.4%","87.6%","88.9%","89.1%","90.5%","73.8%","49.0%","","66.7%","87.9%","88.9%","89.8%","76.7%","71.1%","67.2%","69.6%","(X)","68.8%","(X)","68.7%","(X)","68.9%","(X)","70.3%","(X)","70.7%","(X)","69.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.1%","36.2%","10.6%","12.4%","11.1%","10.9%","9.5%","26.2%","51.0%","","33.3%","12.1%","11.1%","10.2%","23.3%","28.9%","32.8%","30.4%","(X)","31.2%","(X)","31.3%","(X)","31.1%","(X)","29.7%","(X)","29.3%","(X)","30.1%","","(X)","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81,210","4,773","53,576","2,978","16,284","16,187","18,127","18,879","3,982","","58.8%","97.8%","99.2%","98.5%","78.6%","50.7%","15.5%","3.8%","185,585","12.2%","94,895","10.9%","90,690","13.6%","25,273","51.5%","14,706","43.0%","10,567","63.4%","","3.3%","5.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","84.9%","35.6%","93.8%","90.0%","92.9%","94.3%","94.8%","78.6%","55.1%","","35.7%","90.5%","94.1%","94.6%","82.5%","78.4%","70.5%","69.6%","(X)","74.4%","(X)","76.1%","(X)","73.0%","(X)","78.0%","(X)","82.6%","(X)","73.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.1%","64.4%","6.2%","10.0%","7.1%","5.7%","5.2%","21.4%","44.9%","","64.3%","9.5%","5.9%","5.4%","17.5%","21.6%","29.5%","30.4%","(X)","25.6%","(X)","23.9%","(X)","27.0%","(X)","22.0%","(X)","17.4%","(X)","26.3%","","(X)","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,084","2,520","41,721","2,727","11,612","13,269","14,113","13,384","1,459","","36.2%","96.5%","98.6%","98.3%","66.7%","36.2%","13.9%","4.8%","132,764","11.1%","66,254","9.6%","66,510","12.5%","19,626","37.9%","10,217","32.9%","9,409","43.3%","","3.2%","5.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.5%","71.6%","90.4%","87.5%","91.8%","89.7%","90.4%","85.2%","53.3%","","74.1%","90.2%","89.1%","90.9%","89.0%","86.5%","80.8%","76.8%","(X)","82.0%","(X)","81.6%","(X)","82.2%","(X)","86.3%","(X)","87.4%","(X)","85.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.5%","28.4%","9.6%","12.5%","8.2%","10.3%","9.6%","14.8%","46.7%","","25.9%","9.8%","10.9%","9.1%","11.0%","13.5%","19.2%","23.2%","(X)","18.0%","(X)","18.4%","(X)","17.8%","(X)","13.7%","(X)","12.6%","(X)","14.6%","","(X)","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,877","1,612","17,271","1,031","4,925","5,592","5,723","3,708","1,286","","74.0%","98.0%","99.5%","98.7%","90.2%","50.6%","15.0%","2.7%","70,125","7.1%","33,169","6.7%","36,956","7.3%","5,018","48.4%","2,623","53.4%","2,395","42.9%","","2.7%","4.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","78.6%","21.4%","86.0%","74.6%","86.3%","84.0%","89.9%","77.0%","54.8%","","22.7%","81.7%","85.1%","88.2%","84.1%","74.0%","71.2%","69.1%","(X)","71.4%","(X)","74.9%","(X)","68.5%","(X)","73.7%","(X)","78.1%","(X)","67.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","21.4%","78.6%","14.0%","25.4%","13.7%","16.0%","10.1%","23.0%","45.2%","","77.3%","18.3%","14.9%","11.8%","15.9%","26.0%","28.8%","30.9%","(X)","28.6%","(X)","25.1%","(X)","31.5%","(X)","26.3%","(X)","21.9%","(X)","32.3%","","(X)","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","73,943","5,344","42,951","3,077","11,290","13,150","15,434","18,120","7,528","","70.6%","98.1%","99.2%","98.4%","84.1%","55.4%","21.8%","3.7%","213,235","12.0%","102,330","12.1%","110,905","11.8%","22,185","53.2%","11,695","51.0%","10,490","55.6%","","3.4%","5.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","68.3%","27.9%","76.5%","73.0%","77.4%","74.1%","78.5%","75.3%","33.6%","","31.1%","73.7%","74.2%","76.9%","75.4%","63.7%","60.4%","63.6%","(X)","63.1%","(X)","62.1%","(X)","63.9%","(X)","65.6%","(X)","63.0%","(X)","68.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.7%","72.1%","23.5%","27.0%","22.6%","25.9%","21.5%","24.7%","66.4%","","68.9%","26.3%","25.8%","23.1%","24.6%","36.3%","39.6%","36.4%","(X)","36.9%","(X)","37.9%","(X)","36.1%","(X)","34.4%","(X)","37.0%","(X)","31.7%","","(X)","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","479,355","29,161","304,747","23,511","85,988","92,374","102,874","121,225","24,222","","56.6%","97.5%","98.5%","97.3%","77.3%","44.9%","14.2%","3.4%","1,367,347","10.5%","666,938","9.5%","700,409","11.6%","173,815","44.8%","88,783","40.1%","85,032","49.7%","","3.7%","6.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.0%","54.8%","87.1%","84.0%","86.4%","87.4%","88.1%","84.6%","57.2%","","57.6%","84.6%","87.4%","87.5%","88.8%","85.3%","74.3%","73.2%","(X)","80.0%","(X)","81.4%","(X)","78.9%","(X)","86.0%","(X)","89.1%","(X)","83.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17.0%","45.2%","12.9%","16.0%","13.6%","12.6%","11.9%","15.4%","42.8%","","42.4%","15.4%","12.6%","12.5%","11.2%","14.7%","25.7%","26.8%","(X)","20.0%","(X)","18.6%","(X)","21.1%","(X)","14.0%","(X)","10.9%","(X)","16.6%","","(X)","(X)"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,274","1,370","8,755","701","2,805","2,486","2,763","5,088","3,061","","81.6%","97.6%","99.6%","98.0%","84.5%","55.8%","14.3%","3.3%","77,523","10.5%","36,805","10.3%","40,718","10.7%","7,018","56.7%","3,654","57.3%","3,364","56.0%","","2.8%","6.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","69.1%","21.6%","81.7%","79.5%","81.0%","83.8%","81.0%","79.2%","37.6%","","26.8%","76.0%","83.3%","78.2%","88.7%","67.0%","47.5%","69.2%","(X)","63.6%","(X)","64.4%","(X)","62.8%","(X)","71.8%","(X)","72.3%","(X)","71.2%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30.9%","78.4%","18.3%","20.5%","19.0%","16.2%","19.0%","20.8%","62.4%","","73.2%","24.0%","16.7%","21.8%","11.3%","33.0%","52.5%","30.8%","(X)","36.4%","(X)","35.6%","(X)","37.2%","(X)","28.2%","(X)","27.7%","(X)","28.8%","","(X)","(X)"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,235","3,262","50,435","3,485","13,434","15,751","17,765","14,783","1,755","","45.6%","96.3%","99.4%","98.8%","72.6%","40.2%","15.1%","4.2%","142,775","11.4%","69,720","10.3%","73,055","12.5%","23,364","38.7%","11,884","35.7%","11,480","41.7%","","3.5%","5.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.3%","66.3%","93.8%","94.4%","93.5%","94.2%","93.4%","84.3%","46.0%","","64.8%","94.3%","94.1%","92.3%","92.3%","85.7%","76.7%","69.3%","(X)","79.9%","(X)","79.9%","(X)","79.9%","(X)","86.5%","(X)","84.9%","(X)","87.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.7%","33.7%","6.2%","5.6%","6.5%","5.8%","6.6%","15.7%","54.0%","","35.2%","5.7%","5.9%","7.7%","7.7%","14.3%","23.3%","30.7%","(X)","20.1%","(X)","20.1%","(X)","20.1%","(X)","13.5%","(X)","15.1%","(X)","12.1%","","(X)","(X)"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,012","3,784","20,214","1,911","6,245","5,970","6,088","6,296","2,718","","80.9%","97.5%","98.6%","97.7%","84.9%","47.7%","13.0%","2.8%","109,509","8.2%","54,392","7.1%","55,117","9.3%","8,168","48.8%","4,033","45.0%","4,135","52.5%","","3.1%","4.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","75.1%","27.7%","86.0%","81.8%","83.8%","85.8%","89.8%","80.9%","46.6%","","28.1%","79.1%","86.0%","89.0%","88.4%","72.3%","69.5%","60.7%","(X)","70.4%","(X)","70.9%","(X)","70.0%","(X)","76.5%","(X)","71.8%","(X)","80.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
