"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"            Estimate","24.9%","72.3%","14.0%","18.2%","16.2%","14.2%","10.2%","19.1%","53.4%","","71.9%","20.9%","14.0%","11.0%","11.6%","27.7%","30.5%","39.3%","(X)","29.6%","(X)","29.1%","(X)","30.0%","(X)","23.5%","(X)","28.2%","(X)","19.6%","","(X)","(X)"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,615","9,439","119,081","9,032","32,943","34,269","42,837","27,693","2,402","","47.9%","96.9%","97.8%","95.7%","64.9%","33.0%","9.8%","2.4%","341,533","8.7%","169,208","7.7%","172,325","9.8%","62,144","31.3%","32,527","26.8%","29,617","36.2%","","3.6%","7.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.6%","93.6%","97.0%","97.0%","97.3%","96.6%","97.2%","92.6%","65.3%","","94.3%","97.0%","96.9%","97.3%","95.3%","92.8%","86.5%","88.3%","(X)","90.4%","(X)","90.0%","(X)","90.7%","(X)","93.1%","(X)","92.6%","(X)","93.5%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.4%","6.4%","3.0%","3.0%","2.7%","3.4%","2.8%","7.4%","34.7%","","5.7%","3.0%","3.1%","2.7%","4.7%","7.2%","13.5%","11.7%","(X)","9.6%","(X)","10.0%","(X)","9.3%","(X)","6.9%","(X)","7.4%","(X)","6.5%","","(X)","(X)"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82,292","4,234","48,534","3,948","13,607","14,655","16,324","25,455","4,069","","54.1%","95.9%","98.5%","97.6%","81.5%","57.0%","17.8%","3.0%","253,860","11.5%","120,563","11.4%","133,297","11.6%","29,001","56.3%","15,291","52.8%","13,710","60.2%","","4.4%","7.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","86.3%","59.5%","90.5%","80.8%","91.7%","91.1%","91.4%","88.4%","51.2%","","59.5%","88.9%","91.1%","91.9%","91.4%","88.1%","77.6%","75.2%","(X)","83.1%","(X)","83.3%","(X)","83.0%","(X)","88.5%","(X)","89.6%","(X)","87.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.7%","40.5%","9.5%","19.2%","8.3%","8.9%","8.6%","11.6%","48.8%","","40.5%","11.1%","8.9%","8.1%","8.6%","11.9%","22.4%","24.8%","(X)","16.9%","(X)","16.7%","(X)","17.0%","(X)","11.5%","(X)","10.4%","(X)","12.6%","","(X)","(X)"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,566","2,317","23,629","1,560","6,826","7,286","7,957","9,526","2,094","","67.0%","98.3%","99.3%","98.8%","84.0%","61.0%","14.3%","3.0%","114,456","10.2%","54,565","10.4%","59,891","10.0%","10,845","61.2%","5,885","60.4%","4,960","62.0%","","2.8%","3.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","82.2%","32.5%","87.6%","79.6%","84.1%","87.3%","92.4%","86.7%","55.8%","","33.8%","82.9%","87.5%","93.0%","91.1%","88.1%","70.2%","69.5%","(X)","81.1%","(X)","84.5%","(X)","77.9%","(X)","89.7%","(X)","90.4%","(X)","88.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17.8%","67.5%","12.4%","20.4%","15.9%","12.7%","7.6%","13.3%","44.2%","","66.2%","17.1%","12.5%","7.0%","8.9%","11.9%","29.8%","30.5%","(X)","18.9%","(X)","15.5%","(X)","22.1%","(X)","10.3%","(X)","9.6%","(X)","11.2%","","(X)","(X)"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,721","5,073","59,617","4,688","16,945","17,128","20,856","20,167","3,864","","56.4%","96.9%","98.2%","98.0%","75.7%","49.7%","13.4%","2.5%","246,651","9.7%","118,938","9.4%","127,713","9.9%","29,709","47.8%","15,551","45.2%","14,158","50.7%","","3.6%","6.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
