"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","60,773","2,356","43,283","2,833","12,089","13,901","14,460","12,857","2,277","15,134","7,020","8,114","6,439","2,198","14,121","13,465","18,911","18,344","9,788","9,232","6,094","4,363","12,429","5,196","29,163","4,027","100,426","3,948","18,523","7,608","10,045","3,786","8,478","3,822"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.9%","71.2%","4.7%","19.9%","22.9%","23.8%","21.2%","3.7%","24.9%","22.4%","27.5%","(X)","34.1%","(X)","95.4%","(X)","97.0%","(X)","94.3%","(X)","71.6%","(X)","41.8%","(X)","13.8%","(X)","3.9%","(X)","41.1%","(X)","37.7%","(X)","45.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,660","40,637","2,683","11,453","12,961","13,540","10,611","1,191","11,802","5,468","6,334","(X)","1,553","(X)","12,820","(X)","16,979","(X)","8,687","(X)","3,866","(X)","4,448","(X)","3,197","(X)","2,549","(X)","6,459","(X)","3,223","(X)","3,236"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.0%","70.5%","93.9%","94.7%","94.7%","93.2%","93.6%","82.5%","52.3%","78.0%","77.9%","78.1%","(X)","70.7%","(X)","95.2%","(X)","92.6%","(X)","94.1%","(X)","88.6%","(X)","85.6%","(X)","79.4%","(X)","64.6%","(X)","84.9%","(X)","85.1%","(X)","84.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","696","2,646","150","636","940","920","2,246","1,086","3,332","1,552","1,780","(X)","645","(X)","645","(X)","1,365","(X)","545","(X)","497","(X)","748","(X)","830","(X)","1,399","(X)","1,149","(X)","563","(X)","586"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.0%","29.5%","6.1%","5.3%","5.3%","6.8%","6.4%","17.5%","47.7%","22.0%","22.1%","21.9%","(X)","29.3%","(X)","4.8%","(X)","7.4%","(X)","5.9%","(X)","11.4%","(X)","14.4%","(X)","20.6%","(X)","35.4%","(X)","15.1%","(X)","14.9%","(X)","15.3%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,969","1,320","15,719","1,120","4,408","4,935","5,256","4,835","1,095","5,930","2,886","3,044","1,868","1,100","5,032","4,902","6,336","6,251","4,060","4,002","2,122","2,099","4,063","2,125","7,528","1,130","58,932","1,360","6,185","3,449","3,234","1,888","2,951","1,561"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","68.4%","4.9%","19.2%","21.5%","22.9%","21.1%","4.8%","25.8%","25.4%","26.2%","(X)","58.9%","(X)","97.4%","(X)","98.7%","(X)","98.6%","(X)","98.9%","(X)","52.3%","(X)","15.0%","(X)","2.3%","(X)","55.8%","(X)","58.4%","(X)","52.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","635","14,077","959","4,033","4,213","4,872","3,619","579","4,198","2,179","2,019","(X)","544","(X)","4,330","(X)","5,361","(X)","3,703","(X)","1,786","(X)","1,514","(X)","874","(X)","798","(X)","2,550","(X)","1,558","(X)","992"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.3%","48.1%","89.6%","85.6%","91.5%","85.4%","92.7%","74.9%","52.9%","70.8%","75.5%","66.3%","(X)","49.5%","(X)","88.3%","(X)","85.8%","(X)","92.5%","(X)","85.1%","(X)","71.2%","(X)","77.3%","(X)","58.7%","(X)","73.9%","(X)","82.5%","(X)","63.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","685","1,642","161","375","722","384","1,216","516","1,732","707","1,025","(X)","556","(X)","572","(X)","890","(X)","299","(X)","313","(X)","611","(X)","256","(X)","562","(X)","899","(X)","330","(X)","569"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.7%","51.9%","10.4%","14.4%","8.5%","14.6%","7.3%","25.1%","47.1%","29.2%","24.5%","33.7%","(X)","50.5%","(X)","11.7%","(X)","14.2%","(X)","7.5%","(X)","14.9%","(X)","28.8%","(X)","22.7%","(X)","41.3%","(X)","26.1%","(X)","17.5%","(X)","36.5%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
