"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,969","820","10,191","579","2,679","2,939","3,994","5,022","936","5,958","2,750","3,208","949","721","3,013","2,905","4,035","3,961","3,126","3,115","2,238","2,198","3,821","2,558","5,348","837","37,741","674","6,059","4,369","2,924","2,038","3,135","2,331"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","60.1%","3.4%","15.8%","17.3%","23.5%","29.6%","5.5%","35.1%","31.3%","39.2%","(X)","76.0%","(X)","96.4%","(X)","98.2%","(X)","99.6%","(X)","98.2%","(X)","66.9%","(X)","15.7%","(X)","1.8%","(X)","72.1%","(X)","69.7%","(X)","74.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","181","7,982","414","2,161","2,273","3,134","2,651","420","3,071","1,347","1,724","(X)","154","(X)","2,242","(X)","3,158","(X)","2,387","(X)","1,115","(X)","1,157","(X)","542","(X)","479","(X)","1,983","(X)","865","(X)","1,118"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66.2%","22.1%","78.3%","71.5%","80.7%","77.3%","78.5%","52.8%","44.9%","51.5%","49.0%","53.7%","(X)","21.4%","(X)","77.2%","(X)","79.7%","(X)","76.6%","(X)","50.7%","(X)","45.2%","(X)","64.8%","(X)","71.1%","(X)","45.4%","(X)","42.4%","(X)","48.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","639","2,209","165","518","666","860","2,371","516","2,887","1,403","1,484","(X)","567","(X)","663","(X)","803","(X)","728","(X)","1,083","(X)","1,401","(X)","295","(X)","195","(X)","2,386","(X)","1,173","(X)","1,213"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33.8%","77.9%","21.7%","28.5%","19.3%","22.7%","21.5%","47.2%","55.1%","48.5%","51.0%","46.3%","(X)","78.6%","(X)","22.8%","(X)","20.3%","(X)","23.4%","(X)","49.3%","(X)","54.8%","(X)","35.2%","(X)","28.9%","(X)","54.6%","(X)","57.6%","(X)","52.0%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89,427","4,429","62,068","4,406","17,948","20,127","19,587","20,089","2,841","22,930","9,268","13,662","10,081","3,905","23,226","21,439","25,789","24,911","14,455","13,499","9,167","6,038","24,312","9,628","52,512","5,624","173,039","4,383","33,479","13,645","16,994","5,904","16,485","7,741"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","69.4%","4.9%","20.1%","22.5%","21.9%","22.5%","3.2%","25.6%","21.6%","29.3%","(X)","38.7%","(X)","92.3%","(X)","96.6%","(X)","93.4%","(X)","65.9%","(X)","39.6%","(X)","10.7%","(X)","2.5%","(X)","40.8%","(X)","34.7%","(X)","47.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,431","58,956","4,054","17,171","19,018","18,713","17,902","1,785","19,687","8,174","11,513","(X)","2,940","(X)","20,277","(X)","23,675","(X)","12,960","(X)","5,572","(X)","8,835","(X)","4,282","(X)","3,533","(X)","12,533","(X)","5,558","(X)","6,975"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.8%","77.5%","95.0%","92.0%","95.7%","94.5%","95.5%","89.1%","62.8%","85.9%","88.2%","84.3%","(X)","75.3%","(X)","94.6%","(X)","95.0%","(X)","96.0%","(X)","92.3%","(X)","91.8%","(X)","76.1%","(X)","80.6%","(X)","91.9%","(X)","94.1%","(X)","90.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","998","3,112","352","777","1,109","874","2,187","1,056","3,243","1,094","2,149","(X)","965","(X)","1,162","(X)","1,236","(X)","539","(X)","466","(X)","793","(X)","1,342","(X)","850","(X)","1,112","(X)","346","(X)","766"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.2%","22.5%","5.0%","8.0%","4.3%","5.5%","4.5%","10.9%","37.2%","14.1%","11.8%","15.7%","(X)","24.7%","(X)","5.4%","(X)","5.0%","(X)","4.0%","(X)","7.7%","(X)","8.2%","(X)","23.9%","(X)","19.4%","(X)","8.1%","(X)","5.9%","(X)","9.9%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","113,358","5,414","71,877","5,538","20,028","22,335","23,976","30,284","5,783","36,067","16,065","20,002","11,038","5,067","25,996","23,886","29,897","28,828","17,302","16,563","10,414","8,000","27,427","13,663","65,418","9,911","215,247","7,440","37,841","19,111","19,341","9,026","18,500","10,085"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","63.4%","4.9%","17.7%","19.7%","21.2%","26.7%","5.1%","31.8%","29.1%","34.4%","(X)","45.9%","(X)","91.9%","(X)","96.4%","(X)","95.7%","(X)","76.8%","(X)","49.8%","(X)","15.2%","(X)","3.5%","(X)","50.5%","(X)","46.7%","(X)","54.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,559","66,748","5,037","18,269","20,901","22,541","26,743","3,460","30,203","13,488","16,715","(X)","3,351","(X)","21,684","(X)","26,963","(X)","15,611","(X)","7,344","(X)","11,997","(X)","8,180","(X)","5,380","(X)","16,965","(X)","7,936","(X)","9,029"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.7%","65.7%","92.9%","91.0%","91.2%","93.6%","94.0%","88.3%","59.8%","83.7%","84.0%","83.6%","(X)","66.1%","(X)","90.8%","(X)","93.5%","(X)","94.3%","(X)","91.8%","(X)","87.8%","(X)","82.5%","(X)","72.3%","(X)","88.8%","(X)","87.9%","(X)","89.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,855","5,129","501","1,759","1,434","1,435","3,541","2,323","5,864","2,577","3,287","(X)","1,716","(X)","2,202","(X)","1,865","(X)","952","(X)","656","(X)","1,666","(X)","1,731","(X)","2,060","(X)","2,146","(X)","1,090","(X)","1,056"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.3%","34.3%","7.1%","9.0%","8.8%","6.4%","6.0%","11.7%","40.2%","16.3%","16.0%","16.4%","(X)","33.9%","(X)","9.2%","(X)","6.5%","(X)","5.7%","(X)","8.2%","(X)","12.2%","(X)","17.5%","(X)","27.7%","(X)","11.2%","(X)","12.1%","(X)","10.5%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,804","12,484","149,313","11,859","40,382","47,268","49,804","77,494","14,513","92,007","41,239","50,768","22,249","10,817","52,156","49,345","61,775","59,908","35,887","34,846","29,586","24,133","70,146","37,791","131,180","22,638","514,025","14,326","99,732","55,932","50,072","25,354","49,660","30,578"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.9%","58.8%","4.7%","15.9%","18.6%","19.6%","30.5%","5.7%","36.3%","33.6%","38.7%","(X)","48.6%","(X)","94.6%","(X)","97.0%","(X)","97.1%","(X)","81.6%","(X)","53.9%","(X)","17.3%","(X)","2.8%","(X)","56.1%","(X)","50.6%","(X)","61.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,187","138,331","10,553","37,727","43,522","46,529","59,493","6,717","66,210","30,373","35,837","(X)","6,856","(X)","45,339","(X)","55,379","(X)","32,540","(X)","19,324","(X)","27,275","(X)","16,379","(X)","9,636","(X)","40,970","(X)","19,177","(X)","21,793"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.8%","65.6%","92.6%","89.0%","93.4%","92.1%","93.4%","76.8%","46.3%","72.0%","73.7%","70.6%","(X)","63.4%","(X)","91.9%","(X)","92.4%","(X)","93.4%","(X)","80.1%","(X)","72.2%","(X)","72.4%","(X)","67.3%","(X)","73.2%","(X)","75.6%","(X)","71.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,297","10,982","1,306","2,655","3,746","3,275","18,001","7,796","25,797","10,866","14,931","(X)","3,961","(X)","4,006","(X)","4,529","(X)","2,306","(X)","4,809","(X)","10,516","(X)","6,259","(X)","4,690","(X)","14,962","(X)","6,177","(X)","8,785"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.2%","34.4%","7.4%","11.0%","6.6%","7.9%","6.6%","23.2%","53.7%","28.0%","26.3%","29.4%","(X)","36.6%","(X)","8.1%","(X)","7.6%","(X)","6.6%","(X)","19.9%","(X)","27.8%","(X)","27.6%","(X)","32.7%","(X)","26.8%","(X)","24.4%","(X)","28.7%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","98,792","5,072","65,757","5,752","19,251","19,303","21,451","23,490","4,473","27,963","11,750","16,213","10,012","4,380","25,538","23,903","25,347","24,483","14,771","14,373","9,063","6,748","24,901","10,201","62,029","8,121","190,617","6,583","33,964","14,236","16,823","6,155","17,141","8,081"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.1%","66.6%","5.8%","19.5%","19.5%","21.7%","23.8%","4.5%","28.3%","24.7%","31.7%","(X)","43.7%","(X)","93.6%","(X)","96.6%","(X)","97.3%","(X)","74.5%","(X)","41.0%","(X)","13.1%","(X)","3.5%","(X)","41.9%","(X)","36.6%","(X)","47.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,922","61,146","5,086","17,883","18,227","19,950","20,439","2,343","22,782","9,712","13,070","(X)","3,374","(X)","21,829","(X)","23,010","(X)","13,330","(X)","6,249","(X)","9,039","(X)","6,084","(X)","4,935","(X)","12,735","(X)","5,591","(X)","7,144"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.9%","77.3%","93.0%","88.4%","92.9%","94.4%","93.0%","87.0%","52.4%","81.5%","82.7%","80.6%","(X)","77.0%","(X)","91.3%","(X)","94.0%","(X)","92.7%","(X)","92.6%","(X)","88.6%","(X)","74.9%","(X)","75.0%","(X)","89.5%","(X)","90.8%","(X)","88.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,150","4,611","666","1,368","1,076","1,501","3,051","2,130","5,181","2,038","3,143","(X)","1,006","(X)","2,074","(X)","1,473","(X)","1,043","(X)","499","(X)","1,162","(X)","2,037","(X)","1,648","(X)","1,501","(X)","564","(X)","937"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.1%","22.7%","7.0%","11.6%","7.1%","5.6%","7.0%","13.0%","47.6%","18.5%","17.3%","19.4%","(X)","23.0%","(X)","8.7%","(X)","6.0%","(X)","7.3%","(X)","7.4%","(X)","11.4%","(X)","25.1%","(X)","25.0%","(X)","10.5%","(X)","9.2%","(X)","11.6%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","147,168","7,547","88,058","7,330","25,253","28,441","27,034","42,719","8,844","51,563","22,394","29,169","14,137","6,247","32,808","31,048","36,559","35,673","19,762","18,998","15,585","11,611","39,880","18,666","98,265","15,634","299,144","9,291","55,465","27,086","27,036","11,896","28,429","15,190"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.1%","59.8%","5.0%","17.2%","19.3%","18.4%","29.0%","6.0%","35.0%","31.2%","38.7%","(X)","44.2%","(X)","94.6%","(X)","97.6%","(X)","96.1%","(X)","74.5%","(X)","46.8%","(X)","15.9%","(X)","3.1%","(X)","48.8%","(X)","44.0%","(X)","53.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,145","81,831","6,530","23,075","26,561","25,665","38,248","5,846","44,094","19,498","24,596","(X)","4,174","(X)","28,086","(X)","33,374","(X)","18,060","(X)","10,692","(X)","17,018","(X)","12,829","(X)","6,837","(X)","24,749","(X)","10,897","(X)","13,852"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.1%","68.2%","92.9%","89.1%","91.4%","93.4%","94.9%","89.5%","66.1%","85.5%","87.1%","84.3%","(X)","66.8%","(X)","90.5%","(X)","93.6%","(X)","95.1%","(X)","92.1%","(X)","91.2%","(X)","82.1%","(X)","73.6%","(X)","91.4%","(X)","91.6%","(X)","91.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,402","6,227","800","2,178","1,880","1,369","4,471","2,998","7,469","2,896","4,573","(X)","2,073","(X)","2,962","(X)","2,299","(X)","938","(X)","919","(X)","1,648","(X)","2,805","(X)","2,454","(X)","2,337","(X)","999","(X)","1,338"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.9%","31.8%","7.1%","10.9%","8.6%","6.6%","5.1%","10.5%","33.9%","14.5%","12.9%","15.7%","(X)","33.2%","(X)","9.5%","(X)","6.4%","(X)","4.9%","(X)","7.9%","(X)","8.8%","(X)","17.9%","(X)","26.4%","(X)","8.6%","(X)","8.4%","(X)","8.8%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","619,955","35,732","361,367","28,810","105,900","110,268","116,389","174,581","48,275","222,856","99,887","122,969","55,919","29,692","136,923","129,717","143,674","139,912","82,635","79,827","69,288","56,992","189,606","88,486","491,044","59,443","1,308,789","35,886","258,894","130,093","128,512","59,085","130,382","71,008"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","58.3%","4.6%","17.1%","17.8%","18.8%","28.2%","7.8%","35.9%","32.9%","38.9%","(X)","53.1%","(X)","94.7%","(X)","97.4%","(X)","96.6%","(X)","82.3%","(X)","46.7%","(X)","12.1%","(X)","2.7%","(X)","50.2%","(X)","46.0%","(X)","54.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20,719","319,098","25,159","93,179","96,737","104,023","134,298","23,752","158,050","70,114","87,936","(X)","16,983","(X)","112,724","(X)","123,006","(X)","70,843","(X)","44,604","(X)","63,273","(X)","41,542","(X)","24,892","(X)","94,207","(X)","42,680","(X)","51,527"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.3%","58.0%","88.3%","87.3%","88.0%","87.7%","89.4%","76.9%","49.2%","70.9%","70.2%","71.5%","(X)","57.2%","(X)","86.9%","(X)","87.9%","(X)","88.7%","(X)","78.3%","(X)","71.5%","(X)","69.9%","(X)","69.4%","(X)","72.4%","(X)","72.2%","(X)","72.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,013","42,269","3,651","12,721","13,531","12,366","40,283","24,523","64,806","29,773","35,033","(X)","12,709","(X)","16,993","(X)","16,906","(X)","8,984","(X)","12,388","(X)","25,213","(X)","17,901","(X)","10,994","(X)","35,886","(X)","16,405","(X)","19,481"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.7%","42.0%","11.7%","12.7%","12.0%","12.3%","10.6%","23.1%","50.8%","29.1%","29.8%","28.5%","(X)","42.8%","(X)","13.1%","(X)","12.1%","(X)","11.3%","(X)","21.7%","(X)","28.5%","(X)","30.1%","(X)","30.6%","(X)","27.6%","(X)","27.8%","(X)","27.4%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77,468","4,437","50,834","3,397","13,648","16,337","17,452","17,591","4,606","22,197","10,767","11,430","7,537","3,687","17,574","16,498","20,993","20,564","12,629","12,477","6,708","5,365","16,121","7,599","36,650","6,391","142,074","4,887","22,829","11,184","12,908","5,772","9,921","5,412"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","65.6%","4.4%","17.6%","21.1%","22.5%","22.7%","5.9%","28.7%","27.6%","29.7%","(X)","48.9%","(X)","93.9%","(X)","98.0%","(X)","98.8%","(X)","80.0%","(X)","47.1%","(X)","17.4%","(X)","3.4%","(X)","49.0%","(X)","44.7%","(X)","54.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,138","46,362","3,086","12,260","15,241","15,775","13,720","2,062","15,782","8,097","7,685","(X)","1,734","(X)","14,514","(X)","19,160","(X)","11,335","(X)","4,121","(X)","5,744","(X)","4,603","(X)","3,071","(X)","8,342","(X)","4,535","(X)","3,807"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.0%","48.2%","91.2%","90.8%","89.8%","93.3%","90.4%","78.0%","44.8%","71.1%","75.2%","67.2%","(X)","47.0%","(X)","88.0%","(X)","93.2%","(X)","90.8%","(X)","76.8%","(X)","75.6%","(X)","72.0%","(X)","62.8%","(X)","74.6%","(X)","78.6%","(X)","70.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,299","4,472","311","1,388","1,096","1,677","3,871","2,544","6,415","2,670","3,745","(X)","1,953","(X)","1,984","(X)","1,404","(X)","1,142","(X)","1,244","(X)","1,855","(X)","1,788","(X)","1,816","(X)","2,842","(X)","1,237","(X)","1,605"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.0%","51.8%","8.8%","9.2%","10.2%","6.7%","9.6%","22.0%","55.2%","28.9%","24.8%","32.8%","(X)","53.0%","(X)","12.0%","(X)","6.8%","(X)","9.2%","(X)","23.2%","(X)","24.4%","(X)","28.0%","(X)","37.2%","(X)","25.4%","(X)","21.4%","(X)","29.7%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
