"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","56,839","2,228","40,558","2,931","11,593","12,930","13,104","12,157","1,896","14,053","6,660","7,393","6,727","1,911","13,968","13,505","16,896","16,543","8,887","8,541","5,697","4,130","11,431","4,748","27,064","3,765","94,150","3,696","17,128","6,976","9,141","3,530","7,987","3,446"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.9%","71.4%","5.2%","20.4%","22.7%","23.1%","21.4%","3.3%","24.7%","22.7%","26.8%","(X)","28.4%","(X)","96.7%","(X)","97.9%","(X)","96.1%","(X)","72.5%","(X)","41.5%","(X)","13.9%","(X)","3.9%","(X)","40.7%","(X)","38.6%","(X)","43.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,568","38,183","2,772","10,959","12,087","12,365","10,290","966","11,256","5,354","5,902","(X)","1,281","(X)","12,845","(X)","15,370","(X)","8,068","(X)","3,734","(X)","4,045","(X)","2,954","(X)","2,710","(X)","5,946","(X)","3,007","(X)","2,939"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.7%","70.4%","94.1%","94.6%","94.5%","93.5%","94.4%","84.6%","50.9%","80.1%","80.4%","79.8%","(X)","67.0%","(X)","95.1%","(X)","92.9%","(X)","94.5%","(X)","90.4%","(X)","85.2%","(X)","78.5%","(X)","73.3%","(X)","85.2%","(X)","85.2%","(X)","85.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","660","2,375","159","634","843","739","1,867","930","2,797","1,306","1,491","(X)","630","(X)","660","(X)","1,173","(X)","473","(X)","396","(X)","703","(X)","811","(X)","986","(X)","1,030","(X)","523","(X)","507"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.3%","29.6%","5.9%","5.4%","5.5%","6.5%","5.6%","15.4%","49.1%","19.9%","19.6%","20.2%","(X)","33.0%","(X)","4.9%","(X)","7.1%","(X)","5.5%","(X)","9.6%","(X)","14.8%","(X)","21.5%","(X)","26.7%","(X)","14.8%","(X)","14.8%","(X)","14.7%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,790","1,463","15,604","1,113","4,592","4,752","5,147","4,573","1,150","5,723","2,782","2,941","1,859","1,260","5,190","5,062","6,175","6,054","4,071","4,015","1,887","1,776","4,091","2,159","6,790","1,029","58,509","1,435","5,978","3,246","3,069","1,711","2,909","1,535"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","68.5%","4.9%","20.1%","20.9%","22.6%","20.1%","5.0%","25.1%","24.6%","25.6%","(X)","67.8%","(X)","97.5%","(X)","98.0%","(X)","98.6%","(X)","94.1%","(X)","52.8%","(X)","15.2%","(X)","2.5%","(X)","54.3%","(X)","55.8%","(X)","52.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","581","14,134","1,022","4,265","4,180","4,667","3,479","625","4,104","1,986","2,118","(X)","541","(X)","4,538","(X)","5,318","(X)","3,756","(X)","1,464","(X)","1,620","(X)","739","(X)","843","(X)","2,522","(X)","1,373","(X)","1,149"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.6%","39.7%","90.6%","91.8%","92.9%","88.0%","90.7%","76.1%","54.3%","71.7%","71.4%","72.0%","(X)","42.9%","(X)","89.6%","(X)","87.8%","(X)","93.5%","(X)","82.4%","(X)","75.0%","(X)","71.8%","(X)","58.7%","(X)","77.7%","(X)","80.2%","(X)","74.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","882","1,470","91","327","572","480","1,094","525","1,619","796","823","(X)","719","(X)","524","(X)","736","(X)","259","(X)","312","(X)","539","(X)","290","(X)","592","(X)","724","(X)","338","(X)","386"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.4%","60.3%","9.4%","8.2%","7.1%","12.0%","9.3%","23.9%","45.7%","28.3%","28.6%","28.0%","(X)","57.1%","(X)","10.4%","(X)","12.2%","(X)","6.5%","(X)","17.6%","(X)","25.0%","(X)","28.2%","(X)","41.3%","(X)","22.3%","(X)","19.8%","(X)","25.1%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
