"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,860","1,018","10,300","604","2,792","3,015","3,889","5,409","1,133","6,542","3,306","3,236","953","785","3,213","3,102","4,106","4,034","3,048","3,030","2,500","2,335","4,381","2,947","5,428","834","39,000","793","6,881","4,793","3,345","2,294","3,536","2,499"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","57.7%","3.4%","15.6%","16.9%","21.8%","30.3%","6.3%","36.6%","36.0%","37.3%","(X)","82.4%","(X)","96.5%","(X)","98.2%","(X)","99.4%","(X)","93.4%","(X)","67.3%","(X)","15.4%","(X)","2.0%","(X)","69.7%","(X)","68.6%","(X)","70.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","277","7,951","426","2,237","2,161","3,127","2,618","514","3,132","1,553","1,579","(X)","169","(X)","2,369","(X)","3,084","(X)","2,379","(X)","1,112","(X)","1,255","(X)","552","(X)","440","(X)","2,042","(X)","888","(X)","1,154"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63.6%","27.2%","77.2%","70.5%","80.1%","71.7%","80.4%","48.4%","45.4%","47.9%","47.0%","48.8%","(X)","21.5%","(X)","76.4%","(X)","76.5%","(X)","78.5%","(X)","47.6%","(X)","42.6%","(X)","66.2%","(X)","55.5%","(X)","42.6%","(X)","38.7%","(X)","46.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","741","2,349","178","555","854","762","2,791","619","3,410","1,753","1,657","(X)","616","(X)","733","(X)","950","(X)","651","(X)","1,223","(X)","1,692","(X)","282","(X)","353","(X)","2,751","(X)","1,406","(X)","1,345"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36.4%","72.8%","22.8%","29.5%","19.9%","28.3%","19.6%","51.6%","54.6%","52.1%","53.0%","51.2%","(X)","78.5%","(X)","23.6%","(X)","23.5%","(X)","21.5%","(X)","52.4%","(X)","57.4%","(X)","33.8%","(X)","44.5%","(X)","57.4%","(X)","61.3%","(X)","53.8%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","92,713","4,903","63,263","4,715","18,301","20,228","20,019","21,743","2,804","24,547","10,207","14,340","10,691","4,432","23,790","21,982","25,633","24,922","14,673","13,956","9,455","6,565","25,513","10,399","52,755","6,169","169,521","4,288","34,968","14,696","17,417","6,361","17,551","8,335"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.3%","68.2%","5.1%","19.7%","21.8%","21.6%","23.5%","3.0%","26.5%","22.7%","30.0%","(X)","41.5%","(X)","92.4%","(X)","97.2%","(X)","95.1%","(X)","69.4%","(X)","40.8%","(X)","11.7%","(X)","2.5%","(X)","42.0%","(X)","36.5%","(X)","47.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,030","59,972","4,433","17,419","19,023","19,097","19,229","1,812","21,041","8,910","12,131","(X)","3,615","(X)","20,762","(X)","23,649","(X)","13,294","(X)","6,029","(X)","9,405","(X)","4,782","(X)","3,507","(X)","13,292","(X)","5,934","(X)","7,358"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.7%","82.2%","94.8%","94.0%","95.2%","94.0%","95.4%","88.4%","64.6%","85.7%","87.3%","84.6%","(X)","81.6%","(X)","94.5%","(X)","94.9%","(X)","95.3%","(X)","91.8%","(X)","90.4%","(X)","77.5%","(X)","81.8%","(X)","90.4%","(X)","93.3%","(X)","88.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","873","3,291","282","882","1,205","922","2,514","992","3,506","1,297","2,209","(X)","817","(X)","1,220","(X)","1,273","(X)","662","(X)","536","(X)","994","(X)","1,387","(X)","781","(X)","1,404","(X)","427","(X)","977"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.3%","17.8%","5.2%","6.0%","4.8%","6.0%","4.6%","11.6%","35.4%","14.3%","12.7%","15.4%","(X)","18.4%","(X)","5.5%","(X)","5.1%","(X)","4.7%","(X)","8.2%","(X)","9.6%","(X)","22.5%","(X)","18.2%","(X)","9.6%","(X)","6.7%","(X)","11.7%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","114,286","5,398","72,343","5,215","19,493","22,580","25,055","31,067","5,478","36,545","16,256","20,289","10,792","4,988","25,059","23,567","29,981","29,009","17,482","16,733","10,834","7,972","28,341","14,543","63,897","9,777","211,485","7,697","39,175","19,683","19,810","9,086","19,365","10,597"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.7%","63.3%","4.6%","17.1%","19.8%","21.9%","27.2%","4.8%","32.0%","28.7%","35.2%","(X)","46.2%","(X)","94.0%","(X)","96.8%","(X)","95.7%","(X)","73.6%","(X)","51.3%","(X)","15.3%","(X)","3.6%","(X)","50.2%","(X)","45.9%","(X)","54.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,741","67,700","4,691","17,870","21,359","23,780","26,782","3,199","29,981","13,397","16,584","(X)","3,518","(X)","21,441","(X)","27,394","(X)","15,950","(X)","7,158","(X)","12,571","(X)","7,859","(X)","5,531","(X)","17,089","(X)","7,833","(X)","9,256"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.7%","69.3%","93.6%","90.0%","91.7%","94.6%","94.9%","86.2%","58.4%","82.0%","82.4%","81.7%","(X)","70.5%","(X)","91.0%","(X)","94.4%","(X)","95.3%","(X)","89.8%","(X)","86.4%","(X)","80.4%","(X)","71.9%","(X)","86.8%","(X)","86.2%","(X)","87.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,657","4,643","524","1,623","1,221","1,275","4,285","2,279","6,564","2,859","3,705","(X)","1,470","(X)","2,126","(X)","1,615","(X)","783","(X)","814","(X)","1,972","(X)","1,918","(X)","2,166","(X)","2,594","(X)","1,253","(X)","1,341"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.3%","30.7%","6.4%","10.0%","8.3%","5.4%","5.1%","13.8%","41.6%","18.0%","17.6%","18.3%","(X)","29.5%","(X)","9.0%","(X)","5.6%","(X)","4.7%","(X)","10.2%","(X)","13.6%","(X)","19.6%","(X)","28.1%","(X)","13.2%","(X)","13.8%","(X)","12.7%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","255,899","14,156","148,351","11,964","40,087","46,109","50,191","79,012","14,380","93,392","41,735","51,657","23,071","12,415","52,048","49,581","60,060","58,305","35,692","34,795","29,351","24,099","72,149","38,740","133,941","23,543","507,618","14,421","101,500","56,435","51,251","25,503","50,249","30,932"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.5%","58.0%","4.7%","15.7%","18.0%","19.6%","30.9%","5.6%","36.5%","33.7%","39.1%","(X)","53.8%","(X)","95.3%","(X)","97.1%","(X)","97.5%","(X)","82.1%","(X)","53.7%","(X)","17.6%","(X)","2.8%","(X)","55.6%","(X)","49.8%","(X)","61.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9,110","138,014","10,612","37,675","42,679","47,048","61,002","6,457","67,459","30,645","36,814","(X)","7,717","(X)","45,697","(X)","54,295","(X)","32,438","(X)","19,328","(X)","28,035","(X)","17,227","(X)","9,846","(X)","41,284","(X)","19,084","(X)","22,200"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.9%","64.4%","93.0%","88.7%","94.0%","92.6%","93.7%","77.2%","44.9%","72.2%","73.4%","71.3%","(X)","62.2%","(X)","92.2%","(X)","93.1%","(X)","93.2%","(X)","80.2%","(X)","72.4%","(X)","73.2%","(X)","68.3%","(X)","73.2%","(X)","74.8%","(X)","71.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,046","10,337","1,352","2,412","3,430","3,143","18,010","7,923","25,933","11,090","14,843","(X)","4,698","(X)","3,884","(X)","4,010","(X)","2,357","(X)","4,771","(X)","10,705","(X)","6,316","(X)","4,575","(X)","15,151","(X)","6,419","(X)","8,732"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.1%","35.6%","7.0%","11.3%","6.0%","7.4%","6.3%","22.8%","55.1%","27.8%","26.6%","28.7%","(X)","37.8%","(X)","7.8%","(X)","6.9%","(X)","6.8%","(X)","19.8%","(X)","27.6%","(X)","26.8%","(X)","31.7%","(X)","26.8%","(X)","25.2%","(X)","28.2%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","100,142","5,938","65,039","5,212","19,452","19,321","21,054","24,498","4,667","29,165","12,520","16,645","10,370","5,096","25,102","23,977","24,788","24,064","14,715","14,275","9,106","7,070","25,147","10,737","60,781","8,284","189,248","6,639","34,253","15,150","16,918","6,555","17,335","8,595"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","64.9%","5.2%","19.4%","19.3%","21.0%","24.5%","4.7%","29.1%","25.6%","32.4%","(X)","49.1%","(X)","95.5%","(X)","97.1%","(X)","97.0%","(X)","77.6%","(X)","42.7%","(X)","13.6%","(X)","3.5%","(X)","44.2%","(X)","38.7%","(X)","49.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,513","60,125","4,583","17,986","18,147","19,409","21,194","2,460","23,654","10,202","13,452","(X)","3,883","(X)","21,812","(X)","22,430","(X)","13,128","(X)","6,521","(X)","9,371","(X)","6,185","(X)","4,962","(X)","13,396","(X)","5,876","(X)","7,520"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.2%","76.0%","92.4%","87.9%","92.5%","93.9%","92.2%","86.5%","52.7%","81.1%","81.5%","80.8%","(X)","76.2%","(X)","91.0%","(X)","93.2%","(X)","92.0%","(X)","92.2%","(X)","87.3%","(X)","74.7%","(X)","74.7%","(X)","88.4%","(X)","89.6%","(X)","87.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,425","4,914","629","1,466","1,174","1,645","3,304","2,207","5,511","2,318","3,193","(X)","1,213","(X)","2,165","(X)","1,634","(X)","1,147","(X)","549","(X)","1,366","(X)","2,099","(X)","1,677","(X)","1,754","(X)","679","(X)","1,075"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.8%","24.0%","7.6%","12.1%","7.5%","6.1%","7.8%","13.5%","47.3%","18.9%","18.5%","19.2%","(X)","23.8%","(X)","9.0%","(X)","6.8%","(X)","8.0%","(X)","7.8%","(X)","12.7%","(X)","25.3%","(X)","25.3%","(X)","11.6%","(X)","10.4%","(X)","12.5%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","147,873","8,383","86,449","7,286","24,607","27,563","26,993","44,769","8,272","53,041","23,633","29,408","14,630","7,065","32,792","30,542","35,550","34,564","19,600","18,803","15,537","11,806","41,434","20,727","97,036","15,473","291,202","8,893","56,971","29,055","28,549","13,189","28,422","15,866"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","58.5%","4.9%","16.6%","18.6%","18.3%","30.3%","5.6%","35.9%","32.7%","38.9%","(X)","48.3%","(X)","93.1%","(X)","97.2%","(X)","95.9%","(X)","76.0%","(X)","50.0%","(X)","15.9%","(X)","3.1%","(X)","51.0%","(X)","46.2%","(X)","55.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,697","80,952","6,567","22,701","25,896","25,788","40,430","5,417","45,847","20,831","25,016","(X)","4,740","(X)","27,776","(X)","32,546","(X)","18,014","(X)","10,892","(X)","18,952","(X)","12,704","(X)","6,872","(X)","26,607","(X)","12,118","(X)","14,489"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.6%","68.0%","93.6%","90.1%","92.3%","94.0%","95.5%","90.3%","65.5%","86.4%","88.1%","85.1%","(X)","67.1%","(X)","90.9%","(X)","94.2%","(X)","95.8%","(X)","92.3%","(X)","91.4%","(X)","82.1%","(X)","77.3%","(X)","91.6%","(X)","91.9%","(X)","91.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,686","5,497","719","1,906","1,667","1,205","4,339","2,855","7,194","2,802","4,392","(X)","2,325","(X)","2,766","(X)","2,018","(X)","789","(X)","914","(X)","1,775","(X)","2,769","(X)","2,021","(X)","2,448","(X)","1,071","(X)","1,377"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.4%","32.0%","6.4%","9.9%","7.7%","6.0%","4.5%","9.7%","34.5%","13.6%","11.9%","14.9%","(X)","32.9%","(X)","9.1%","(X)","5.8%","(X)","4.2%","(X)","7.7%","(X)","8.6%","(X)","17.9%","(X)","22.7%","(X)","8.4%","(X)","8.1%","(X)","8.7%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","640,177","39,389","365,879","29,409","108,798","110,886","116,786","184,881","50,028","234,909","105,657","129,252","59,360","33,222","141,033","134,560","141,965","138,556","82,747","80,144","71,320","58,353","199,103","95,215","508,151","63,930","1,316,607","36,197","270,423","137,648","134,990","62,982","135,433","74,666"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","57.2%","4.6%","17.0%","17.3%","18.2%","28.9%","7.8%","36.7%","33.8%","39.4%","(X)","56.0%","(X)","95.4%","(X)","97.6%","(X)","96.9%","(X)","81.8%","(X)","47.8%","(X)","12.6%","(X)","2.7%","(X)","50.9%","(X)","46.7%","(X)","55.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23,215","324,773","25,867","96,829","97,907","104,170","143,114","24,866","167,980","75,143","92,837","(X)","19,183","(X)","118,502","(X)","122,338","(X)","70,949","(X)","45,195","(X)","68,873","(X)","45,398","(X)","25,530","(X)","100,041","(X)","45,828","(X)","54,213"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.6%","58.9%","88.8%","88.0%","89.0%","88.3%","89.2%","77.4%","49.7%","71.5%","71.1%","71.8%","(X)","57.7%","(X)","88.1%","(X)","88.3%","(X)","88.5%","(X)","77.5%","(X)","72.3%","(X)","71.0%","(X)","70.5%","(X)","72.7%","(X)","72.8%","(X)","72.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16,174","41,106","3,542","11,969","12,979","12,616","41,767","25,162","66,929","30,514","36,415","(X)","14,039","(X)","16,058","(X)","16,218","(X)","9,195","(X)","13,158","(X)","26,342","(X)","18,532","(X)","10,667","(X)","37,607","(X)","17,154","(X)","20,453"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.4%","41.1%","11.2%","12.0%","11.0%","11.7%","10.8%","22.6%","50.3%","28.5%","28.9%","28.2%","(X)","42.3%","(X)","11.9%","(X)","11.7%","(X)","11.5%","(X)","22.5%","(X)","27.7%","(X)","29.0%","(X)","29.5%","(X)","27.3%","(X)","27.2%","(X)","27.4%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,042","4,689","49,394","3,280","13,572","15,443","17,099","17,804","4,155","21,959","10,935","11,024","7,190","3,776","17,643","16,673","19,651","19,363","12,219","12,085","6,686","5,381","15,809","7,944","33,951","5,929","133,739","4,891","22,495","11,450","12,950","6,217","9,545","5,233"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","65.0%","4.3%","17.8%","20.3%","22.5%","23.4%","5.5%","28.9%","28.0%","29.9%","(X)","52.5%","(X)","94.5%","(X)","98.5%","(X)","98.9%","(X)","80.5%","(X)","50.2%","(X)","17.5%","(X)","3.7%","(X)","50.9%","(X)","48.0%","(X)","54.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,376","45,190","3,046","12,171","14,495","15,478","13,824","1,882","15,706","8,317","7,389","(X)","1,860","(X)","14,711","(X)","18,167","(X)","10,939","(X)","4,222","(X)","6,103","(X)","4,138","(X)","3,132","(X)","8,732","(X)","4,988","(X)","3,744"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.2%","50.7%","91.5%","92.9%","89.7%","93.9%","90.5%","77.6%","45.3%","71.5%","76.1%","67.0%","(X)","49.3%","(X)","88.2%","(X)","93.8%","(X)","90.5%","(X)","78.5%","(X)","76.8%","(X)","69.8%","(X)","64.0%","(X)","76.3%","(X)","80.2%","(X)","71.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,313","4,204","234","1,401","948","1,621","3,980","2,273","6,253","2,618","3,635","(X)","1,916","(X)","1,962","(X)","1,196","(X)","1,146","(X)","1,159","(X)","1,841","(X)","1,791","(X)","1,759","(X)","2,718","(X)","1,229","(X)","1,489"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.8%","49.3%","8.5%","7.1%","10.3%","6.1%","9.5%","22.4%","54.7%","28.5%","23.9%","33.0%","(X)","50.7%","(X)","11.8%","(X)","6.2%","(X)","9.5%","(X)","21.5%","(X)","23.2%","(X)","30.2%","(X)","36.0%","(X)","23.7%","(X)","19.8%","(X)","28.5%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
