"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","60,434","2,473","43,089","2,760","12,122","14,086","14,121","12,328","2,544","14,872","6,818","8,054","6,067","2,444","14,132","13,476","19,012","18,430","9,561","9,114","6,331","4,398","12,556","4,848","28,924","4,000","100,713","3,724","18,887","7,438","10,088","3,739","8,799","3,699"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.1%","71.3%","4.6%","20.1%","23.3%","23.4%","20.4%","4.2%","24.6%","22.1%","27.3%","(X)","40.3%","(X)","95.4%","(X)","96.9%","(X)","95.3%","(X)","69.5%","(X)","38.6%","(X)","13.8%","(X)","3.7%","(X)","39.4%","(X)","37.1%","(X)","42.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,887","40,259","2,564","11,426","13,141","13,128","10,162","1,210","11,372","5,085","6,287","(X)","1,875","(X)","12,744","(X)","17,045","(X)","8,560","(X)","3,877","(X)","4,134","(X)","3,051","(X)","2,232","(X)","6,309","(X)","3,134","(X)","3,175"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.6%","76.3%","93.4%","92.9%","94.3%","93.3%","93.0%","82.4%","47.6%","76.5%","74.6%","78.1%","(X)","76.7%","(X)","94.6%","(X)","92.5%","(X)","93.9%","(X)","88.2%","(X)","85.3%","(X)","76.3%","(X)","59.9%","(X)","84.8%","(X)","83.8%","(X)","85.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","586","2,830","196","696","945","993","2,166","1,334","3,500","1,733","1,767","(X)","569","(X)","732","(X)","1,385","(X)","554","(X)","521","(X)","714","(X)","949","(X)","1,492","(X)","1,129","(X)","605","(X)","524"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.4%","23.7%","6.6%","7.1%","5.7%","6.7%","7.0%","17.6%","52.4%","23.5%","25.4%","21.9%","(X)","23.3%","(X)","5.4%","(X)","7.5%","(X)","6.1%","(X)","11.8%","(X)","14.7%","(X)","23.7%","(X)","40.1%","(X)","15.2%","(X)","16.2%","(X)","14.2%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,605","1,462","15,216","1,036","4,547","4,495","5,138","4,850","1,077","5,927","2,955","2,972","2,065","1,249","4,952","4,811","5,964","5,882","3,986","3,914","2,221","2,141","4,120","2,166","7,156","1,119","58,827","1,323","6,341","3,528","3,480","2,005","2,861","1,523"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.5%","67.3%","4.6%","20.1%","19.9%","22.7%","21.5%","4.8%","26.2%","25.4%","27.1%","(X)","60.5%","(X)","97.2%","(X)","98.6%","(X)","98.2%","(X)","96.4%","(X)","52.6%","(X)","15.6%","(X)","2.2%","(X)","55.6%","(X)","57.6%","(X)","53.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","628","13,033","858","3,887","3,710","4,578","3,508","537","4,045","2,178","1,867","(X)","532","(X)","4,018","(X)","4,860","(X)","3,517","(X)","1,789","(X)","1,398","(X)","785","(X)","807","(X)","2,496","(X)","1,562","(X)","934"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78.3%","43.0%","85.7%","82.8%","85.5%","82.5%","89.1%","72.3%","49.9%","68.2%","73.7%","62.8%","(X)","42.6%","(X)","83.5%","(X)","82.6%","(X)","89.9%","(X)","83.6%","(X)","64.5%","(X)","70.2%","(X)","61.0%","(X)","70.7%","(X)","77.9%","(X)","61.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","834","2,183","178","660","785","560","1,342","540","1,882","777","1,105","(X)","717","(X)","793","(X)","1,022","(X)","397","(X)","352","(X)","768","(X)","334","(X)","516","(X)","1,032","(X)","443","(X)","589"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21.7%","57.0%","14.3%","17.2%","14.5%","17.5%","10.9%","27.7%","50.1%","31.8%","26.3%","37.2%","(X)","57.4%","(X)","16.5%","(X)","17.4%","(X)","10.1%","(X)","16.4%","(X)","35.5%","(X)","29.8%","(X)","39.0%","(X)","29.3%","(X)","22.1%","(X)","38.7%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
