"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,771","792","10,309","586","3,026","2,721","3,976","4,691","979","5,670","2,473","3,197","940","753","3,244","3,168","3,966","3,894","2,980","2,950","2,187","2,166","3,765","2,413","5,038","708","37,261","719","5,952","4,190","2,578","1,767","3,374","2,423"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.7%","61.5%","3.5%","18.0%","16.2%","23.7%","28.0%","5.8%","33.8%","29.1%","38.7%","(X)","80.1%","(X)","97.7%","(X)","98.2%","(X)","99.0%","(X)","99.0%","(X)","64.1%","(X)","14.1%","(X)","1.9%","(X)","70.4%","(X)","68.5%","(X)","71.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","229","7,949","414","2,347","2,115","3,073","2,373","446","2,819","1,198","1,621","(X)","219","(X)","2,387","(X)","3,098","(X)","2,224","(X)","1,027","(X)","1,092","(X)","469","(X)","481","(X)","1,836","(X)","724","(X)","1,112"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65.6%","28.9%","77.1%","70.6%","77.6%","77.7%","77.3%","50.6%","45.6%","49.7%","48.4%","50.7%","(X)","29.1%","(X)","75.3%","(X)","79.6%","(X)","75.4%","(X)","47.4%","(X)","45.3%","(X)","66.2%","(X)","66.9%","(X)","43.8%","(X)","41.0%","(X)","45.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","563","2,360","172","679","606","903","2,318","533","2,851","1,275","1,576","(X)","534","(X)","781","(X)","796","(X)","726","(X)","1,139","(X)","1,321","(X)","239","(X)","238","(X)","2,354","(X)","1,043","(X)","1,311"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34.4%","71.1%","22.9%","29.4%","22.4%","22.3%","22.7%","49.4%","54.4%","50.3%","51.6%","49.3%","(X)","70.9%","(X)","24.7%","(X)","20.4%","(X)","24.6%","(X)","52.6%","(X)","54.7%","(X)","33.8%","(X)","33.1%","(X)","56.2%","(X)","59.0%","(X)","54.1%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,287","4,239","60,496","4,108","17,529","19,531","19,328","19,505","3,047","22,552","9,497","13,055","9,734","3,795","21,967","20,469","25,106","24,388","14,045","13,274","9,463","6,151","23,735","9,436","52,121","5,672","173,680","4,102","33,198","13,611","17,376","6,215","15,822","7,396"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.9%","69.3%","4.7%","20.1%","22.4%","22.1%","22.3%","3.5%","25.8%","22.6%","28.8%","(X)","39.0%","(X)","93.2%","(X)","97.1%","(X)","94.5%","(X)","65.0%","(X)","39.8%","(X)","10.9%","(X)","2.4%","(X)","41.0%","(X)","35.8%","(X)","46.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,370","57,065","3,737","16,579","18,193","18,556","17,274","2,066","19,340","8,401","10,939","(X)","2,935","(X)","19,139","(X)","22,937","(X)","12,689","(X)","5,743","(X)","8,683","(X)","4,322","(X)","3,327","(X)","12,540","(X)","5,827","(X)","6,713"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.4%","79.5%","94.3%","91.0%","94.6%","93.1%","96.0%","88.6%","67.8%","85.8%","88.5%","83.8%","(X)","77.3%","(X)","93.5%","(X)","94.1%","(X)","95.6%","(X)","93.4%","(X)","92.0%","(X)","76.2%","(X)","81.1%","(X)","92.1%","(X)","93.8%","(X)","90.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","869","3,431","371","950","1,338","772","2,231","981","3,212","1,096","2,116","(X)","860","(X)","1,330","(X)","1,451","(X)","585","(X)","408","(X)","753","(X)","1,350","(X)","775","(X)","1,071","(X)","388","(X)","683"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.6%","20.5%","5.7%","9.0%","5.4%","6.9%","4.0%","11.4%","32.2%","14.2%","11.5%","16.2%","(X)","22.7%","(X)","6.5%","(X)","5.9%","(X)","4.4%","(X)","6.6%","(X)","8.0%","(X)","23.8%","(X)","18.9%","(X)","7.9%","(X)","6.2%","(X)","9.2%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","109,396","5,303","69,490","5,496","19,504","21,077","23,413","28,848","5,755","34,603","15,298","19,305","10,525","4,770","25,302","23,564","27,954","26,982","17,061","16,413","10,910","8,330","27,597","13,155","64,261","9,207","215,554","6,975","38,507","18,737","19,637","8,732","18,870","10,005"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","63.5%","5.0%","17.8%","19.3%","21.4%","26.4%","5.3%","31.6%","28.7%","34.4%","(X)","45.3%","(X)","93.1%","(X)","96.5%","(X)","96.2%","(X)","76.4%","(X)","47.7%","(X)","14.3%","(X)","3.2%","(X)","48.7%","(X)","44.5%","(X)","53.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,283","64,633","5,038","17,792","19,830","21,973","25,436","3,155","28,591","12,829","15,762","(X)","3,109","(X)","21,177","(X)","25,303","(X)","15,423","(X)","7,582","(X)","11,725","(X)","7,309","(X)","4,879","(X)","16,653","(X)","7,709","(X)","8,944"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.2%","61.9%","93.0%","91.7%","91.2%","94.1%","93.8%","88.2%","54.8%","82.6%","83.9%","81.6%","(X)","65.2%","(X)","89.9%","(X)","93.8%","(X)","94.0%","(X)","91.0%","(X)","89.1%","(X)","79.4%","(X)","69.9%","(X)","88.9%","(X)","88.3%","(X)","89.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,020","4,857","458","1,712","1,247","1,440","3,412","2,600","6,012","2,469","3,543","(X)","1,661","(X)","2,387","(X)","1,679","(X)","990","(X)","748","(X)","1,430","(X)","1,898","(X)","2,096","(X)","2,084","(X)","1,023","(X)","1,061"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.8%","38.1%","7.0%","8.3%","8.8%","5.9%","6.2%","11.8%","45.2%","17.4%","16.1%","18.4%","(X)","34.8%","(X)","10.1%","(X)","6.2%","(X)","6.0%","(X)","9.0%","(X)","10.9%","(X)","20.6%","(X)","30.1%","(X)","11.1%","(X)","11.7%","(X)","10.6%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","247,256","11,155","147,480","11,474","40,040","46,529","49,437","74,680","13,941","88,621","40,499","48,122","20,585","9,477","50,863","48,483","61,073","59,431","35,265","34,385","29,804","24,410","68,759","35,468","129,148","21,484","513,380","14,118","98,563","53,850","50,408","24,869","48,155","28,981"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.5%","59.6%","4.6%","16.2%","18.8%","20.0%","30.2%","5.6%","35.8%","33.8%","37.8%","(X)","46.0%","(X)","95.3%","(X)","97.3%","(X)","97.5%","(X)","81.9%","(X)","51.6%","(X)","16.6%","(X)","2.8%","(X)","54.6%","(X)","49.3%","(X)","60.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7,488","136,088","10,132","37,043","42,875","46,038","58,118","6,690","64,808","30,545","34,263","(X)","6,210","(X)","44,135","(X)","54,845","(X)","32,056","(X)","19,760","(X)","26,488","(X)","15,331","(X)","9,559","(X)","40,622","(X)","19,474","(X)","21,148"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.3%","67.1%","92.3%","88.3%","92.5%","92.1%","93.1%","77.8%","48.0%","73.1%","75.4%","71.2%","(X)","65.5%","(X)","91.0%","(X)","92.3%","(X)","93.2%","(X)","81.0%","(X)","74.7%","(X)","71.4%","(X)","67.7%","(X)","75.4%","(X)","78.3%","(X)","73.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,667","11,392","1,342","2,997","3,654","3,399","16,562","7,251","23,813","9,954","13,859","(X)","3,267","(X)","4,348","(X)","4,586","(X)","2,329","(X)","4,650","(X)","8,980","(X)","6,153","(X)","4,559","(X)","13,228","(X)","5,395","(X)","7,833"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.7%","32.9%","7.7%","11.7%","7.5%","7.9%","6.9%","22.2%","52.0%","26.9%","24.6%","28.8%","(X)","34.5%","(X)","9.0%","(X)","7.7%","(X)","6.8%","(X)","19.0%","(X)","25.3%","(X)","28.6%","(X)","32.3%","(X)","24.6%","(X)","21.7%","(X)","27.0%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95,824","4,248","64,107","5,213","18,850","18,887","21,157","23,109","4,360","27,469","11,488","15,981","8,964","3,549","24,311","22,795","25,121","24,383","14,689","14,295","8,966","6,696","25,928","10,590","60,679","7,249","189,818","6,267","34,894","14,776","16,864","6,299","18,030","8,477"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.4%","66.9%","5.4%","19.7%","19.7%","22.1%","24.1%","4.6%","28.7%","24.9%","32.2%","(X)","39.6%","(X)","93.8%","(X)","97.1%","(X)","97.3%","(X)","74.7%","(X)","40.8%","(X)","11.9%","(X)","3.3%","(X)","42.3%","(X)","37.4%","(X)","47.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,144","59,493","4,541","17,429","17,693","19,830","20,389","2,511","22,900","9,544","13,356","(X)","2,715","(X)","20,616","(X)","22,725","(X)","13,450","(X)","6,125","(X)","9,573","(X)","5,551","(X)","4,782","(X)","13,382","(X)","5,768","(X)","7,614"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.3%","74.0%","92.8%","87.1%","92.5%","93.7%","93.7%","88.2%","57.6%","83.4%","83.1%","83.6%","(X)","76.5%","(X)","90.4%","(X)","93.2%","(X)","94.1%","(X)","91.5%","(X)","90.4%","(X)","76.6%","(X)","76.3%","(X)","90.6%","(X)","91.6%","(X)","89.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,104","4,614","672","1,421","1,194","1,327","2,720","1,849","4,569","1,944","2,625","(X)","834","(X)","2,179","(X)","1,658","(X)","845","(X)","571","(X)","1,017","(X)","1,698","(X)","1,485","(X)","1,394","(X)","531","(X)","863"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.7%","26.0%","7.2%","12.9%","7.5%","6.3%","6.3%","11.8%","42.4%","16.6%","16.9%","16.4%","(X)","23.5%","(X)","9.6%","(X)","6.8%","(X)","5.9%","(X)","8.5%","(X)","9.6%","(X)","23.4%","(X)","23.7%","(X)","9.4%","(X)","8.4%","(X)","10.2%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","143,932","7,475","86,585","6,880","24,682","26,748","28,275","41,145","8,727","49,872","21,815","28,057","13,017","5,803","31,339","29,878","35,381","34,677","20,224","19,635","15,929","12,150","41,062","18,326","96,899","14,856","298,519","8,607","56,991","26,753","28,068","11,942","28,923","14,811"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","60.2%","4.8%","17.1%","18.6%","19.6%","28.6%","6.1%","34.6%","30.8%","38.4%","(X)","44.6%","(X)","95.3%","(X)","98.0%","(X)","97.1%","(X)","76.3%","(X)","44.6%","(X)","15.3%","(X)","2.9%","(X)","46.9%","(X)","42.5%","(X)","51.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,868","79,965","6,095","22,473","24,717","26,680","36,888","5,688","42,576","18,891","23,685","(X)","3,600","(X)","26,714","(X)","32,219","(X)","18,610","(X)","11,073","(X)","16,751","(X)","11,966","(X)","6,476","(X)","24,383","(X)","10,832","(X)","13,551"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.5%","65.1%","92.4%","88.6%","91.1%","92.4%","94.4%","89.7%","65.2%","85.4%","86.6%","84.4%","(X)","62.0%","(X)","89.4%","(X)","92.9%","(X)","94.8%","(X)","91.1%","(X)","91.4%","(X)","80.5%","(X)","75.2%","(X)","91.1%","(X)","90.7%","(X)","91.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,607","6,620","785","2,209","2,031","1,595","4,257","3,039","7,296","2,924","4,372","(X)","2,203","(X)","3,164","(X)","2,458","(X)","1,025","(X)","1,077","(X)","1,575","(X)","2,890","(X)","2,131","(X)","2,370","(X)","1,110","(X)","1,260"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.5%","34.9%","7.6%","11.4%","8.9%","7.6%","5.6%","10.3%","34.8%","14.6%","13.4%","15.6%","(X)","38.0%","(X)","10.6%","(X)","7.1%","(X)","5.2%","(X)","8.9%","(X)","8.6%","(X)","19.5%","(X)","24.8%","(X)","8.9%","(X)","9.3%","(X)","8.5%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","601,833","32,225","350,091","27,660","101,938","106,359","114,134","167,873","51,644","219,517","99,414","120,103","51,932","26,614","131,194","123,680","140,295","136,498","80,500","77,518","68,614","55,292","191,601","87,496","488,374","58,148","1,317,874","36,587","260,215","127,448","129,806","58,502","130,409","68,946"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.4%","58.2%","4.6%","16.9%","17.7%","19.0%","27.9%","8.6%","36.5%","33.6%","39.3%","(X)","51.2%","(X)","94.3%","(X)","97.3%","(X)","96.3%","(X)","80.6%","(X)","45.7%","(X)","11.9%","(X)","2.8%","(X)","49.0%","(X)","45.1%","(X)","52.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","18,191","308,935","24,190","89,167","93,630","101,948","127,486","25,148","152,634","68,762","83,872","(X)","14,828","(X)","106,866","(X)","120,485","(X)","68,644","(X)","42,589","(X)","61,706","(X)","38,874","(X)","25,768","(X)","90,613","(X)","41,391","(X)","49,222"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79.7%","56.4%","88.2%","87.5%","87.5%","88.0%","89.3%","75.9%","48.7%","69.5%","69.2%","69.8%","(X)","55.7%","(X)","86.4%","(X)","88.3%","(X)","88.6%","(X)","77.0%","(X)","70.5%","(X)","66.9%","(X)","70.4%","(X)","71.1%","(X)","70.8%","(X)","71.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14,034","41,156","3,470","12,771","12,729","12,186","40,387","26,496","66,883","30,652","36,231","(X)","11,786","(X)","16,814","(X)","16,013","(X)","8,874","(X)","12,703","(X)","25,790","(X)","19,274","(X)","10,819","(X)","36,835","(X)","17,111","(X)","19,724"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20.3%","43.6%","11.8%","12.5%","12.5%","12.0%","10.7%","24.1%","51.3%","30.5%","30.8%","30.2%","(X)","44.3%","(X)","13.6%","(X)","11.7%","(X)","11.4%","(X)","23.0%","(X)","29.5%","(X)","33.1%","(X)","29.6%","(X)","28.9%","(X)","29.2%","(X)","28.6%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,959","3,924","49,962","3,213","13,649","15,960","17,140","16,901","4,172","21,073","9,922","11,151","7,327","3,351","17,170","15,880","21,063","20,672","12,401","12,262","6,812","5,326","16,241","7,377","34,928","5,506","142,924","4,585","23,053","11,117","12,881","5,546","10,172","5,571"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","66.7%","4.3%","18.2%","21.3%","22.9%","22.5%","5.6%","28.1%","27.3%","28.9%","(X)","45.7%","(X)","92.5%","(X)","98.1%","(X)","98.9%","(X)","78.2%","(X)","45.4%","(X)","15.8%","(X)","3.2%","(X)","48.2%","(X)","43.1%","(X)","54.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,862","45,514","2,850","12,441","14,748","15,475","13,015","1,920","14,935","7,342","7,593","(X)","1,566","(X)","14,143","(X)","19,149","(X)","11,107","(X)","4,179","(X)","5,646","(X)","3,668","(X)","2,853","(X)","8,507","(X)","4,405","(X)","4,102"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.1%","47.5%","91.1%","88.7%","91.1%","92.4%","90.3%","77.0%","46.0%","70.9%","74.0%","68.1%","(X)","46.7%","(X)","89.1%","(X)","92.6%","(X)","90.6%","(X)","78.5%","(X)","76.5%","(X)","66.6%","(X)","62.2%","(X)","76.5%","(X)","79.4%","(X)","73.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,062","4,448","363","1,208","1,212","1,665","3,886","2,252","6,138","2,580","3,558","(X)","1,785","(X)","1,737","(X)","1,523","(X)","1,155","(X)","1,147","(X)","1,731","(X)","1,838","(X)","1,732","(X)","2,610","(X)","1,141","(X)","1,469"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.9%","52.5%","8.9%","11.3%","8.9%","7.6%","9.7%","23.0%","54.0%","29.1%","26.0%","31.9%","(X)","53.3%","(X)","10.9%","(X)","7.4%","(X)","9.4%","(X)","21.5%","(X)","23.5%","(X)","33.4%","(X)","37.8%","(X)","23.5%","(X)","20.6%","(X)","26.4%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
