"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,157","1,165","10,875","551","2,833","3,326","4,165","4,849","1,268","6,117","3,179","2,938","1,032","834","3,292","3,252","4,436","4,436","3,097","3,091","2,573","2,305","4,022","2,650","5,213","741","39,996","848","6,595","4,484","3,340","2,230","3,255","2,254"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","59.9%","3.0%","15.6%","18.3%","22.9%","26.7%","7.0%","33.7%","34.1%","33.2%","(X)","80.8%","(X)","98.8%","(X)","100.0%","(X)","99.8%","(X)","89.6%","(X)","65.9%","(X)","14.2%","(X)","2.1%","(X)","68.0%","(X)","66.8%","(X)","69.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","168","9,086","420","2,342","2,793","3,531","2,438","367","2,805","1,584","1,221","(X)","67","(X)","2,523","(X)","3,673","(X)","2,637","(X)","1,308","(X)","1,174","(X)","327","(X)","350","(X)","2,100","(X)","1,212","(X)","888"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66.4%","14.4%","83.5%","76.2%","82.7%","84.0%","84.8%","50.3%","28.9%","45.9%","49.8%","41.6%","(X)","8.0%","(X)","77.6%","(X)","82.8%","(X)","85.3%","(X)","56.7%","(X)","44.3%","(X)","44.1%","(X)","41.3%","(X)","46.8%","(X)","54.3%","(X)","39.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","997","1,789","131","491","533","634","2,411","901","3,312","1,595","1,717","(X)","767","(X)","729","(X)","763","(X)","454","(X)","997","(X)","1,476","(X)","414","(X)","498","(X)","2,384","(X)","1,018","(X)","1,366"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33.6%","85.6%","16.5%","23.8%","17.3%","16.0%","15.2%","49.7%","71.1%","54.1%","50.2%","58.4%","(X)","92.0%","(X)","22.4%","(X)","17.2%","(X)","14.7%","(X)","43.3%","(X)","55.7%","(X)","55.9%","(X)","58.7%","(X)","53.2%","(X)","45.7%","(X)","60.6%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,632","6,560","70,773","5,293","20,340","20,277","24,863","24,650","2,649","27,299","12,379","14,920","11,641","5,699","26,153","25,049","25,905","25,548","17,548","16,964","11,417","7,878","28,791","11,851","51,796","6,330","162,640","5,313","40,208","16,452","19,782","7,608","20,426","8,844"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.3%","67.6%","5.1%","19.4%","19.4%","23.8%","23.6%","2.5%","26.1%","23.4%","28.9%","(X)","49.0%","(X)","95.8%","(X)","98.6%","(X)","96.7%","(X)","69.0%","(X)","41.2%","(X)","12.2%","(X)","3.3%","(X)","40.9%","(X)","38.5%","(X)","43.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,671","66,873","4,893","19,228","19,209","23,543","21,297","1,484","22,781","10,376","12,405","(X)","4,857","(X)","23,587","(X)","24,223","(X)","16,066","(X)","7,137","(X)","10,411","(X)","5,271","(X)","3,773","(X)","14,475","(X)","6,822","(X)","7,653"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.1%","86.4%","94.5%","92.4%","94.5%","94.7%","94.7%","86.4%","56.0%","83.4%","83.8%","83.1%","(X)","85.2%","(X)","94.2%","(X)","94.8%","(X)","94.7%","(X)","90.6%","(X)","87.8%","(X)","83.3%","(X)","71.0%","(X)","88.0%","(X)","89.7%","(X)","86.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","889","3,900","400","1,112","1,068","1,320","3,353","1,165","4,518","2,003","2,515","(X)","842","(X)","1,462","(X)","1,325","(X)","898","(X)","741","(X)","1,440","(X)","1,059","(X)","1,540","(X)","1,977","(X)","786","(X)","1,191"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.9%","13.6%","5.5%","7.6%","5.5%","5.3%","5.3%","13.6%","44.0%","16.6%","16.2%","16.9%","(X)","14.8%","(X)","5.8%","(X)","5.2%","(X)","5.3%","(X)","9.4%","(X)","12.2%","(X)","16.7%","(X)","29.0%","(X)","12.0%","(X)","10.3%","(X)","13.5%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","124,180","6,414","79,940","5,281","21,358","25,049","28,252","33,455","4,371","37,826","17,199","20,627","11,578","5,694","26,989","26,201","31,496","30,965","19,740","19,074","12,347","9,221","33,669","16,371","57,777","10,019","210,518","6,635","46,016","22,203","23,625","10,463","22,391","11,740"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","64.4%","4.3%","17.2%","20.2%","22.8%","26.9%","3.5%","30.5%","27.9%","33.0%","(X)","49.2%","(X)","97.1%","(X)","98.3%","(X)","96.6%","(X)","74.7%","(X)","48.6%","(X)","17.3%","(X)","3.2%","(X)","48.3%","(X)","44.3%","(X)","52.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,826","75,366","4,813","20,080","23,789","26,684","28,866","2,592","31,458","14,451","17,007","(X)","4,283","(X)","24,349","(X)","29,400","(X)","18,129","(X)","8,538","(X)","14,567","(X)","7,747","(X)","4,637","(X)","19,973","(X)","9,454","(X)","10,519"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.9%","75.2%","94.3%","91.1%","94.0%","95.0%","94.4%","86.3%","59.3%","83.2%","84.0%","82.5%","(X)","75.2%","(X)","92.9%","(X)","94.9%","(X)","95.0%","(X)","92.6%","(X)","89.0%","(X)","77.3%","(X)","69.9%","(X)","90.0%","(X)","90.4%","(X)","89.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,588","4,574","468","1,278","1,260","1,568","4,589","1,779","6,368","2,748","3,620","(X)","1,411","(X)","1,852","(X)","1,565","(X)","945","(X)","683","(X)","1,804","(X)","2,272","(X)","1,998","(X)","2,230","(X)","1,009","(X)","1,221"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.1%","24.8%","5.7%","8.9%","6.0%","5.0%","5.6%","13.7%","40.7%","16.8%","16.0%","17.5%","(X)","24.8%","(X)","7.1%","(X)","5.1%","(X)","5.0%","(X)","7.4%","(X)","11.0%","(X)","22.7%","(X)","30.1%","(X)","10.0%","(X)","9.6%","(X)","10.4%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","275,719","13,955","164,416","11,920","45,393","49,356","57,747","84,088","13,260","97,348","45,561","51,787","23,420","12,457","57,576","55,503","62,440","61,868","41,503","40,717","32,328","26,173","80,317","44,542","133,874","22,117","491,877","12,342","112,645","63,178","58,047","30,178","54,598","33,000"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.1%","59.6%","4.3%","16.5%","17.9%","20.9%","30.5%","4.8%","35.3%","33.0%","37.6%","(X)","53.2%","(X)","96.4%","(X)","99.1%","(X)","98.1%","(X)","81.0%","(X)","55.5%","(X)","16.5%","(X)","2.5%","(X)","56.1%","(X)","52.0%","(X)","60.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,672","153,631","10,784","42,179","45,970","54,698","64,713","5,667","70,380","33,935","36,445","(X)","7,661","(X)","50,928","(X)","57,811","(X)","38,368","(X)","20,493","(X)","33,199","(X)","15,915","(X)","8,308","(X)","46,511","(X)","22,870","(X)","23,641"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.4%","62.1%","93.4%","90.5%","92.9%","93.1%","94.7%","77.0%","42.7%","72.3%","74.5%","70.4%","(X)","61.5%","(X)","91.8%","(X)","93.4%","(X)","94.2%","(X)","78.3%","(X)","74.5%","(X)","72.0%","(X)","67.3%","(X)","73.6%","(X)","75.8%","(X)","71.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,283","10,785","1,136","3,214","3,386","3,049","19,375","7,593","26,968","11,626","15,342","(X)","4,796","(X)","4,575","(X)","4,057","(X)","2,349","(X)","5,680","(X)","11,343","(X)","6,202","(X)","4,034","(X)","16,667","(X)","7,308","(X)","9,359"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.6%","37.9%","6.6%","9.5%","7.1%","6.9%","5.3%","23.0%","57.3%","27.7%","25.5%","29.6%","(X)","38.5%","(X)","8.2%","(X)","6.6%","(X)","5.8%","(X)","21.7%","(X)","25.5%","(X)","28.0%","(X)","32.7%","(X)","26.4%","(X)","24.2%","(X)","28.4%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","106,301","6,533","68,917","5,578","20,672","20,261","22,406","26,703","4,148","30,851","13,295","17,556","10,980","5,711","26,321","25,582","25,846","25,428","14,815","14,362","9,901","7,464","28,647","12,305","59,828","8,757","181,594","6,692","38,548","16,585","19,266","7,975","19,282","8,610"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.1%","64.8%","5.2%","19.4%","19.1%","21.1%","25.1%","3.9%","29.0%","25.7%","32.2%","(X)","52.0%","(X)","97.2%","(X)","98.4%","(X)","96.9%","(X)","75.4%","(X)","43.0%","(X)","14.6%","(X)","3.7%","(X)","43.0%","(X)","41.4%","(X)","44.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,020","63,707","4,978","19,281","18,819","20,629","23,173","2,365","25,538","11,316","14,222","(X)","4,113","(X)","23,822","(X)","23,544","(X)","13,168","(X)","6,929","(X)","10,714","(X)","7,143","(X)","4,832","(X)","14,710","(X)","7,178","(X)","7,532"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.7%","76.8%","92.4%","89.2%","93.3%","92.9%","92.1%","86.8%","57.0%","82.8%","85.1%","81.0%","(X)","72.0%","(X)","93.1%","(X)","92.6%","(X)","91.7%","(X)","92.8%","(X)","87.1%","(X)","81.6%","(X)","72.2%","(X)","88.7%","(X)","90.0%","(X)","87.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,513","5,210","600","1,391","1,442","1,777","3,530","1,783","5,313","1,979","3,334","(X)","1,598","(X)","1,760","(X)","1,884","(X)","1,194","(X)","535","(X)","1,591","(X)","1,614","(X)","1,860","(X)","1,875","(X)","797","(X)","1,078"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.3%","23.2%","7.6%","10.8%","6.7%","7.1%","7.9%","13.2%","43.0%","17.2%","14.9%","19.0%","(X)","28.0%","(X)","6.9%","(X)","7.4%","(X)","8.3%","(X)","7.2%","(X)","12.9%","(X)","18.4%","(X)","27.8%","(X)","11.3%","(X)","10.0%","(X)","12.5%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","163,310","9,614","98,494","7,748","28,574","28,276","33,896","47,231","7,971","55,202","25,357","29,845","16,911","8,431","36,857","35,091","36,071","35,345","25,186","24,466","15,725","12,038","46,798","22,820","90,465","14,809","286,316","10,310","62,523","30,584","31,304","14,602","31,219","15,982"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","60.3%","4.7%","17.5%","17.3%","20.8%","28.9%","4.9%","33.8%","31.6%","36.0%","(X)","49.9%","(X)","95.2%","(X)","98.0%","(X)","97.1%","(X)","76.6%","(X)","48.8%","(X)","16.4%","(X)","3.6%","(X)","48.9%","(X)","46.6%","(X)","51.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,385","92,924","7,321","26,916","26,454","32,233","42,489","5,138","47,627","22,173","25,454","(X)","5,666","(X)","32,677","(X)","33,242","(X)","23,448","(X)","10,848","(X)","21,097","(X)","12,253","(X)","7,705","(X)","28,074","(X)","13,577","(X)","14,497"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.0%","66.4%","94.3%","94.5%","94.2%","93.6%","95.1%","90.0%","64.5%","86.3%","87.4%","85.3%","(X)","67.2%","(X)","93.1%","(X)","94.1%","(X)","95.8%","(X)","90.1%","(X)","92.4%","(X)","82.7%","(X)","74.7%","(X)","91.8%","(X)","93.0%","(X)","90.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,229","5,570","427","1,658","1,822","1,663","4,742","2,833","7,575","3,184","4,391","(X)","2,765","(X)","2,414","(X)","2,103","(X)","1,018","(X)","1,190","(X)","1,723","(X)","2,556","(X)","2,605","(X)","2,510","(X)","1,025","(X)","1,485"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.0%","33.6%","5.7%","5.5%","5.8%","6.4%","4.9%","10.0%","35.5%","13.7%","12.6%","14.7%","(X)","32.8%","(X)","6.9%","(X)","5.9%","(X)","4.2%","(X)","9.9%","(X)","7.6%","(X)","17.3%","(X)","25.3%","(X)","8.2%","(X)","7.0%","(X)","9.3%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","669,201","40,179","387,801","31,315","115,684","114,474","126,328","193,205","48,016","241,221","108,922","132,299","65,412","36,874","147,565","143,082","142,892","140,592","86,932","84,596","75,845","60,875","213,139","102,512","476,145","64,276","1,271,864","36,394","288,984","143,728","142,649","64,664","146,335","79,064"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","57.9%","4.7%","17.3%","17.1%","18.9%","28.9%","7.2%","36.0%","33.4%","38.6%","(X)","56.4%","(X)","97.0%","(X)","98.4%","(X)","97.3%","(X)","80.3%","(X)","48.1%","(X)","13.5%","(X)","2.9%","(X)","49.7%","(X)","45.3%","(X)","54.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25,084","345,544","27,714","103,451","101,346","113,033","145,990","22,069","168,059","76,959","91,100","(X)","23,453","(X)","126,931","(X)","124,398","(X)","74,786","(X)","46,872","(X)","74,190","(X)","43,211","(X)","24,846","(X)","103,075","(X)","47,680","(X)","55,395"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.5%","62.4%","89.1%","88.5%","89.4%","88.5%","89.5%","75.6%","46.0%","69.7%","70.7%","68.9%","(X)","63.6%","(X)","88.7%","(X)","88.5%","(X)","88.4%","(X)","77.0%","(X)","72.4%","(X)","67.2%","(X)","68.3%","(X)","71.7%","(X)","73.7%","(X)","70.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,095","42,257","3,601","12,233","13,128","13,295","47,215","25,947","73,162","31,963","41,199","(X)","13,421","(X)","16,151","(X)","16,194","(X)","9,810","(X)","14,003","(X)","28,322","(X)","21,065","(X)","11,548","(X)","40,653","(X)","16,984","(X)","23,669"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.5%","37.6%","10.9%","11.5%","10.6%","11.5%","10.5%","24.4%","54.0%","30.3%","29.3%","31.1%","(X)","36.4%","(X)","11.3%","(X)","11.5%","(X)","11.6%","(X)","23.0%","(X)","27.6%","(X)","32.8%","(X)","31.7%","(X)","28.3%","(X)","26.3%","(X)","29.9%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80,177","4,554","54,191","3,120","16,094","16,642","18,335","18,264","3,168","21,432","10,033","11,399","7,054","3,862","19,247","18,733","20,980","20,841","13,088","12,915","7,694","6,195","16,871","8,658","33,504","4,734","137,062","4,239","24,565","12,704","13,642","6,369","10,923","6,335"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","67.6%","3.9%","20.1%","20.8%","22.9%","22.8%","4.0%","26.7%","24.7%","28.9%","(X)","54.7%","(X)","97.3%","(X)","99.3%","(X)","98.7%","(X)","80.5%","(X)","51.3%","(X)","14.1%","(X)","3.1%","(X)","51.7%","(X)","46.7%","(X)","58.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,042","50,195","2,786","14,788","15,428","17,193","14,425","1,458","15,883","7,567","8,316","(X)","1,699","(X)","16,836","(X)","19,416","(X)","12,023","(X)","5,155","(X)","6,616","(X)","3,595","(X)","2,780","(X)","9,750","(X)","4,970","(X)","4,780"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85.0%","44.8%","92.6%","89.3%","91.9%","92.7%","93.8%","79.0%","46.0%","74.1%","75.4%","73.0%","(X)","44.0%","(X)","89.9%","(X)","93.2%","(X)","93.1%","(X)","83.2%","(X)","76.4%","(X)","75.9%","(X)","65.6%","(X)","76.7%","(X)","78.0%","(X)","75.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,512","3,996","334","1,306","1,214","1,142","3,839","1,710","5,549","2,466","3,083","(X)","2,163","(X)","1,897","(X)","1,425","(X)","892","(X)","1,040","(X)","2,042","(X)","1,139","(X)","1,459","(X)","2,954","(X)","1,399","(X)","1,555"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.0%","55.2%","7.4%","10.7%","8.1%","7.3%","6.2%","21.0%","54.0%","25.9%","24.6%","27.0%","(X)","56.0%","(X)","10.1%","(X)","6.8%","(X)","6.9%","(X)","16.8%","(X)","23.6%","(X)","24.1%","(X)","34.4%","(X)","23.3%","(X)","22.0%","(X)","24.5%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","55,950","2,422","39,641","3,130","11,205","11,893","13,413","12,585","1,302","13,887","6,467","7,420","6,606","1,999","14,568","14,053","14,851","14,585","9,346","9,175","5,979","4,078","13,538","5,000","27,157","3,490","91,482","3,570","19,517","7,281","10,302","3,641","9,215","3,640"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
