"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","(X)","4.3%","70.9%","5.6%","20.0%","21.3%","24.0%","22.5%","2.3%","24.8%","22.4%","27.3%","(X)","30.3%","(X)","96.5%","(X)","98.2%","(X)","98.2%","(X)","68.2%","(X)","36.9%","(X)","12.9%","(X)","3.9%","(X)","37.3%","(X)","35.3%","(X)","39.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,678","36,791","2,817","10,542","10,925","12,507","10,897","658","11,555","5,560","5,995","(X)","1,326","(X)","13,039","(X)","13,358","(X)","8,667","(X)","3,544","(X)","4,316","(X)","2,907","(X)","2,867","(X)","6,241","(X)","3,198","(X)","3,043"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.4%","69.3%","92.8%","90.0%","94.1%","91.9%","93.2%","86.6%","50.5%","83.2%","86.0%","80.8%","(X)","66.3%","(X)","92.8%","(X)","91.6%","(X)","94.5%","(X)","86.9%","(X)","86.3%","(X)","83.3%","(X)","80.3%","(X)","85.7%","(X)","87.8%","(X)","83.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","744","2,850","313","663","968","906","1,688","644","2,332","907","1,425","(X)","673","(X)","1,014","(X)","1,227","(X)","508","(X)","534","(X)","684","(X)","583","(X)","703","(X)","1,040","(X)","443","(X)","597"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.6%","30.7%","7.2%","10.0%","5.9%","8.1%","6.8%","13.4%","49.5%","16.8%","14.0%","19.2%","(X)","33.7%","(X)","7.2%","(X)","8.4%","(X)","5.5%","(X)","13.1%","(X)","13.7%","(X)","16.7%","(X)","19.7%","(X)","14.3%","(X)","12.2%","(X)","16.4%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,376","1,483","16,903","1,310","4,502","4,961","6,130","4,682","1,308","5,990","2,956","3,034","1,720","1,293","5,413","5,336","6,518","6,448","4,645","4,559","1,739","1,637","3,948","2,357","6,911","1,258","59,723","1,488","5,687","3,231","3,120","1,803","2,567","1,428"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.1%","69.3%","5.4%","18.5%","20.4%","25.1%","19.2%","5.4%","24.6%","24.8%","24.3%","(X)","75.2%","(X)","98.6%","(X)","98.9%","(X)","98.1%","(X)","94.1%","(X)","59.7%","(X)","18.2%","(X)","2.5%","(X)","56.8%","(X)","57.8%","(X)","55.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","423","14,905","1,117","3,903","4,366","5,519","3,762","641","4,403","2,245","2,158","(X)","387","(X)","4,464","(X)","5,653","(X)","4,198","(X)","1,320","(X)","1,865","(X)","987","(X)","857","(X)","2,553","(X)","1,495","(X)","1,058"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.9%","28.5%","88.2%","85.3%","86.7%","88.0%","90.0%","80.4%","49.0%","73.5%","75.9%","71.1%","(X)","29.9%","(X)","83.7%","(X)","87.7%","(X)","92.1%","(X)","80.6%","(X)","79.1%","(X)","78.5%","(X)","57.6%","(X)","79.0%","(X)","82.9%","(X)","74.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,060","1,998","193","599","595","611","920","667","1,587","711","876","(X)","906","(X)","872","(X)","795","(X)","361","(X)","317","(X)","492","(X)","271","(X)","631","(X)","678","(X)","308","(X)","370"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.1%","71.5%","11.8%","14.7%","13.3%","12.0%","10.0%","19.6%","51.0%","26.5%","24.1%","28.9%","(X)","70.1%","(X)","16.3%","(X)","12.3%","(X)","7.9%","(X)","19.4%","(X)","20.9%","(X)","21.5%","(X)","42.4%","(X)","21.0%","(X)","17.1%","(X)","25.9%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","71,400","5,534","41,563","3,277","11,781","12,456","14,049","17,241","7,062","24,303","11,606","12,697","6,594","4,845","14,904","14,682","16,024","15,823","10,133","9,970","5,781","4,926","15,944","8,375","40,125","8,050","156,282","4,729","21,725","11,538","11,168","5,445","10,557","6,093"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.8%","58.2%","4.6%","16.5%","17.4%","19.7%","24.1%","9.9%","34.0%","31.1%","37.2%","(X)","73.5%","(X)","98.5%","(X)","98.7%","(X)","98.4%","(X)","85.2%","(X)","52.5%","(X)","20.1%","(X)","3.0%","(X)","53.1%","(X)","48.8%","(X)","57.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
