"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"            Estimate","4.2%","6.2%","3.0%","3.3%","2.5%","3.4%","3.0%","6.7%","33.6%","","5.7%","2.9%","3.1%","3.1%","4.7%","6.7%","11.8%","10.2%","(X)","8.8%","(X)","8.8%","(X)","8.8%","(X)","6.5%","(X)","6.7%","(X)","6.3%","","(X)","(X)"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83,961","4,528","49,830","4,175","13,709","15,285","16,661","25,200","4,403","","55.2%","96.2%","98.5%","98.0%","80.1%","55.9%","18.1%","3.3%","252,216","11.6%","119,414","11.4%","132,802","11.8%","28,273","55.5%","15,004","52.4%","13,269","59.0%","","4.1%","7.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.9%","61.5%","89.9%","80.3%","90.3%","90.6%","91.3%","88.3%","52.1%","","61.3%","87.8%","90.4%","92.2%","91.0%","89.1%","75.0%","75.9%","(X)","82.8%","(X)","82.9%","(X)","82.7%","(X)","89.4%","(X)","91.1%","(X)","87.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.1%","38.5%","10.1%","19.7%","9.7%","9.4%","8.7%","11.7%","47.9%","","38.7%","12.2%","9.6%","7.8%","9.0%","10.9%","25.0%","24.1%","(X)","17.2%","(X)","17.1%","(X)","17.3%","(X)","10.6%","(X)","8.9%","(X)","12.3%","","(X)","(X)"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,482","2,481","23,530","1,479","6,801","7,298","7,952","9,238","2,233","","66.5%","98.4%","98.7%","98.9%","86.2%","59.0%","14.8%","2.8%","113,903","10.0%","54,600","9.9%","59,303","10.2%","11,171","59.4%","5,837","58.1%","5,334","60.7%","","2.5%","3.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","81.9%","32.1%","87.5%","78.6%","84.4%","86.9%","92.2%","87.3%","56.5%","","33.3%","83.0%","86.4%","92.5%","90.1%","88.8%","70.9%","69.9%","(X)","81.2%","(X)","82.3%","(X)","80.3%","(X)","89.2%","(X)","88.1%","(X)","90.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18.1%","67.9%","12.5%","21.4%","15.6%","13.1%","7.8%","12.7%","43.5%","","66.7%","17.0%","13.6%","7.5%","9.9%","11.2%","29.1%","30.1%","(X)","18.8%","(X)","17.7%","(X)","19.7%","(X)","10.8%","(X)","11.9%","(X)","9.6%","","(X)","(X)"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,292","4,861","59,911","4,530","17,173","17,213","20,995","19,506","4,014","","54.7%","97.0%","98.6%","97.8%","72.7%","47.5%","13.3%","2.6%","244,880","9.5%","118,471","9.1%","126,409","10.0%","30,144","45.7%","15,600","41.2%","14,544","50.4%","","3.4%","5.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","86.6%","55.9%","91.3%","89.2%","91.7%","92.3%","90.6%","87.5%","50.1%","","58.7%","90.2%","91.3%","91.3%","91.4%","88.0%","71.3%","70.1%","(X)","81.0%","(X)","82.8%","(X)","79.4%","(X)","88.7%","(X)","92.0%","(X)","85.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.4%","44.1%","8.7%","10.8%","8.3%","7.7%","9.4%","12.5%","49.9%","","41.3%","9.8%","8.7%","8.7%","8.6%","12.0%","28.7%","29.9%","(X)","19.0%","(X)","17.2%","(X)","20.6%","(X)","11.3%","(X)","8.0%","(X)","14.2%","","(X)","(X)"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","97,897","4,570","65,479","4,154","17,705","19,670","23,950","24,388","3,460","","48.8%","97.4%","98.9%","98.8%","78.8%","46.8%","14.8%","3.3%","235,020","11.7%","113,610","11.2%","121,410","12.2%","35,277","48.2%","18,217","45.5%","17,060","51.1%","","3.2%","5.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.8%","64.2%","89.2%","89.1%","87.1%","88.3%","91.4%","79.1%","41.9%","","64.3%","86.9%","88.9%","91.8%","80.9%","74.8%","75.1%","72.2%","(X)","74.3%","(X)","74.1%","(X)","74.5%","(X)","75.6%","(X)","75.5%","(X)","75.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.2%","35.8%","10.8%","10.9%","12.9%","11.7%","8.6%","20.9%","58.1%","","35.7%","13.1%","11.1%","8.2%","19.1%","25.2%","24.9%","27.8%","(X)","25.7%","(X)","25.9%","(X)","25.5%","(X)","24.4%","(X)","24.5%","(X)","24.3%","","(X)","(X)"
