"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Population 18 years and over!!Enrolled in college or graduate school","Males 18 years and over","Males 18 years and over!!Enrolled in college or graduate school","Females 18 years and over","Females 18 years and over!!Enrolled in college or graduate school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,185","1,077","11,988","865","3,251","3,802","4,070","4,823","1,297","","76.2%","96.9%","99.5%","98.9%","92.1%","67.2%","20.4%","1.9%","50,462","12.0%","24,256","12.0%","26,206","12.1%","6,248","68.0%","3,131","69.9%","3,117","66.0%","","3.5%","5.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","71.0%","14.9%","84.1%","79.1%","84.0%","82.4%","86.7%","56.0%","53.0%","","10.7%","79.9%","84.0%","86.5%","61.8%","52.6%","65.1%","55.0%","(X)","55.2%","(X)","57.7%","(X)","53.0%","(X)","52.9%","(X)","60.0%","(X)","45.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","29.0%","85.1%","15.9%","20.9%","16.0%","17.6%","13.3%","44.0%","47.0%","","89.3%","20.1%","16.0%","13.5%","38.2%","47.4%","34.9%","45.0%","(X)","44.8%","(X)","42.3%","(X)","47.0%","(X)","47.1%","(X)","40.0%","(X)","54.7%","","(X)","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","105,570","6,052","72,930","4,798","21,198","22,475","24,459","24,080","2,508","","49.2%","96.1%","99.0%","95.9%","64.7%","40.7%","12.2%","3.6%","242,751","10.9%","114,905","9.5%","127,846","12.1%","41,038","38.6%","20,468","33.8%","20,570","43.5%","","5.5%","9.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","91.0%","80.2%","94.7%","93.5%","94.7%","95.0%","94.6%","85.8%","59.1%","","82.4%","93.7%","94.9%","94.8%","93.6%","87.9%","78.8%","71.3%","(X)","83.3%","(X)","83.7%","(X)","83.0%","(X)","89.2%","(X)","89.6%","(X)","88.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9.0%","19.8%","5.3%","6.5%","5.3%","5.0%","5.4%","14.2%","40.9%","","17.6%","6.3%","5.1%","5.2%","6.4%","12.1%","21.2%","28.7%","(X)","16.7%","(X)","16.3%","(X)","17.0%","(X)","10.8%","(X)","10.4%","(X)","11.1%","","(X)","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","127,134","6,588","85,608","5,692","22,598","26,241","31,077","30,694","4,244","","50.8%","96.7%","98.9%","98.2%","73.2%","45.8%","15.7%","3.0%","305,526","11.3%","147,952","10.7%","157,574","11.9%","46,455","45.0%","23,971","40.3%","22,484","50.1%","","4.3%","6.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.9%","73.2%","94.0%","89.6%","93.7%","94.2%","94.8%","86.8%","57.1%","","72.2%","92.6%","94.4%","95.2%","92.7%","86.4%","80.5%","71.6%","(X)","83.2%","(X)","84.0%","(X)","82.6%","(X)","88.1%","(X)","88.9%","(X)","87.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.1%","26.8%","6.0%","10.4%","6.3%","5.8%","5.2%","13.2%","42.9%","","27.8%","7.4%","5.6%","4.8%","7.3%","13.6%","19.5%","28.4%","(X)","16.8%","(X)","16.0%","(X)","17.4%","(X)","11.9%","(X)","11.1%","(X)","12.6%","","(X)","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","287,106","14,102","178,815","12,654","48,325","54,609","63,227","81,720","12,469","","52.0%","96.9%","99.0%","98.2%","79.2%","52.5%","16.2%","2.7%","711,865","13.1%","344,959","12.3%","366,906","13.8%","114,811","53.6%","58,631","48.1%","56,180","59.2%","","4.4%","6.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.0%","65.8%","92.9%","90.1%","92.1%","92.8%","94.2%","77.0%","45.5%","","67.5%","90.8%","92.9%","93.9%","78.2%","75.7%","71.3%","69.2%","(X)","72.8%","(X)","74.5%","(X)","71.4%","(X)","74.5%","(X)","76.8%","(X)","72.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.0%","34.2%","7.1%","9.9%","7.9%","7.2%","5.8%","23.0%","54.5%","","32.5%","9.2%","7.1%","6.1%","21.8%","24.3%","28.7%","30.8%","(X)","27.2%","(X)","25.5%","(X)","28.6%","(X)","25.5%","(X)","23.2%","(X)","27.6%","","(X)","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","109,040","5,905","74,530","5,839","21,692","22,174","24,825","24,562","4,043","","50.9%","97.1%","98.5%","97.6%","70.6%","40.6%","13.7%","3.6%","271,516","10.5%","127,477","9.4%","144,039","11.4%","39,512","38.7%","20,084","36.7%","19,428","40.8%","","4.4%","6.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.8%","77.5%","93.5%","92.9%","94.8%","93.3%","92.7%","82.8%","56.3%","","77.0%","94.6%","92.8%","92.3%","90.7%","83.3%","80.8%","67.6%","(X)","79.1%","(X)","83.0%","(X)","76.2%","(X)","83.6%","(X)","86.0%","(X)","81.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.2%","22.5%","6.5%","7.1%","5.2%","6.7%","7.3%","17.2%","43.7%","","23.0%","5.4%","7.2%","7.7%","9.3%","16.7%","19.2%","32.4%","(X)","20.9%","(X)","17.0%","(X)","23.8%","(X)","16.4%","(X)","14.0%","(X)","18.7%","","(X)","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","169,430","9,970","102,989","7,805","29,044","30,382","35,758","47,924","8,547","","51.3%","96.5%","98.2%","98.4%","75.6%","46.7%","17.0%","4.3%","431,594","13.0%","211,333","12.0%","220,261","13.9%","63,544","48.1%","32,622","46.3%","30,922","50.0%","","4.5%","6.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.2%","67.0%","94.0%","93.5%","93.6%","93.7%","94.8%","87.9%","64.3%","","67.7%","92.6%","93.9%","95.1%","90.9%","89.3%","81.1%","75.5%","(X)","84.3%","(X)","84.4%","(X)","84.2%","(X)","89.4%","(X)","89.1%","(X)","89.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.8%","33.0%","6.0%","6.5%","6.4%","6.3%","5.2%","12.1%","35.7%","","32.3%","7.4%","6.1%","4.9%","9.1%","10.7%","18.9%","24.5%","(X)","15.7%","(X)","15.6%","(X)","15.8%","(X)","10.6%","(X)","10.9%","(X)","10.2%","","(X)","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","679,164","39,679","401,683","31,816","116,082","118,073","135,712","191,229","46,573","","56.3%","96.9%","98.5%","96.4%","77.8%","46.8%","13.6%","3.0%","1,970,944","12.0%","972,845","11.0%","998,099","12.9%","298,980","47.9%","149,377","44.1%","149,603","51.6%","","4.1%","6.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","80.9%","62.6%","89.3%","87.1%","88.6%","89.0%","90.8%","74.8%","48.2%","","64.8%","87.4%","88.9%","90.2%","77.3%","72.0%","67.3%","70.5%","(X)","69.5%","(X)","69.3%","(X)","69.7%","(X)","71.1%","(X)","72.0%","(X)","70.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.1%","37.4%","10.7%","12.9%","11.4%","11.0%","9.2%","25.2%","51.8%","","35.2%","12.6%","11.1%","9.8%","22.7%","28.0%","32.7%","29.5%","(X)","30.5%","(X)","30.7%","(X)","30.3%","(X)","28.9%","(X)","28.0%","(X)","29.7%","","(X)","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80,326","4,761","52,846","2,820","16,412","16,077","17,537","18,664","4,055","","56.6%","97.0%","99.0%","98.4%","79.0%","50.4%","15.5%","3.6%","188,388","11.9%","96,824","10.8%","91,564","13.2%","25,588","51.4%","14,637","43.8%","10,951","61.5%","","3.7%","6.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","84.6%","39.6%","93.3%","85.7%","92.9%","93.4%","94.9%","79.0%","48.9%","","38.4%","89.9%","94.0%","94.7%","81.1%","77.8%","73.4%","64.3%","(X)","73.5%","(X)","74.6%","(X)","72.6%","(X)","77.2%","(X)","80.8%","(X)","73.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.4%","60.4%","6.7%","14.3%","7.1%","6.6%","5.1%","21.0%","51.1%","","61.6%","10.1%","6.0%","5.3%","18.9%","22.2%","26.6%","35.7%","(X)","26.5%","(X)","25.4%","(X)","27.4%","(X)","22.8%","(X)","19.2%","(X)","26.2%","","(X)","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,377","2,589","40,919","2,864","11,559","12,485","14,011","13,467","1,402","","37.4%","95.9%","98.6%","98.7%","72.1%","35.4%","13.7%","4.6%","135,280","10.9%","67,115","9.5%","68,165","12.2%","19,752","38.1%","10,341","33.0%","9,411","43.7%","","3.6%","5.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.9%","74.2%","91.4%","88.8%","91.7%","91.6%","91.5%","84.2%","47.9%","","75.5%","90.7%","90.6%","92.3%","88.1%","86.0%","78.9%","75.0%","(X)","80.7%","(X)","81.7%","(X)","80.0%","(X)","85.7%","(X)","87.1%","(X)","84.5%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.1%","25.8%","8.6%","11.2%","8.3%","8.4%","8.5%","15.8%","52.1%","","24.5%","9.3%","9.4%","7.7%","11.9%","14.0%","21.1%","25.0%","(X)","19.3%","(X)","18.3%","(X)","20.0%","(X)","14.3%","(X)","12.9%","(X)","15.5%","","(X)","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,057","1,724","17,179","985","4,988","5,413","5,793","3,893","1,261","","78.0%","98.5%","99.5%","99.2%","90.5%","51.6%","15.8%","2.5%","70,463","7.2%","33,324","7.1%","37,139","7.3%","5,001","51.6%","2,588","58.1%","2,413","44.7%","","3.8%","6.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","78.7%","23.3%","86.1%","71.5%","84.5%","85.3%","90.7%","79.6%","51.4%","","22.8%","79.7%","86.3%","90.1%","83.7%","75.7%","76.9%","64.5%","(X)","72.7%","(X)","76.9%","(X)","68.9%","(X)","76.2%","(X)","78.7%","(X)","72.6%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","21.3%","76.7%","13.9%","28.5%","15.5%","14.7%","9.3%","20.4%","48.6%","","77.2%","20.3%","13.7%","9.9%","16.3%","24.3%","23.1%","35.5%","(X)","27.3%","(X)","23.1%","(X)","31.1%","(X)","23.8%","(X)","21.3%","(X)","27.4%","","(X)","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,110","5,278","43,294","3,046","11,945","12,784","15,519","18,262","7,276","","73.1%","98.6%","99.0%","98.6%","83.4%","54.7%","21.4%","3.4%","215,066","11.8%","102,948","12.3%","112,118","11.4%","22,796","52.7%","11,987","51.1%","10,809","54.5%","","4.0%","6.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","68.8%","30.0%","76.5%","74.9%","76.4%","74.1%","79.0%","74.5%","36.3%","","34.1%","73.3%","74.6%","77.2%","74.8%","63.5%","62.6%","64.3%","(X)","63.6%","(X)","63.5%","(X)","63.6%","(X)","64.8%","(X)","64.4%","(X)","65.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.2%","70.0%","23.5%","25.1%","23.6%","25.9%","21.0%","25.5%","63.7%","","65.9%","26.7%","25.4%","22.8%","25.2%","36.5%","37.4%","35.7%","(X)","36.4%","(X)","36.5%","(X)","36.4%","(X)","35.2%","(X)","35.6%","(X)","34.7%","","(X)","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","479,143","30,024","301,776","22,929","86,580","89,787","102,480","123,548","23,795","","56.6%","97.4%","98.5%","97.6%","78.6%","45.8%","14.3%","3.3%","1,385,800","10.5%","675,015","9.6%","710,785","11.4%","174,793","45.7%","88,344","42.1%","86,449","49.4%","","4.5%","7.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","82.9%","55.4%","87.5%","85.3%","87.3%","87.2%","88.4%","83.8%","54.7%","","58.1%","85.6%","87.0%","88.1%","87.5%","84.3%","73.1%","73.5%","(X)","79.1%","(X)","79.9%","(X)","78.5%","(X)","84.7%","(X)","86.9%","(X)","82.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17.1%","44.6%","12.5%","14.7%","12.7%","12.8%","11.6%","16.2%","45.3%","","41.9%","14.4%","13.0%","11.9%","12.5%","15.7%","26.9%","26.5%","(X)","20.9%","(X)","20.1%","(X)","21.5%","(X)","15.3%","(X)","13.1%","(X)","17.2%","","(X)","(X)"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,213","1,552","8,657","760","2,623","2,366","2,908","5,324","2,680","","82.3%","97.3%","99.6%","98.4%","85.7%","56.2%","13.9%","3.2%","77,910","10.3%","37,219","10.0%","40,691","10.5%","6,891","57.0%","3,543","59.4%","3,348","54.4%","","3.2%","6.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","69.2%","24.4%","80.7%","79.6%","80.4%","85.5%","77.4%","76.5%","43.1%","","28.2%","76.5%","83.9%","73.9%","88.3%","66.7%","56.6%","65.2%","(X)","65.3%","(X)","69.0%","(X)","62.0%","(X)","71.1%","(X)","76.6%","(X)","64.8%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30.8%","75.6%","19.3%","20.4%","19.6%","14.5%","22.6%","23.5%","56.9%","","71.8%","23.5%","16.1%","26.1%","11.7%","33.3%","43.4%","34.8%","(X)","34.7%","(X)","31.0%","(X)","38.0%","(X)","28.9%","(X)","23.4%","(X)","35.2%","","(X)","(X)"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,692","3,159","50,474","3,434","13,253","15,577","18,210","15,390","1,669","","41.9%","96.1%","99.4%","99.1%","73.0%","41.1%","16.6%","4.2%","145,701","11.5%","71,258","10.4%","74,443","12.6%","23,716","38.7%","12,289","35.0%","11,427","42.8%","","3.9%","6.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.6%","70.6%","92.7%","94.0%","91.7%","93.8%","92.3%","83.7%","44.9%","","68.9%","93.1%","93.1%","91.6%","92.0%","84.7%","77.7%","69.0%","(X)","79.6%","(X)","81.6%","(X)","78.0%","(X)","85.9%","(X)","84.8%","(X)","86.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.4%","29.4%","7.3%","6.0%","8.3%","6.2%","7.7%","16.3%","55.1%","","31.1%","6.9%","6.9%","8.4%","8.0%","15.3%","22.3%","31.0%","(X)","20.4%","(X)","18.4%","(X)","22.0%","(X)","14.1%","(X)","15.2%","(X)","13.1%","","(X)","(X)"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,465","3,716","21,363","2,050","6,477","6,731","6,105","5,792","2,594","","76.7%","98.4%","98.8%","97.5%","83.9%","50.4%","12.3%","2.6%","108,858","7.7%","53,651","6.6%","55,207","8.7%","7,448","48.6%","3,761","44.9%","3,687","52.4%","","3.8%","5.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","75.4%","28.4%","85.9%","80.8%","87.2%","84.8%","87.4%","81.1%","43.4%","","25.9%","82.0%","85.5%","86.6%","86.3%","78.1%","67.5%","53.6%","(X)","69.3%","(X)","72.0%","(X)","67.4%","(X)","79.7%","(X)","78.2%","(X)","81.1%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
