"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Population 18 years and over!!Enrolled in college or graduate school","Males 18 years and over","Males 18 years and over!!Enrolled in college or graduate school","Females 18 years and over","Females 18 years and over!!Enrolled in college or graduate school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.3%","40.2%","7.6%","12.8%","6.7%","6.8%","7.8%","12.1%","50.0%","","38.5%","9.1%","7.0%","7.6%","7.8%","12.5%","27.0%","29.3%","(X)","18.3%","(X)","17.4%","(X)","19.2%","(X)","11.4%","(X)","10.7%","(X)","12.2%","","(X)","(X)"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,668","5,000","61,790","4,219","17,654","17,672","22,245","26,586","3,292","","51.5%","97.3%","98.6%","98.7%","80.2%","49.7%","15.4%","3.0%","241,538","12.2%","115,906","11.9%","125,632","12.6%","36,594","51.0%","18,314","48.4%","18,280","53.6%","","4.2%","6.8%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.8%","65.2%","89.7%","88.8%","88.3%","87.9%","92.4%","79.0%","41.1%","","67.7%","88.0%","87.5%","93.6%","77.7%","78.3%","73.7%","72.0%","(X)","74.6%","(X)","73.1%","(X)","75.9%","(X)","76.0%","(X)","74.8%","(X)","77.2%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.2%","34.8%","10.3%","11.2%","11.7%","12.1%","7.6%","21.0%","58.9%","","32.3%","12.0%","12.5%","6.4%","22.3%","21.7%","26.3%","28.0%","(X)","25.4%","(X)","26.9%","(X)","24.1%","(X)","24.0%","(X)","25.2%","(X)","22.8%","","(X)","(X)"
