"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","55,670","2,511","39,538","3,031","11,414","11,843","13,250","12,184","1,437","13,621","6,308","7,313","6,681","1,948","14,432","13,880","15,315","14,952","9,291","9,065","5,620","4,045","12,510","4,904","27,201","3,439","93,147","3,437","18,130","7,239","9,411","3,468","8,719","3,771"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.5%","71.0%","5.4%","20.5%","21.3%","23.8%","21.9%","2.6%","24.5%","22.2%","26.9%","(X)","29.2%","(X)","96.2%","(X)","97.6%","(X)","97.6%","(X)","72.0%","(X)","39.2%","(X)","12.6%","(X)","3.7%","(X)","39.9%","(X)","36.9%","(X)","43.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,828","37,032","2,813","10,950","10,906","12,363","10,550","763","11,313","5,349","5,964","(X)","1,344","(X)","13,135","(X)","13,837","(X)","8,483","(X)","3,591","(X)","4,155","(X)","2,879","(X)","2,749","(X)","6,172","(X)","2,994","(X)","3,178"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.1%","72.8%","93.7%","92.8%","95.9%","92.1%","93.3%","86.6%","53.1%","83.1%","84.8%","81.6%","(X)","69.0%","(X)","94.6%","(X)","92.5%","(X)","93.6%","(X)","88.8%","(X)","84.7%","(X)","83.7%","(X)","80.0%","(X)","85.3%","(X)","86.3%","(X)","84.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","683","2,506","218","464","937","887","1,634","674","2,308","959","1,349","(X)","604","(X)","745","(X)","1,115","(X)","582","(X)","454","(X)","749","(X)","560","(X)","688","(X)","1,067","(X)","474","(X)","593"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.9%","27.2%","6.3%","7.2%","4.1%","7.9%","6.7%","13.4%","46.9%","16.9%","15.2%","18.4%","(X)","31.0%","(X)","5.4%","(X)","7.5%","(X)","6.4%","(X)","11.2%","(X)","15.3%","(X)","16.3%","(X)","20.0%","(X)","14.7%","(X)","13.7%","(X)","15.7%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,281","1,289","16,344","1,279","4,064","5,087","5,914","4,367","1,281","5,648","2,480","3,168","1,561","1,109","4,891","4,781","6,525","6,435","4,618","4,498","1,843","1,718","3,655","2,185","7,368","1,132","59,587","1,423","5,498","3,048","2,875","1,451","2,623","1,597"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.5%","70.2%","5.5%","17.5%","21.9%","25.4%","18.8%","5.5%","24.3%","22.4%","25.9%","(X)","71.0%","(X)","97.8%","(X)","98.6%","(X)","97.4%","(X)","93.2%","(X)","59.8%","(X)","15.4%","(X)","2.4%","(X)","55.4%","(X)","50.5%","(X)","60.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","431","14,753","1,132","3,691","4,566","5,364","3,395","645","4,040","1,739","2,301","(X)","405","(X)","4,168","(X)","5,755","(X)","4,146","(X)","1,386","(X)","1,636","(X)","881","(X)","847","(X)","2,291","(X)","1,159","(X)","1,132"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.6%","33.4%","90.3%","88.5%","90.8%","89.8%","90.7%","77.7%","50.4%","71.5%","70.1%","72.6%","(X)","36.5%","(X)","87.2%","(X)","89.4%","(X)","92.2%","(X)","80.7%","(X)","74.9%","(X)","77.8%","(X)","59.5%","(X)","75.2%","(X)","79.9%","(X)","70.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","858","1,591","147","373","521","550","972","636","1,608","741","867","(X)","704","(X)","613","(X)","680","(X)","352","(X)","332","(X)","549","(X)","251","(X)","576","(X)","757","(X)","292","(X)","465"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.4%","66.6%","9.7%","11.5%","9.2%","10.2%","9.3%","22.3%","49.6%","28.5%","29.9%","27.4%","(X)","63.5%","(X)","12.8%","(X)","10.6%","(X)","7.8%","(X)","19.3%","(X)","25.1%","(X)","22.2%","(X)","40.5%","(X)","24.8%","(X)","20.1%","(X)","29.1%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
