"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,766","1,142","10,219","668","2,632","3,078","3,841","4,913","1,492","6,405","3,195","3,210","890","715","3,259","3,149","4,266","4,266","2,858","2,850","2,442","2,186","4,112","2,946","5,640","741","40,126","913","6,554","4,706","3,201","2,292","3,353","2,414"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","57.5%","3.8%","14.8%","17.3%","21.6%","27.7%","8.4%","36.1%","35.7%","36.4%","(X)","80.3%","(X)","96.6%","(X)","100.0%","(X)","99.7%","(X)","89.5%","(X)","71.6%","(X)","13.1%","(X)","2.3%","(X)","71.8%","(X)","71.6%","(X)","72.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","263","8,046","455","2,094","2,415","3,082","2,433","450","2,883","1,402","1,481","(X)","125","(X)","2,308","(X)","3,355","(X)","2,225","(X)","1,120","(X)","1,219","(X)","380","(X)","460","(X)","2,023","(X)","964","(X)","1,059"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63.0%","23.0%","78.7%","68.1%","79.6%","78.5%","80.2%","49.5%","30.2%","45.0%","43.9%","46.1%","(X)","17.5%","(X)","73.3%","(X)","78.6%","(X)","78.1%","(X)","51.2%","(X)","41.4%","(X)","51.3%","(X)","50.4%","(X)","43.0%","(X)","42.1%","(X)","43.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","879","2,173","213","538","663","759","2,480","1,042","3,522","1,793","1,729","(X)","590","(X)","841","(X)","911","(X)","625","(X)","1,066","(X)","1,727","(X)","361","(X)","453","(X)","2,683","(X)","1,328","(X)","1,355"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37.0%","77.0%","21.3%","31.9%","20.4%","21.5%","19.8%","50.5%","69.8%","55.0%","56.1%","53.9%","(X)","82.5%","(X)","26.7%","(X)","21.4%","(X)","21.9%","(X)","48.8%","(X)","58.6%","(X)","48.7%","(X)","49.6%","(X)","57.0%","(X)","57.9%","(X)","56.1%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","99,004","5,513","67,293","5,187","18,617","20,109","23,380","23,562","2,636","26,198","11,600","14,598","11,159","4,949","24,776","23,137","25,735","25,114","16,055","15,400","10,945","7,698","28,201","11,222","53,680","6,709","167,153","4,775","39,146","15,621","20,034","7,155","19,112","8,466"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.6%","68.0%","5.2%","18.8%","20.3%","23.6%","23.8%","2.7%","26.5%","23.5%","29.4%","(X)","44.3%","(X)","93.4%","(X)","97.6%","(X)","95.9%","(X)","70.3%","(X)","39.8%","(X)","12.5%","(X)","2.9%","(X)","39.9%","(X)","35.7%","(X)","44.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,692","63,836","4,802","17,681","19,124","22,229","20,772","1,639","22,411","9,927","12,484","(X)","4,199","(X)","21,778","(X)","24,043","(X)","14,653","(X)","6,950","(X)","9,980","(X)","5,709","(X)","3,627","(X)","13,853","(X)","6,489","(X)","7,364"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.9%","85.1%","94.9%","92.6%","95.0%","95.1%","95.1%","88.2%","62.2%","85.5%","85.6%","85.5%","(X)","84.8%","(X)","94.1%","(X)","95.7%","(X)","95.1%","(X)","90.3%","(X)","88.9%","(X)","85.1%","(X)","76.0%","(X)","88.7%","(X)","90.7%","(X)","87.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","821","3,457","385","936","985","1,151","2,790","997","3,787","1,673","2,114","(X)","750","(X)","1,359","(X)","1,071","(X)","747","(X)","748","(X)","1,242","(X)","1,000","(X)","1,148","(X)","1,768","(X)","666","(X)","1,102"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.1%","14.9%","5.1%","7.4%","5.0%","4.9%","4.9%","11.8%","37.8%","14.5%","14.4%","14.5%","(X)","15.2%","(X)","5.9%","(X)","4.3%","(X)","4.9%","(X)","9.7%","(X)","11.1%","(X)","14.9%","(X)","24.0%","(X)","11.3%","(X)","9.3%","(X)","13.0%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","119,274","5,764","76,232","5,277","21,051","23,058","26,846","32,665","4,613","37,278","16,582","20,696","11,204","5,212","26,622","25,377","30,593","29,572","18,144","17,490","11,477","8,543","31,179","15,579","60,078","10,267","214,330","7,234","42,656","20,875","21,630","9,673","21,026","11,202"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","63.9%","4.4%","17.6%","19.3%","22.5%","27.4%","3.9%","31.3%","27.8%","34.8%","(X)","46.5%","(X)","95.3%","(X)","96.7%","(X)","96.4%","(X)","74.4%","(X)","50.0%","(X)","17.1%","(X)","3.4%","(X)","48.9%","(X)","44.7%","(X)","53.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,313","71,619","4,833","19,409","21,932","25,445","28,133","2,709","30,842","13,910","16,932","(X)","3,919","(X)","23,308","(X)","28,023","(X)","16,682","(X)","7,911","(X)","13,804","(X)","8,062","(X)","5,065","(X)","18,692","(X)","8,719","(X)","9,973"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.5%","74.8%","93.9%","91.6%","92.2%","95.1%","94.8%","86.1%","58.7%","82.7%","83.9%","81.8%","(X)","75.2%","(X)","91.8%","(X)","94.8%","(X)","95.4%","(X)","92.6%","(X)","88.6%","(X)","78.5%","(X)","70.0%","(X)","89.5%","(X)","90.1%","(X)","89.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,451","4,613","444","1,642","1,126","1,401","4,532","1,904","6,436","2,672","3,764","(X)","1,293","(X)","2,069","(X)","1,549","(X)","808","(X)","632","(X)","1,775","(X)","2,205","(X)","2,169","(X)","2,183","(X)","954","(X)","1,229"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.5%","25.2%","6.1%","8.4%","7.8%","4.9%","5.2%","13.9%","41.3%","17.3%","16.1%","18.2%","(X)","24.8%","(X)","8.2%","(X)","5.2%","(X)","4.6%","(X)","7.4%","(X)","11.4%","(X)","21.5%","(X)","30.0%","(X)","10.5%","(X)","9.9%","(X)","11.0%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","267,659","14,173","156,930","11,779","43,191","48,630","53,330","83,234","13,322","96,556","43,377","53,179","23,970","12,541","55,341","53,142","61,755","60,645","38,224","37,309","31,364","25,330","75,650","41,746","134,720","23,131","502,769","13,815","107,014","60,133","53,605","27,760","53,409","32,373"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.3%","58.6%","4.4%","16.1%","18.2%","19.9%","31.1%","5.0%","36.1%","33.1%","39.0%","(X)","52.3%","(X)","96.0%","(X)","98.2%","(X)","97.6%","(X)","80.8%","(X)","55.2%","(X)","17.2%","(X)","2.7%","(X)","56.2%","(X)","51.8%","(X)","60.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,678","146,755","10,626","40,530","45,322","50,277","64,647","5,573","70,220","32,609","37,611","(X)","7,509","(X)","49,018","(X)","56,841","(X)","35,017","(X)","19,797","(X)","31,017","(X)","17,091","(X)","9,363","(X)","44,254","(X)","21,198","(X)","23,056"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.3%","61.2%","93.5%","90.2%","93.8%","93.2%","94.3%","77.7%","41.8%","72.7%","75.2%","70.7%","(X)","59.9%","(X)","92.2%","(X)","93.7%","(X)","93.9%","(X)","78.2%","(X)","74.3%","(X)","73.9%","(X)","67.8%","(X)","73.6%","(X)","76.4%","(X)","71.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,495","10,175","1,153","2,661","3,308","3,053","18,587","7,749","26,336","10,768","15,568","(X)","5,032","(X)","4,124","(X)","3,804","(X)","2,292","(X)","5,533","(X)","10,729","(X)","6,040","(X)","4,452","(X)","15,879","(X)","6,562","(X)","9,317"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.7%","38.8%","6.5%","9.8%","6.2%","6.8%","5.7%","22.3%","58.2%","27.3%","24.8%","29.3%","(X)","40.1%","(X)","7.8%","(X)","6.3%","(X)","6.1%","(X)","21.8%","(X)","25.7%","(X)","26.1%","(X)","32.2%","(X)","26.4%","(X)","23.6%","(X)","28.8%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","103,459","6,598","66,258","5,524","20,521","19,487","20,726","26,289","4,314","30,603","12,523","18,080","11,004","5,962","25,916","25,173","25,014","24,335","13,892","13,378","9,471","7,268","26,736","11,151","59,385","8,843","187,195","7,349","36,207","15,570","18,002","7,008","18,205","8,562"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","64.0%","5.3%","19.8%","18.8%","20.0%","25.4%","4.2%","29.6%","25.4%","33.4%","(X)","54.2%","(X)","97.1%","(X)","97.3%","(X)","96.3%","(X)","76.7%","(X)","41.7%","(X)","14.9%","(X)","3.9%","(X)","43.0%","(X)","38.9%","(X)","47.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,017","61,232","4,764","19,094","18,452","18,922","23,259","2,297","25,556","10,674","14,882","(X)","4,412","(X)","23,021","(X)","22,846","(X)","12,203","(X)","6,832","(X)","9,984","(X)","6,961","(X)","5,546","(X)","14,175","(X)","6,434","(X)","7,741"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.7%","76.0%","92.4%","86.2%","93.0%","94.7%","91.3%","88.5%","53.2%","83.5%","85.2%","82.3%","(X)","74.0%","(X)","91.5%","(X)","93.9%","(X)","91.2%","(X)","94.0%","(X)","89.5%","(X)","78.7%","(X)","75.5%","(X)","91.0%","(X)","91.8%","(X)","90.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,581","5,026","760","1,427","1,035","1,804","3,030","2,017","5,047","1,849","3,198","(X)","1,550","(X)","2,152","(X)","1,489","(X)","1,175","(X)","436","(X)","1,167","(X)","1,882","(X)","1,803","(X)","1,395","(X)","574","(X)","821"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.3%","24.0%","7.6%","13.8%","7.0%","5.3%","8.7%","11.5%","46.8%","16.5%","14.8%","17.7%","(X)","26.0%","(X)","8.5%","(X)","6.1%","(X)","8.8%","(X)","6.0%","(X)","10.5%","(X)","21.3%","(X)","24.5%","(X)","9.0%","(X)","8.2%","(X)","9.6%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","157,357","9,491","91,970","7,220","26,552","28,056","30,142","47,688","8,208","55,896","25,572","30,324","16,067","8,258","34,663","32,696","35,737","34,942","22,235","21,339","15,170","11,629","44,602","22,706","96,317","16,217","289,538","9,570","59,772","30,685","30,444","14,711","29,328","15,974"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","58.4%","4.6%","16.9%","17.8%","19.2%","30.3%","5.2%","35.5%","33.1%","37.9%","(X)","51.4%","(X)","94.3%","(X)","97.8%","(X)","96.0%","(X)","76.7%","(X)","50.9%","(X)","16.8%","(X)","3.3%","(X)","51.3%","(X)","48.3%","(X)","54.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,569","86,558","6,676","24,844","26,375","28,663","42,870","5,459","48,329","22,668","25,661","(X)","5,748","(X)","30,285","(X)","32,833","(X)","20,357","(X)","10,599","(X)","20,987","(X)","13,340","(X)","7,307","(X)","28,224","(X)","13,646","(X)","14,578"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.9%","69.2%","94.1%","92.5%","93.6%","94.0%","95.1%","89.9%","66.5%","86.5%","88.6%","84.6%","(X)","69.6%","(X)","92.6%","(X)","94.0%","(X)","95.4%","(X)","91.1%","(X)","92.4%","(X)","82.3%","(X)","76.4%","(X)","92.0%","(X)","92.8%","(X)","91.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,922","5,412","544","1,708","1,681","1,479","4,818","2,749","7,567","2,904","4,663","(X)","2,510","(X)","2,411","(X)","2,109","(X)","982","(X)","1,030","(X)","1,719","(X)","2,877","(X)","2,263","(X)","2,461","(X)","1,065","(X)","1,396"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.1%","30.8%","5.9%","7.5%","6.4%","6.0%","4.9%","10.1%","33.5%","13.5%","11.4%","15.4%","(X)","30.4%","(X)","7.4%","(X)","6.0%","(X)","4.6%","(X)","8.9%","(X)","7.6%","(X)","17.7%","(X)","23.6%","(X)","8.0%","(X)","7.2%","(X)","8.7%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","662,739","41,646","379,566","31,176","113,285","113,652","121,453","191,606","49,921","241,527","109,429","132,098","62,848","36,519","146,100","141,908","142,413","139,776","85,346","82,911","72,385","58,375","208,755","101,389","494,614","65,549","1,293,961","36,312","281,140","142,592","138,853","64,387","142,287","78,205"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.3%","57.3%","4.7%","17.1%","17.1%","18.3%","28.9%","7.5%","36.4%","33.8%","39.0%","(X)","58.1%","(X)","97.1%","(X)","98.1%","(X)","97.1%","(X)","80.6%","(X)","48.6%","(X)","13.3%","(X)","2.8%","(X)","50.7%","(X)","46.4%","(X)","55.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26,220","337,832","27,747","101,778","100,258","108,049","147,362","23,730","171,092","78,312","92,780","(X)","23,011","(X)","126,535","(X)","123,221","(X)","73,118","(X)","44,876","(X)","73,727","(X)","45,609","(X)","25,047","(X)","103,268","(X)","47,619","(X)","55,649"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.7%","63.0%","89.0%","89.0%","89.8%","88.2%","89.0%","76.9%","47.5%","70.8%","71.6%","70.2%","(X)","63.0%","(X)","89.2%","(X)","88.2%","(X)","88.2%","(X)","76.9%","(X)","72.7%","(X)","69.6%","(X)","69.0%","(X)","72.4%","(X)","74.0%","(X)","71.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,426","41,734","3,429","11,507","13,394","13,404","44,244","26,191","70,435","31,117","39,318","(X)","13,508","(X)","15,373","(X)","16,555","(X)","9,793","(X)","13,499","(X)","27,662","(X)","19,940","(X)","11,265","(X)","39,324","(X)","16,768","(X)","22,556"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.3%","37.0%","11.0%","11.0%","10.2%","11.8%","11.0%","23.1%","52.5%","29.2%","28.4%","29.8%","(X)","37.0%","(X)","10.8%","(X)","11.8%","(X)","11.8%","(X)","23.1%","(X)","27.3%","(X)","30.4%","(X)","31.0%","(X)","27.6%","(X)","26.0%","(X)","28.8%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77,711","4,813","51,641","3,569","14,494","16,226","17,352","17,883","3,374","21,257","10,337","10,920","7,093","4,080","18,300","17,824","19,851","19,647","12,560","12,374","6,993","5,750","16,704","8,507","33,563","5,443","136,333","4,086","23,697","12,206","13,063","6,266","10,634","5,940"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","66.5%","4.6%","18.7%","20.9%","22.3%","23.0%","4.3%","27.4%","26.1%","28.7%","(X)","57.5%","(X)","97.4%","(X)","99.0%","(X)","98.5%","(X)","82.2%","(X)","50.9%","(X)","16.2%","(X)","3.0%","(X)","51.5%","(X)","48.0%","(X)","55.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,492","47,782","3,334","13,206","15,089","16,153","14,069","1,583","15,652","7,814","7,838","(X)","2,052","(X)","16,116","(X)","18,255","(X)","11,435","(X)","4,769","(X)","6,656","(X)","4,017","(X)","2,626","(X)","9,483","(X)","4,976","(X)","4,507"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.8%","51.8%","92.5%","93.4%","91.1%","93.0%","93.1%","78.7%","46.9%","73.6%","75.6%","71.8%","(X)","50.3%","(X)","90.4%","(X)","92.9%","(X)","92.4%","(X)","82.9%","(X)","78.2%","(X)","73.8%","(X)","64.3%","(X)","77.7%","(X)","79.4%","(X)","75.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,321","3,859","235","1,288","1,137","1,199","3,814","1,791","5,605","2,523","3,082","(X)","2,028","(X)","1,708","(X)","1,392","(X)","939","(X)","981","(X)","1,851","(X)","1,426","(X)","1,460","(X)","2,723","(X)","1,290","(X)","1,433"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.2%","48.2%","7.5%","6.6%","8.9%","7.0%","6.9%","21.3%","53.1%","26.4%","24.4%","28.2%","(X)","49.7%","(X)","9.6%","(X)","7.1%","(X)","7.6%","(X)","17.1%","(X)","21.8%","(X)","26.2%","(X)","35.7%","(X)","22.3%","(X)","20.6%","(X)","24.1%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
