"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","55,975","2,028","40,076","3,011","12,053","11,499","13,513","12,561","1,310","13,871","6,141","7,730","6,398","1,467","15,266","14,666","14,836","14,509","9,453","9,287","5,734","4,018","12,805","4,980","27,516","3,530","92,913","3,518","18,539","7,285","9,608","3,377","8,931","3,908"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.6%","71.6%","5.4%","21.5%","20.5%","24.1%","22.4%","2.3%","24.8%","21.7%","28.0%","(X)","22.9%","(X)","96.1%","(X)","97.8%","(X)","98.2%","(X)","70.1%","(X)","38.9%","(X)","12.8%","(X)","3.8%","(X)","39.3%","(X)","35.1%","(X)","43.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,374","37,406","2,809","11,471","10,513","12,613","10,863","667","11,530","5,215","6,315","(X)","899","(X)","13,823","(X)","13,276","(X)","8,776","(X)","3,530","(X)","4,213","(X)","2,990","(X)","2,803","(X)","6,196","(X)","2,903","(X)","3,293"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.9%","67.8%","93.3%","93.3%","95.2%","91.4%","93.3%","86.5%","50.9%","83.1%","84.9%","81.7%","(X)","61.3%","(X)","94.3%","(X)","91.5%","(X)","94.5%","(X)","87.9%","(X)","84.6%","(X)","84.7%","(X)","79.7%","(X)","85.1%","(X)","86.0%","(X)","84.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","654","2,670","202","582","986","900","1,698","643","2,341","926","1,415","(X)","568","(X)","843","(X)","1,233","(X)","511","(X)","488","(X)","767","(X)","540","(X)","715","(X)","1,089","(X)","474","(X)","615"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.1%","32.2%","6.7%","6.7%","4.8%","8.6%","6.7%","13.5%","49.1%","16.9%","15.1%","18.3%","(X)","38.7%","(X)","5.7%","(X)","8.5%","(X)","5.5%","(X)","12.1%","(X)","15.4%","(X)","15.3%","(X)","20.3%","(X)","14.9%","(X)","14.0%","(X)","15.7%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,005","1,379","16,638","1,287","4,314","5,182","5,855","4,798","1,190","5,988","2,763","3,225","1,591","1,173","5,250","5,192","6,643","6,588","4,484","4,411","1,738","1,650","3,865","2,369","7,363","1,296","59,585","1,326","5,603","3,303","2,949","1,684","2,654","1,619"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","69.3%","5.4%","18.0%","21.6%","24.4%","20.0%","5.0%","24.9%","24.0%","25.8%","(X)","73.7%","(X)","98.9%","(X)","99.2%","(X)","98.4%","(X)","94.9%","(X)","61.3%","(X)","17.6%","(X)","2.2%","(X)","59.0%","(X)","57.1%","(X)","61.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","450","14,755","1,114","3,849","4,554","5,238","3,805","583","4,388","2,071","2,317","(X)","385","(X)","4,416","(X)","5,790","(X)","4,068","(X)","1,322","(X)","1,815","(X)","1,015","(X)","782","(X)","2,548","(X)","1,423","(X)","1,125"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.6%","32.6%","88.7%","86.6%","89.2%","87.9%","89.5%","79.3%","49.0%","73.3%","75.0%","71.8%","(X)","32.8%","(X)","85.1%","(X)","87.9%","(X)","92.2%","(X)","80.1%","(X)","76.6%","(X)","78.3%","(X)","59.0%","(X)","77.1%","(X)","84.5%","(X)","69.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","929","1,883","173","465","628","617","993","607","1,600","692","908","(X)","788","(X)","776","(X)","798","(X)","343","(X)","328","(X)","554","(X)","281","(X)","544","(X)","755","(X)","261","(X)","494"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.4%","67.4%","11.3%","13.4%","10.8%","12.1%","10.5%","20.7%","51.0%","26.7%","25.0%","28.2%","(X)","67.2%","(X)","14.9%","(X)","12.1%","(X)","7.8%","(X)","19.9%","(X)","23.4%","(X)","21.7%","(X)","41.0%","(X)","22.9%","(X)","15.5%","(X)","30.5%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
