"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,790","1,339","10,153","621","2,696","3,018","3,818","4,927","1,371","6,298","3,224","3,074","1,202","958","3,359","3,262","4,010","4,010","2,860","2,854","2,575","2,325","3,897","2,667","5,769","806","39,649","908","6,472","4,538","3,292","2,332","3,180","2,206"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.5%","57.1%","3.5%","15.2%","17.0%","21.5%","27.7%","7.7%","35.4%","35.2%","35.6%","(X)","79.7%","(X)","97.1%","(X)","100.0%","(X)","99.8%","(X)","90.3%","(X)","68.4%","(X)","14.0%","(X)","2.3%","(X)","70.1%","(X)","70.8%","(X)","69.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","215","8,291","449","2,217","2,423","3,202","2,526","430","2,956","1,661","1,295","(X)","97","(X)","2,494","(X)","3,190","(X)","2,383","(X)","1,315","(X)","1,165","(X)","394","(X)","424","(X)","2,107","(X)","1,236","(X)","871"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64.4%","16.1%","81.7%","72.3%","82.2%","80.3%","83.9%","51.3%","31.4%","46.9%","51.5%","42.1%","(X)","10.1%","(X)","76.5%","(X)","79.6%","(X)","83.5%","(X)","56.6%","(X)","43.7%","(X)","48.9%","(X)","46.7%","(X)","46.4%","(X)","53.0%","(X)","39.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,124","1,862","172","479","595","616","2,401","941","3,342","1,563","1,779","(X)","861","(X)","768","(X)","820","(X)","471","(X)","1,010","(X)","1,502","(X)","412","(X)","484","(X)","2,431","(X)","1,096","(X)","1,335"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35.6%","83.9%","18.3%","27.7%","17.8%","19.7%","16.1%","48.7%","68.6%","53.1%","48.5%","57.9%","(X)","89.9%","(X)","23.5%","(X)","20.4%","(X)","16.5%","(X)","43.4%","(X)","56.3%","(X)","51.1%","(X)","53.3%","(X)","53.6%","(X)","47.0%","(X)","60.5%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","101,634","6,115","68,286","4,999","19,481","19,897","23,909","24,386","2,847","27,233","12,163","15,070","11,130","5,297","25,647","24,079","25,516","24,996","16,506","15,870","11,256","7,848","29,207","11,741","53,315","6,815","165,531","4,988","40,463","16,283","20,151","7,373","20,312","8,910"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","67.2%","4.9%","19.2%","19.6%","23.5%","24.0%","2.8%","26.8%","23.9%","29.7%","(X)","47.6%","(X)","93.9%","(X)","98.0%","(X)","96.1%","(X)","69.7%","(X)","40.2%","(X)","12.8%","(X)","3.0%","(X)","40.2%","(X)","36.6%","(X)","43.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,178","64,663","4,595","18,469","18,928","22,671","21,377","1,657","23,034","10,338","12,696","(X)","4,425","(X)","22,642","(X)","23,874","(X)","15,117","(X)","7,075","(X)","10,381","(X)","5,645","(X)","3,716","(X)","14,436","(X)","6,663","(X)","7,773"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91.4%","84.7%","94.7%","91.9%","94.8%","95.1%","94.8%","87.7%","58.2%","84.6%","85.0%","84.2%","(X)","83.5%","(X)","94.0%","(X)","95.5%","(X)","95.3%","(X)","90.2%","(X)","88.4%","(X)","82.8%","(X)","74.5%","(X)","88.7%","(X)","90.4%","(X)","87.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","937","3,623","404","1,012","969","1,238","3,009","1,190","4,199","1,825","2,374","(X)","872","(X)","1,437","(X)","1,122","(X)","753","(X)","773","(X)","1,360","(X)","1,170","(X)","1,272","(X)","1,847","(X)","710","(X)","1,137"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.6%","15.3%","5.3%","8.1%","5.2%","4.9%","5.2%","12.3%","41.8%","15.4%","15.0%","15.8%","(X)","16.5%","(X)","6.0%","(X)","4.5%","(X)","4.7%","(X)","9.8%","(X)","11.6%","(X)","17.2%","(X)","25.5%","(X)","11.3%","(X)","9.6%","(X)","12.8%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","122,517","6,072","77,383","5,215","20,626","23,537","28,005","34,464","4,598","39,062","17,662","21,400","11,236","5,420","26,112","25,155","30,597","29,781","19,459","18,756","12,264","9,034","33,688","16,920","58,680","10,344","212,729","7,107","45,952","22,783","23,560","10,725","22,392","12,058"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","63.2%","4.3%","16.8%","19.2%","22.9%","28.1%","3.8%","31.9%","28.9%","34.9%","(X)","48.2%","(X)","96.3%","(X)","97.3%","(X)","96.4%","(X)","73.7%","(X)","50.2%","(X)","17.6%","(X)","3.3%","(X)","49.6%","(X)","45.5%","(X)","53.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4,651","72,997","4,900","19,290","22,382","26,425","30,093","2,724","32,817","14,938","17,879","(X)","4,118","(X)","23,493","(X)","28,331","(X)","17,812","(X)","8,357","(X)","15,230","(X)","8,183","(X)","4,941","(X)","20,732","(X)","9,720","(X)","11,012"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.2%","76.6%","94.3%","94.0%","93.5%","95.1%","94.4%","87.3%","59.2%","84.0%","84.6%","83.5%","(X)","76.0%","(X)","93.4%","(X)","95.1%","(X)","95.0%","(X)","92.5%","(X)","90.0%","(X)","79.1%","(X)","69.5%","(X)","91.0%","(X)","90.6%","(X)","91.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,421","4,386","315","1,336","1,155","1,580","4,371","1,874","6,245","2,724","3,521","(X)","1,302","(X)","1,662","(X)","1,450","(X)","944","(X)","677","(X)","1,690","(X)","2,161","(X)","2,166","(X)","2,051","(X)","1,005","(X)","1,046"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.8%","23.4%","5.7%","6.0%","6.5%","4.9%","5.6%","12.7%","40.8%","16.0%","15.4%","16.5%","(X)","24.0%","(X)","6.6%","(X)","4.9%","(X)","5.0%","(X)","7.5%","(X)","10.0%","(X)","20.9%","(X)","30.5%","(X)","9.0%","(X)","9.4%","(X)","8.7%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","271,176","13,937","159,556","11,899","44,623","48,544","54,490","84,062","13,621","97,683","44,760","52,923","23,823","12,514","57,093","54,824","61,523","60,476","38,984","38,016","31,734","25,820","76,878","43,030","135,334","23,260","500,238","13,236","108,612","61,639","55,636","29,290","52,976","32,349"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.1%","58.8%","4.4%","16.5%","17.9%","20.1%","31.0%","5.0%","36.0%","33.3%","38.7%","(X)","52.5%","(X)","96.0%","(X)","98.3%","(X)","97.5%","(X)","81.4%","(X)","56.0%","(X)","17.2%","(X)","2.6%","(X)","56.8%","(X)","52.6%","(X)","61.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,841","149,802","10,843","41,793","45,596","51,570","64,950","5,548","70,498","33,360","37,138","(X)","7,829","(X)","50,690","(X)","57,014","(X)","35,838","(X)","20,087","(X)","32,005","(X)","16,850","(X)","8,828","(X)","45,238","(X)","22,267","(X)","22,971"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.5%","63.4%","93.9%","91.1%","93.7%","93.9%","94.6%","77.3%","40.7%","72.2%","74.5%","70.2%","(X)","62.6%","(X)","92.5%","(X)","94.3%","(X)","94.3%","(X)","77.8%","(X)","74.4%","(X)","72.4%","(X)","66.7%","(X)","73.4%","(X)","76.0%","(X)","71.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,096","9,754","1,056","2,830","2,948","2,920","19,112","8,073","27,185","11,400","15,785","(X)","4,685","(X)","4,134","(X)","3,462","(X)","2,178","(X)","5,733","(X)","11,025","(X)","6,410","(X)","4,408","(X)","16,401","(X)","7,023","(X)","9,378"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.5%","36.6%","6.1%","8.9%","6.3%","6.1%","5.4%","22.7%","59.3%","27.8%","25.5%","29.8%","(X)","37.4%","(X)","7.5%","(X)","5.7%","(X)","5.7%","(X)","22.2%","(X)","25.6%","(X)","27.6%","(X)","33.3%","(X)","26.6%","(X)","24.0%","(X)","29.0%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,568","6,689","66,713","5,978","20,424","19,441","20,870","26,944","4,222","31,166","13,014","18,152","11,096","5,874","26,489","25,720","24,877","24,366","14,096","13,610","9,758","7,392","27,924","11,909","59,979","8,717","184,884","6,980","37,682","16,571","18,942","7,653","18,740","8,918"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","63.8%","5.7%","19.5%","18.6%","20.0%","25.8%","4.0%","29.8%","25.7%","33.6%","(X)","52.9%","(X)","97.1%","(X)","97.9%","(X)","96.6%","(X)","75.8%","(X)","42.6%","(X)","14.5%","(X)","3.8%","(X)","44.0%","(X)","40.4%","(X)","47.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5,034","61,690","5,231","18,976","18,393","19,090","23,437","2,250","25,687","11,174","14,513","(X)","4,121","(X)","23,747","(X)","22,962","(X)","12,312","(X)","6,922","(X)","10,316","(X)","6,979","(X)","5,052","(X)","14,719","(X)","6,972","(X)","7,747"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.4%","75.3%","92.5%","87.5%","92.9%","94.6%","91.5%","87.0%","53.3%","82.4%","85.9%","80.0%","(X)","70.2%","(X)","92.3%","(X)","94.2%","(X)","90.5%","(X)","93.6%","(X)","86.6%","(X)","80.1%","(X)","72.4%","(X)","88.8%","(X)","91.1%","(X)","86.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,655","5,023","747","1,448","1,048","1,780","3,507","1,972","5,479","1,840","3,639","(X)","1,753","(X)","1,973","(X)","1,404","(X)","1,298","(X)","470","(X)","1,593","(X)","1,738","(X)","1,928","(X)","1,852","(X)","681","(X)","1,171"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.6%","24.7%","7.5%","12.5%","7.1%","5.4%","8.5%","13.0%","46.7%","17.6%","14.1%","20.0%","(X)","29.8%","(X)","7.7%","(X)","5.8%","(X)","9.5%","(X)","6.4%","(X)","13.4%","(X)","19.9%","(X)","27.6%","(X)","11.2%","(X)","8.9%","(X)","13.1%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","160,583","9,141","95,969","7,515","27,839","28,511","32,104","47,570","7,903","55,473","24,938","30,535","16,531","7,990","36,106","34,159","36,208","35,480","24,140","23,297","14,976","11,484","45,697","22,769","94,050","15,596","287,869","9,808","60,673","30,658","30,339","14,552","30,334","16,106"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","59.8%","4.7%","17.3%","17.8%","20.0%","29.6%","4.9%","34.5%","31.7%","37.3%","(X)","48.3%","(X)","94.6%","(X)","98.0%","(X)","96.5%","(X)","76.7%","(X)","49.8%","(X)","16.6%","(X)","3.4%","(X)","50.5%","(X)","48.0%","(X)","53.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,208","90,535","7,051","26,189","26,776","30,519","42,760","5,276","48,036","22,052","25,984","(X)","5,419","(X)","31,884","(X)","33,378","(X)","22,306","(X)","10,410","(X)","21,014","(X)","13,011","(X)","7,357","(X)","28,172","(X)","13,565","(X)","14,607"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.2%","67.9%","94.3%","93.8%","94.1%","93.9%","95.1%","89.9%","66.8%","86.6%","88.4%","85.1%","(X)","67.8%","(X)","93.3%","(X)","94.1%","(X)","95.7%","(X)","90.6%","(X)","92.3%","(X)","83.4%","(X)","75.0%","(X)","91.9%","(X)","93.2%","(X)","90.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,933","5,434","464","1,650","1,735","1,585","4,810","2,627","7,437","2,886","4,551","(X)","2,571","(X)","2,275","(X)","2,102","(X)","991","(X)","1,074","(X)","1,755","(X)","2,585","(X)","2,451","(X)","2,486","(X)","987","(X)","1,499"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.8%","32.1%","5.7%","6.2%","5.9%","6.1%","4.9%","10.1%","33.2%","13.4%","11.6%","14.9%","(X)","32.2%","(X)","6.7%","(X)","5.9%","(X)","4.3%","(X)","9.4%","(X)","7.7%","(X)","16.6%","(X)","25.0%","(X)","8.1%","(X)","6.8%","(X)","9.3%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","668,874","41,249","385,203","32,072","114,572","113,540","125,019","193,254","49,168","242,422","109,557","132,865","63,971","37,141","147,697","143,263","142,214","139,570","86,933","84,419","74,961","60,492","212,115","103,339","484,527","64,798","1,285,539","35,852","287,076","144,980","141,047","64,899","146,029","80,081"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","57.6%","4.8%","17.1%","17.0%","18.7%","28.9%","7.4%","36.2%","33.6%","38.8%","(X)","58.1%","(X)","97.0%","(X)","98.1%","(X)","97.1%","(X)","80.7%","(X)","48.7%","(X)","13.4%","(X)","2.8%","(X)","50.5%","(X)","46.0%","(X)","54.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25,908","342,951","28,386","102,853","100,382","111,330","147,500","23,034","170,534","77,949","92,585","(X)","23,415","(X)","127,545","(X)","123,315","(X)","74,654","(X)","46,486","(X)","74,992","(X)","44,642","(X)","24,344","(X)","104,584","(X)","48,147","(X)","56,437"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.6%","62.8%","89.0%","88.5%","89.8%","88.4%","89.1%","76.3%","46.8%","70.3%","71.1%","69.7%","(X)","63.0%","(X)","89.0%","(X)","88.4%","(X)","88.4%","(X)","76.8%","(X)","72.6%","(X)","68.9%","(X)","67.9%","(X)","72.1%","(X)","74.2%","(X)","70.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,341","42,252","3,686","11,719","13,158","13,689","45,754","26,134","71,888","31,608","40,280","(X)","13,726","(X)","15,718","(X)","16,255","(X)","9,765","(X)","14,006","(X)","28,347","(X)","20,156","(X)","11,508","(X)","40,396","(X)","16,752","(X)","23,644"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.4%","37.2%","11.0%","11.5%","10.2%","11.6%","10.9%","23.7%","53.2%","29.7%","28.9%","30.3%","(X)","37.0%","(X)","11.0%","(X)","11.6%","(X)","11.6%","(X)","23.2%","(X)","27.4%","(X)","31.1%","(X)","32.1%","(X)","27.9%","(X)","25.8%","(X)","29.5%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77,464","4,429","52,117","3,476","15,155","15,913","17,573","17,726","3,192","20,918","9,946","10,972","6,916","3,730","18,656","18,162","19,977","19,750","12,496","12,295","7,256","5,963","16,616","8,359","33,486","5,037","135,607","4,168","23,872","12,141","13,205","6,189","10,667","5,952"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","67.3%","4.5%","19.6%","20.5%","22.7%","22.9%","4.1%","27.0%","25.3%","28.8%","(X)","53.9%","(X)","97.4%","(X)","98.9%","(X)","98.4%","(X)","82.2%","(X)","50.3%","(X)","15.0%","(X)","3.1%","(X)","50.9%","(X)","46.9%","(X)","55.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,123","47,697","3,176","13,608","14,534","16,379","14,119","1,358","15,477","7,535","7,942","(X)","1,721","(X)","16,121","(X)","18,116","(X)","11,419","(X)","4,999","(X)","6,431","(X)","3,821","(X)","2,669","(X)","9,393","(X)","4,869","(X)","4,524"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.3%","47.9%","91.5%","91.4%","89.8%","91.3%","93.2%","79.7%","42.5%","74.0%","75.8%","72.4%","(X)","46.1%","(X)","88.8%","(X)","91.7%","(X)","92.9%","(X)","83.8%","(X)","76.9%","(X)","75.9%","(X)","64.0%","(X)","77.4%","(X)","78.7%","(X)","76.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,306","4,420","300","1,547","1,379","1,194","3,607","1,834","5,441","2,411","3,030","(X)","2,009","(X)","2,041","(X)","1,634","(X)","876","(X)","964","(X)","1,928","(X)","1,216","(X)","1,499","(X)","2,748","(X)","1,320","(X)","1,428"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.7%","52.1%","8.5%","8.6%","10.2%","8.7%","6.8%","20.3%","57.5%","26.0%","24.2%","27.6%","(X)","53.9%","(X)","11.2%","(X)","8.3%","(X)","7.1%","(X)","16.2%","(X)","23.1%","(X)","24.1%","(X)","36.0%","(X)","22.6%","(X)","21.3%","(X)","24.0%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
