"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"            Estimate","86.6%","57.4%","91.5%","86.8%","92.5%","92.5%","90.9%","85.9%","49.3%","","59.0%","90.4%","91.7%","91.8%","91.7%","87.3%","68.4%","69.7%","(X)","79.8%","(X)","82.1%","(X)","78.1%","(X)","87.8%","(X)","92.7%","(X)","84.2%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.4%","42.6%","8.5%","13.2%","7.5%","7.5%","9.1%","14.1%","50.7%","","41.0%","9.6%","8.3%","8.2%","8.3%","12.7%","31.6%","30.3%","(X)","20.2%","(X)","17.9%","(X)","21.9%","(X)","12.2%","(X)","7.3%","(X)","15.8%","","(X)","(X)"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,967","4,709","64,706","4,203","17,748","19,444","23,311","24,100","3,452","","46.2%","97.2%","98.4%","98.3%","77.5%","45.2%","14.7%","3.7%","232,619","11.8%","112,124","10.9%","120,495","12.6%","35,427","46.5%","18,138","43.3%","17,289","49.9%","","3.1%","5.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.2%","64.2%","89.1%","89.6%","86.6%","89.0%","91.1%","76.7%","42.7%","","65.6%","86.0%","89.1%","91.3%","76.1%","74.7%","73.8%","72.6%","(X)","72.3%","(X)","73.8%","(X)","71.1%","(X)","72.8%","(X)","75.4%","(X)","70.4%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.8%","35.8%","10.9%","10.4%","13.4%","11.0%","8.9%","23.3%","57.3%","","34.4%","14.0%","10.9%","8.7%","23.9%","25.3%","26.2%","27.4%","(X)","27.7%","(X)","26.2%","(X)","28.9%","(X)","27.2%","(X)","24.6%","(X)","29.6%","","(X)","(X)"
