"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,475","1,050","12,554","851","2,954","4,049","4,700","4,419","1,452","","69.3%","97.8%","97.7%","97.8%","94.3%","68.1%","21.8%","2.3%","48,116","12.0%","23,248","10.2%","24,868","13.6%","5,604","69.3%","2,457","67.8%","3,147","70.4%","","2.4%","4.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","68.6%","28.7%","84.7%","79.1%","83.5%","84.0%","87.1%","40.8%","42.1%","","25.9%","78.6%","85.9%","84.9%","45.6%","37.3%","58.8%","52.8%","(X)","41.7%","(X)","45.8%","(X)","38.7%","(X)","34.8%","(X)","44.5%","(X)","27.6%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.4%","71.3%","15.3%","20.9%","16.5%","16.0%","12.9%","59.2%","57.9%","","74.1%","21.4%","14.1%","15.1%","54.4%","62.7%","41.2%","47.2%","(X)","58.3%","(X)","54.2%","(X)","61.3%","(X)","65.2%","(X)","55.5%","(X)","72.4%","","(X)","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","107,067","5,520","77,983","4,681","23,264","23,959","26,079","21,190","2,374","","49.2%","96.1%","99.3%","96.1%","63.2%","37.0%","11.3%","3.2%","236,680","9.8%","111,652","8.6%","125,028","11.0%","40,159","35.6%","20,280","31.7%","19,879","39.6%","","3.7%","6.1%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","91.9%","84.6%","94.8%","94.6%","95.5%","94.7%","94.4%","87.0%","57.8%","","86.4%","94.8%","94.8%","94.3%","93.7%","88.5%","79.6%","74.0%","(X)","83.9%","(X)","81.8%","(X)","85.4%","(X)","89.5%","(X)","88.0%","(X)","90.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.1%","15.4%","5.2%","5.4%","4.5%","5.3%","5.6%","13.0%","42.2%","","13.6%","5.2%","5.2%","5.7%","6.3%","11.5%","20.4%","26.0%","(X)","16.1%","(X)","18.2%","(X)","14.6%","(X)","10.5%","(X)","12.0%","(X)","9.3%","","(X)","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","129,704","6,227","90,421","5,612","23,398","27,902","33,509","28,900","4,156","","43.2%","97.3%","99.0%","96.3%","71.2%","43.1%","15.5%","3.8%","295,730","11.1%","141,967","10.1%","153,763","11.9%","42,706","42.0%","21,984","38.0%","20,722","46.3%","","3.3%","5.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.6%","69.0%","93.2%","89.3%","92.5%","93.3%","94.3%","87.6%","56.9%","","68.4%","91.4%","93.4%","94.6%","92.9%","88.0%","76.4%","79.2%","(X)","83.6%","(X)","82.9%","(X)","84.0%","(X)","89.3%","(X)","88.5%","(X)","90.0%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.4%","31.0%","6.8%","10.7%","7.5%","6.7%","5.7%","12.4%","43.1%","","31.6%","8.6%","6.6%","5.4%","7.1%","12.0%","23.6%","20.8%","(X)","16.4%","(X)","17.1%","(X)","16.0%","(X)","10.7%","(X)","11.5%","(X)","10.0%","","(X)","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292,084","13,713","190,312","12,661","52,341","58,013","67,297","76,913","11,146","","48.4%","96.6%","98.6%","98.1%","78.6%","48.9%","14.4%","3.4%","689,679","12.7%","332,115","11.7%","357,564","13.6%","111,017","51.1%","57,594","45.6%","53,423","57.1%","","3.4%","5.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.0%","61.7%","92.9%","89.2%","92.0%","93.4%","93.7%","75.1%","47.7%","","64.4%","90.3%","93.2%","93.7%","77.1%","73.2%","71.8%","72.6%","(X)","71.6%","(X)","73.2%","(X)","70.3%","(X)","72.1%","(X)","74.7%","(X)","69.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.0%","38.3%","7.1%","10.8%","8.0%","6.6%","6.3%","24.9%","52.3%","","35.6%","9.7%","6.8%","6.3%","22.9%","26.8%","28.2%","27.4%","(X)","28.4%","(X)","26.8%","(X)","29.7%","(X)","27.9%","(X)","25.3%","(X)","30.1%","","(X)","(X)"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","107,593","6,184","75,643","5,488","22,722","22,925","24,508","22,160","3,606","","49.6%","97.5%","98.5%","96.8%","68.1%","35.9%","12.1%","3.8%","263,168","9.7%","125,313","8.2%","137,855","11.1%","38,012","34.9%","19,064","31.2%","18,948","38.6%","","3.2%","5.5%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.6%","78.7%","92.5%","86.6%","93.9%","93.1%","92.1%","82.7%","59.1%","","79.6%","92.3%","92.7%","91.4%","89.9%","83.0%","79.6%","73.1%","(X)","79.4%","(X)","80.3%","(X)","78.7%","(X)","82.9%","(X)","83.9%","(X)","82.0%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.4%","21.3%","7.5%","13.4%","6.1%","6.9%","7.9%","17.3%","40.9%","","20.4%","7.7%","7.3%","8.6%","10.1%","17.0%","20.4%","26.9%","(X)","20.6%","(X)","19.7%","(X)","21.3%","(X)","17.1%","(X)","16.1%","(X)","18.0%","","(X)","(X)"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","176,836","10,087","109,752","7,428","31,438","33,008","37,878","48,037","8,960","","52.4%","97.1%","98.7%","97.2%","74.9%","47.6%","16.6%","5.0%","419,149","13.5%","203,900","12.3%","215,249","14.6%","63,489","48.2%","32,265","45.6%","31,224","50.9%","","3.1%","5.6%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","88.9%","65.0%","92.9%","89.8%","91.7%","92.4%","94.9%","88.7%","67.3%","","67.0%","90.0%","92.6%","94.9%","94.1%","89.0%","81.2%","79.0%","(X)","85.4%","(X)","84.9%","(X)","85.7%","(X)","90.4%","(X)","88.8%","(X)","91.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.1%","35.0%","7.1%","10.2%","8.3%","7.6%","5.1%","11.3%","32.7%","","33.0%","10.0%","7.4%","5.1%","5.9%","11.0%","18.8%","21.0%","(X)","14.6%","(X)","15.1%","(X)","14.3%","(X)","9.6%","(X)","11.2%","(X)","8.1%","","(X)","(X)"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","687,577","39,781","426,536","34,188","121,567","125,136","145,645","175,865","45,395","","57.6%","97.2%","98.4%","95.8%","74.0%","43.2%","13.4%","3.4%","1,928,016","11.4%","953,145","10.4%","974,871","12.4%","288,816","44.2%","146,280","40.5%","142,536","48.0%","","3.3%","6.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","81.4%","64.2%","89.6%","88.2%","89.5%","89.1%","90.6%","73.1%","50.6%","","67.7%","88.3%","89.1%","89.9%","73.5%","71.5%","68.7%","71.4%","(X)","68.5%","(X)","68.0%","(X)","68.8%","(X)","69.1%","(X)","68.8%","(X)","69.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18.6%","35.8%","10.4%","11.8%","10.5%","10.9%","9.4%","26.9%","49.4%","","32.3%","11.7%","10.9%","10.1%","26.5%","28.5%","31.3%","28.6%","(X)","31.5%","(X)","32.0%","(X)","31.2%","(X)","30.9%","(X)","31.2%","(X)","30.7%","","(X)","(X)"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78,052","5,126","51,536","3,362","15,457","15,610","17,107","17,913","3,477","","60.7%","97.0%","99.0%","97.8%","73.8%","47.2%","14.0%","4.2%","179,662","11.8%","92,495","10.5%","87,167","13.2%","25,220","46.8%","14,782","38.6%","10,438","58.4%","","3.0%","5.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.2%","34.3%","92.6%","88.8%","91.3%","93.0%","94.2%","75.4%","55.0%","","35.7%","88.7%","92.7%","94.6%","80.3%","75.8%","69.7%","68.6%","(X)","71.9%","(X)","70.5%","(X)","73.1%","(X)","74.7%","(X)","76.2%","(X)","73.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.8%","65.7%","7.4%","11.2%","8.7%","7.0%","5.8%","24.6%","45.0%","","64.3%","11.3%","7.3%","5.4%","19.7%","24.2%","30.3%","31.4%","(X)","28.1%","(X)","29.5%","(X)","26.9%","(X)","25.3%","(X)","23.8%","(X)","26.7%","","(X)","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,248","2,183","43,478","2,458","12,458","13,916","14,646","11,811","1,776","","32.1%","96.1%","98.7%","97.0%","65.7%","35.3%","12.9%","5.3%","126,192","10.6%","61,947","7.9%","64,245","13.3%","18,015","35.1%","8,966","27.9%","9,049","42.3%","","2.7%","4.7%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.7%","60.7%","90.7%","88.0%","92.3%","90.2%","90.2%","86.1%","59.5%","","62.9%","90.4%","90.3%","89.6%","90.1%","87.4%","80.9%","78.1%","(X)","82.5%","(X)","78.2%","(X)","84.9%","(X)","87.5%","(X)","86.5%","(X)","88.1%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.3%","39.3%","9.3%","12.0%","7.7%","9.8%","9.8%","13.9%","40.5%","","37.1%","9.6%","9.7%","10.4%","9.9%","12.6%","19.1%","21.9%","(X)","17.5%","(X)","21.8%","(X)","15.1%","(X)","12.5%","(X)","13.5%","(X)","11.9%","","(X)","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,218","1,745","17,468","1,177","5,067","5,636","5,588","3,424","1,581","","74.4%","98.3%","98.9%","98.3%","90.2%","51.2%","17.6%","2.5%","68,961","7.2%","32,731","7.1%","36,230","7.3%","4,888","47.3%","2,594","50.8%","2,294","43.3%","","2.1%","3.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","78.2%","19.8%","86.5%","75.8%","87.4%","83.9%","90.5%","76.1%","56.2%","","19.8%","82.8%","85.5%","90.1%","82.2%","72.9%","66.9%","69.3%","(X)","69.6%","(X)","71.7%","(X)","67.7%","(X)","72.7%","(X)","78.7%","(X)","64.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","21.8%","80.2%","13.5%","24.2%","12.6%","16.1%","9.5%","23.9%","43.8%","","80.2%","17.2%","14.5%","9.9%","17.8%","27.1%","33.1%","30.7%","(X)","30.4%","(X)","28.3%","(X)","32.3%","(X)","27.3%","(X)","21.3%","(X)","35.1%","","(X)","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,429","5,160","44,542","2,695","12,674","13,431","15,742","17,401","7,326","","70.3%","97.6%","98.1%","97.2%","81.8%","54.1%","20.7%","3.7%","210,264","11.7%","101,111","11.9%","109,153","11.6%","21,959","52.6%","12,013","51.1%","9,946","54.3%","","2.9%","5.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","70.3%","32.5%","78.2%","70.5%","79.3%","77.7%","79.0%","75.2%","37.1%","","34.7%","75.1%","78.2%","77.5%","76.3%","65.3%","56.2%","68.2%","(X)","64.0%","(X)","60.3%","(X)","67.4%","(X)","68.0%","(X)","63.4%","(X)","73.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","29.7%","67.5%","21.8%","29.5%","20.7%","22.3%","21.0%","24.8%","62.9%","","65.3%","24.9%","21.8%","22.5%","23.7%","34.7%","43.8%","31.8%","(X)","36.0%","(X)","39.7%","(X)","32.6%","(X)","32.0%","(X)","36.6%","(X)","26.7%","","(X)","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","475,185","27,856","311,079","22,131","87,677","94,548","106,723","114,540","21,710","","55.7%","97.4%","98.5%","96.6%","74.3%","42.9%","13.8%","3.5%","1,337,045","10.1%","649,687","8.8%","687,358","11.3%","170,170","42.3%","86,497","37.3%","83,673","47.6%","","3.0%","5.9%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.0%","54.3%","86.7%","82.6%","85.9%","86.9%","88.1%","84.6%","58.2%","","57.0%","84.2%","86.8%","87.1%","88.6%","85.8%","75.6%","74.8%","(X)","80.4%","(X)","80.6%","(X)","80.3%","(X)","86.2%","(X)","87.2%","(X)","85.3%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17.0%","45.7%","13.3%","17.4%","14.1%","13.1%","11.9%","15.4%","41.8%","","43.0%","15.8%","13.2%","12.9%","11.4%","14.2%","24.4%","25.2%","(X)","19.6%","(X)","19.4%","(X)","19.7%","(X)","13.8%","(X)","12.8%","(X)","14.7%","","(X)","(X)"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,475","1,410","8,438","666","2,311","2,381","3,080","4,679","2,948","","85.5%","98.7%","99.8%","98.4%","81.1%","57.6%","14.3%","3.7%","76,667","9.9%","37,032","9.6%","39,635","10.3%","5,886","55.6%","3,207","55.2%","2,679","56.2%","","2.1%","4.3%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","68.2%","14.3%","83.2%","77.6%","79.8%","86.7%","84.4%","76.5%","38.0%","","17.3%","72.8%","87.8%","80.8%","77.4%","67.2%","53.9%","63.7%","(X)","61.6%","(X)","67.9%","(X)","56.1%","(X)","67.5%","(X)","77.7%","(X)","55.5%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.8%","85.7%","16.8%","22.4%","20.2%","13.3%","15.6%","23.5%","62.0%","","82.7%","27.2%","12.2%","19.2%","22.6%","32.8%","46.1%","36.3%","(X)","38.4%","(X)","32.1%","(X)","43.9%","(X)","32.5%","(X)","22.3%","(X)","44.5%","","(X)","(X)"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69,174","3,199","51,281","3,566","13,866","16,435","17,414","13,239","1,455","","43.9%","95.5%","99.1%","98.2%","68.5%","39.7%","14.8%","4.5%","134,706","10.8%","65,982","9.9%","68,724","11.6%","19,988","37.1%","10,011","35.3%","9,977","38.9%","","2.9%","5.0%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.6%","64.6%","93.0%","94.9%","91.7%","95.1%","91.8%","86.0%","56.7%","","64.0%","92.8%","93.7%","92.2%","91.8%","88.1%","79.2%","75.6%","(X)","82.9%","(X)","83.3%","(X)","82.5%","(X)","89.0%","(X)","89.0%","(X)","88.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.4%","35.4%","7.0%","5.1%","8.3%","4.9%","8.2%","14.0%","43.3%","","36.0%","7.2%","6.3%","7.8%","8.2%","11.9%","20.8%","24.4%","(X)","17.1%","(X)","16.7%","(X)","17.5%","(X)","11.0%","(X)","11.0%","(X)","11.1%","","(X)","(X)"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,916","3,480","19,770","1,667","5,865","5,806","6,432","6,082","2,584","","78.7%","98.2%","98.7%","98.3%","86.9%","46.1%","12.1%","2.7%","108,202","7.9%","54,092","7.4%","54,110","8.5%","8,144","47.4%","4,103","45.4%","4,041","49.4%","","1.9%","3.4%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","74.9%","25.2%","86.1%","78.8%","86.2%","86.0%","88.1%","78.9%","46.3%","","24.6%","80.8%","85.9%","88.3%","87.5%","72.8%","65.2%","59.9%","(X)","68.9%","(X)","65.7%","(X)","71.7%","(X)","76.4%","(X)","71.8%","(X)","80.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
